t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1588647995,1508,499.930059,0.000000,0.000000,0.000000,events/second
1588647998,2966,494.907348,0.000000,0.000000,0.000000,events/second
1588648001,3363,374.274758,0.000000,0.000000,0.000000,events/second
1588648004,3363,280.544486,0.000000,0.000000,0.000000,events/second
1588648007,3377,225.342146,0.000000,0.000000,0.000000,events/second
1588648010,3384,188.145964,0.000000,0.000000,0.000000,events/second
1588648013,3390,161.505804,0.000000,0.000000,0.000000,events/second
1588648016,3433,143.132922,0.000000,0.000000,0.000000,events/second
1588648019,3495,129.494310,0.000000,0.000000,0.000000,events/second
1588648022,3495,116.556458,0.000000,0.000000,0.000000,events/second
1588648025,3495,105.948181,0.000000,0.000000,0.000000,events/second
1588648028,3495,97.116369,0.000000,0.000000,0.000000,events/second
1588648031,3495,89.642066,0.000000,0.000000,0.000000,events/second
1588648034,3495,83.240112,0.000000,0.000000,0.000000,events/second
1588648037,3521,78.267859,0.000000,0.000000,0.000000,events/second
1588648040,3521,73.369665,0.000000,0.000000,0.000000,events/second
1588648043,3521,69.055258,0.000000,0.000000,0.000000,events/second
1588648046,3521,65.222178,0.000000,0.000000,0.000000,events/second
1588648049,3521,61.781783,0.000000,0.000000,0.000000,events/second
1588648052,3523,58.728512,0.000000,0.000000,0.000000,events/second
1588648055,3523,55.930733,0.000000,0.000000,0.000000,events/second
1588648058,3552,53.829337,0.000000,0.000000,0.000000,events/second
1588648061,3552,51.487372,0.000000,0.000000,0.000000,events/second
1588648064,3552,49.342376,0.000000,0.000000,0.000000,events/second
1588648067,3552,47.368919,0.000000,0.000000,0.000000,events/second
1588648070,3552,45.546092,0.000000,0.000000,0.000000,events/second
1588648073,3552,43.860388,0.000000,0.000000,0.000000,events/second
1588648076,3571,42.519003,0.000000,0.000000,0.000000,events/second
1588648079,3574,41.086209,0.000000,0.000000,0.000000,events/second
1588648082,3574,39.716872,0.000000,0.000000,0.000000,events/second
1588648085,3574,38.436872,0.000000,0.000000,0.000000,events/second
1588648088,3574,37.233390,0.000000,0.000000,0.000000,events/second
1588648091,3574,36.105584,0.000000,0.000000,0.000000,events/second
1588648094,3574,35.044768,0.000000,0.000000,0.000000,events/second
1588648097,3598,34.271847,0.000000,0.000000,0.000000,events/second
1588648100,3598,33.319623,0.000000,0.000000,0.000000,events/second
1588648103,3598,32.418724,0.000000,0.000000,0.000000,events/second
1588648106,3598,31.565326,0.000000,0.000000,0.000000,events/second
1588648109,3598,30.756603,0.000000,0.000000,0.000000,events/second
1588648112,3598,29.986372,0.000000,0.000000,0.000000,events/second
1588648115,3598,29.254904,0.000000,0.000000,0.000000,events/second
1588648118,3618,28.717482,0.000000,0.000000,0.000000,events/second
1588648121,3618,28.048847,0.000000,0.000000,0.000000,events/second
1588648124,3618,27.412155,0.000000,0.000000,0.000000,events/second
1588648127,3618,26.802595,0.000000,0.000000,0.000000,events/second
1588648130,3618,26.220027,0.000000,0.000000,0.000000,events/second
1588648133,3618,25.662347,0.000000,0.000000,0.000000,events/second
1588648136,3637,25.259185,0.000000,0.000000,0.000000,events/second
1588648139,3644,24.791116,0.000000,0.000000,0.000000,events/second
1588648142,3644,24.295862,0.000000,0.000000,0.000000,events/second
1588648145,3644,23.819165,0.000000,0.000000,0.000000,events/second
1588648148,3644,23.361168,0.000000,0.000000,0.000000,events/second
1588648151,3644,22.920238,0.000000,0.000000,0.000000,events/second
1588648154,3644,22.495790,0.000000,0.000000,0.000000,events/second
1588648157,3734,22.631816,0.000000,0.000000,0.000000,events/second
1588648160,3734,22.228158,0.000000,0.000000,0.000000,events/second
1588648163,3734,21.837710,0.000000,0.000000,0.000000,events/second
1588648166,3734,21.461647,0.000000,0.000000,0.000000,events/second
1588648169,3734,21.097408,0.000000,0.000000,0.000000,events/second
1588648172,3734,20.746338,0.000000,0.000000,0.000000,events/second
1588648175,3734,20.406031,0.000000,0.000000,0.000000,events/second
1588648178,3754,20.184389,0.000000,0.000000,0.000000,events/second
1588648181,3754,19.864201,0.000000,0.000000,0.000000,events/second
1588648184,3754,19.553450,0.000000,0.000000,0.000000,events/second
1588648187,3754,19.252612,0.000000,0.000000,0.000000,events/second
1588648190,3754,18.960931,0.000000,0.000000,0.000000,events/second
1588648193,3754,18.677962,0.000000,0.000000,0.000000,events/second
1588648196,3773,18.496192,0.000000,0.000000,0.000000,events/second
1588648199,3775,18.237947,0.000000,0.000000,0.000000,events/second
1588648202,3775,17.977243,0.000000,0.000000,0.000000,events/second
1588648205,3775,17.724001,0.000000,0.000000,0.000000,events/second
1588648208,3775,17.477821,0.000000,0.000000,0.000000,events/second
1588648211,3775,17.238369,0.000000,0.000000,0.000000,events/second
1588648214,3775,17.005682,0.000000,0.000000,0.000000,events/second
1588648217,3796,16.871929,0.000000,0.000000,0.000000,events/second
1588648220,3796,16.650215,0.000000,0.000000,0.000000,events/second
1588648223,3796,16.433895,0.000000,0.000000,0.000000,events/second
1588648226,3796,16.223106,0.000000,0.000000,0.000000,events/second
1588648229,3796,16.017880,0.000000,0.000000,0.000000,events/second
1588648232,3796,15.817533,0.000000,0.000000,0.000000,events/second
1588648235,3796,15.622185,0.000000,0.000000,0.000000,events/second
1588648238,3815,15.508920,0.000000,0.000000,0.000000,events/second
1588648241,3815,15.322349,0.000000,0.000000,0.000000,events/second
1588648244,3815,15.139577,0.000000,0.000000,0.000000,events/second
1588648247,3815,14.961529,0.000000,0.000000,0.000000,events/second
1588648250,3815,14.787740,0.000000,0.000000,0.000000,events/second
1588648253,3815,14.617829,0.000000,0.000000,0.000000,events/second
1588648256,3832,14.515867,0.000000,0.000000,0.000000,events/second
1588648259,3834,14.360394,0.000000,0.000000,0.000000,events/second
1588648262,3834,14.200891,0.000000,0.000000,0.000000,events/second
