t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1588647995,1465,485.573499,0.000000,0.000000,0.000000,events/second
1588647998,2746,458.169958,0.000000,0.000000,0.000000,events/second
1588648001,3028,336.975492,0.000000,0.000000,0.000000,events/second
1588648004,3028,252.590392,0.000000,0.000000,0.000000,events/second
1588648007,3043,203.050476,0.000000,0.000000,0.000000,events/second
1588648010,3052,169.683766,0.000000,0.000000,0.000000,events/second
1588648013,3059,145.733563,0.000000,0.000000,0.000000,events/second
1588648016,3079,128.371947,0.000000,0.000000,0.000000,events/second
1588648019,3121,115.635845,0.000000,0.000000,0.000000,events/second
1588648022,3121,104.082810,0.000000,0.000000,0.000000,events/second
1588648025,3121,94.609803,0.000000,0.000000,0.000000,events/second
1588648028,3121,86.723257,0.000000,0.000000,0.000000,events/second
1588648031,3121,80.048874,0.000000,0.000000,0.000000,events/second
1588648034,3121,74.332071,0.000000,0.000000,0.000000,events/second
1588648037,3130,69.575921,0.000000,0.000000,0.000000,events/second
1588648040,3130,65.221661,0.000000,0.000000,0.000000,events/second
1588648043,3130,61.386447,0.000000,0.000000,0.000000,events/second
1588648046,3130,57.979082,0.000000,0.000000,0.000000,events/second
1588648049,3130,54.920745,0.000000,0.000000,0.000000,events/second
1588648052,3133,52.226942,0.000000,0.000000,0.000000,events/second
1588648055,3133,49.738861,0.000000,0.000000,0.000000,events/second
1588648058,3144,47.646023,0.000000,0.000000,0.000000,events/second
1588648061,3144,45.573077,0.000000,0.000000,0.000000,events/second
1588648064,3144,43.674458,0.000000,0.000000,0.000000,events/second
1588648067,3144,41.927738,0.000000,0.000000,0.000000,events/second
1588648070,3144,40.314268,0.000000,0.000000,0.000000,events/second
1588648073,3144,38.822229,0.000000,0.000000,0.000000,events/second
1588648076,3151,37.518026,0.000000,0.000000,0.000000,events/second
1588648079,3153,36.246337,0.000000,0.000000,0.000000,events/second
1588648082,3153,35.038303,0.000000,0.000000,0.000000,events/second
1588648085,3153,33.909091,0.000000,0.000000,0.000000,events/second
1588648088,3153,32.847369,0.000000,0.000000,0.000000,events/second
