t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1588647995,1,0.331287,0.000000,0.000000,0.000000,events/second
1588647998,13,2.168577,0.000000,0.000000,0.000000,events/second
1588648001,15,1.669049,0.000000,0.000000,0.000000,events/second
1588648004,15,1.251139,0.000000,0.000000,0.000000,events/second
1588648007,15,1.000824,0.000000,0.000000,0.000000,events/second
1588648010,15,0.833905,0.000000,0.000000,0.000000,events/second
1588648013,15,0.714570,0.000000,0.000000,0.000000,events/second
1588648016,16,0.667050,0.000000,0.000000,0.000000,events/second
1588648019,19,0.703935,0.000000,0.000000,0.000000,events/second
1588648022,19,0.633609,0.000000,0.000000,0.000000,events/second
1588648025,19,0.575943,0.000000,0.000000,0.000000,events/second
1588648028,19,0.527935,0.000000,0.000000,0.000000,events/second
1588648031,19,0.487306,0.000000,0.000000,0.000000,events/second
1588648034,19,0.452505,0.000000,0.000000,0.000000,events/second
1588648037,21,0.466791,0.000000,0.000000,0.000000,events/second
1588648040,21,0.437578,0.000000,0.000000,0.000000,events/second
1588648043,21,0.411848,0.000000,0.000000,0.000000,events/second
1588648046,21,0.388988,0.000000,0.000000,0.000000,events/second
1588648049,21,0.368470,0.000000,0.000000,0.000000,events/second
1588648052,21,0.350062,0.000000,0.000000,0.000000,events/second
1588648055,21,0.333385,0.000000,0.000000,0.000000,events/second
1588648058,23,0.348549,0.000000,0.000000,0.000000,events/second
1588648061,23,0.333385,0.000000,0.000000,0.000000,events/second
1588648064,23,0.319496,0.000000,0.000000,0.000000,events/second
1588648067,23,0.306718,0.000000,0.000000,0.000000,events/second
1588648070,23,0.294915,0.000000,0.000000,0.000000,events/second
1588648073,23,0.284001,0.000000,0.000000,0.000000,events/second
1588648076,24,0.285757,0.000000,0.000000,0.000000,events/second
1588648079,25,0.287392,0.000000,0.000000,0.000000,events/second
1588648082,25,0.277813,0.000000,0.000000,0.000000,events/second
1588648085,25,0.268860,0.000000,0.000000,0.000000,events/second
1588648088,25,0.260442,0.000000,0.000000,0.000000,events/second
1588648091,25,0.252553,0.000000,0.000000,0.000000,events/second
1588648094,25,0.245133,0.000000,0.000000,0.000000,events/second
1588648097,27,0.257178,0.000000,0.000000,0.000000,events/second
1588648100,27,0.250033,0.000000,0.000000,0.000000,events/second
1588648103,27,0.243272,0.000000,0.000000,0.000000,events/second
1588648106,27,0.236868,0.000000,0.000000,0.000000,events/second
1588648109,27,0.230800,0.000000,0.000000,0.000000,events/second
1588648112,27,0.225020,0.000000,0.000000,0.000000,events/second
1588648115,27,0.219531,0.000000,0.000000,0.000000,events/second
1588648118,29,0.230182,0.000000,0.000000,0.000000,events/second
1588648121,29,0.224822,0.000000,0.000000,0.000000,events/second
1588648124,29,0.219719,0.000000,0.000000,0.000000,events/second
1588648127,29,0.214833,0.000000,0.000000,0.000000,events/second
1588648130,29,0.210164,0.000000,0.000000,0.000000,events/second
1588648133,29,0.205694,0.000000,0.000000,0.000000,events/second
1588648136,30,0.208350,0.000000,0.000000,0.000000,events/second
1588648139,31,0.210899,0.000000,0.000000,0.000000,events/second
1588648142,31,0.206686,0.000000,0.000000,0.000000,events/second
1588648145,31,0.202631,0.000000,0.000000,0.000000,events/second
1588648148,31,0.198735,0.000000,0.000000,0.000000,events/second
1588648151,31,0.194984,0.000000,0.000000,0.000000,events/second
1588648154,31,0.191373,0.000000,0.000000,0.000000,events/second
1588648157,33,0.200012,0.000000,0.000000,0.000000,events/second
1588648160,33,0.196444,0.000000,0.000000,0.000000,events/second
1588648163,33,0.192994,0.000000,0.000000,0.000000,events/second
1588648166,33,0.189670,0.000000,0.000000,0.000000,events/second
1588648169,33,0.186451,0.000000,0.000000,0.000000,events/second
1588648172,33,0.183349,0.000000,0.000000,0.000000,events/second
1588648175,33,0.180341,0.000000,0.000000,0.000000,events/second
1588648178,35,0.188185,0.000000,0.000000,0.000000,events/second
