t,value
1588647995,0
1588647998,8
1588648001,8
1588648004,8
1588648007,8
1588648010,8
1588648013,8
1588648016,8
1588648019,8
1588648022,8
1588648025,8
1588648028,8
1588648031,8
1588648034,8
1588648037,8
1588648040,8
1588648043,8
1588648046,8
1588648049,8
1588648052,8
1588648055,8
1588648058,8
1588648061,8
1588648064,8
1588648067,8
1588648070,8
1588648073,8
1588648076,8
1588648079,8
1588648082,8
1588648085,8
1588648088,8
1588648091,8
1588648094,8
1588648097,8
1588648100,8
1588648103,8
1588648106,8
1588648109,8
1588648112,8
1588648115,8
1588648118,8
1588648121,8
1588648124,8
1588648127,8
1588648130,8
1588648133,8
1588648136,8
1588648139,8
1588648142,8
1588648145,8
1588648148,8
1588648151,8
1588648154,8
1588648157,8
1588648160,8
1588648163,8
1588648166,8
1588648169,8
1588648172,8
1588648175,8
1588648178,8
1588648181,8
1588648184,8
1588648187,8
1588648190,8
1588648193,8
1588648196,8
1588648199,8
1588648202,8
1588648205,8
1588648208,8
1588648211,8
1588648214,8
1588648217,8
1588648220,8
1588648223,8
1588648226,8
1588648229,8
1588648232,8
1588648235,8
1588648238,8
1588648241,8
1588648244,8
1588648247,8
1588648250,8
1588648253,8
1588648256,7
1588648259,8
1588648262,8
1588648265,8
1588648268,8
1588648271,8
1588648274,8
1588648277,8
1588648280,8
1588648283,8
1588648286,8
1588648289,8
1588648292,8
1588648295,8
1588648298,8
1588648301,8
1588648304,8
1588648307,8
1588648310,8
1588648313,8
1588648316,5
1588648319,8
1588648322,8
1588648325,8
1588648328,8
1588648331,8
1588648334,8
1588648337,8
1588648340,8
1588648343,8
1588648346,8
1588648349,8
1588648352,8
1588648355,8
1588648358,8
1588648361,8
1588648364,8
1588648367,8
1588648370,8
1588648373,8
1588648376,8
1588648379,8
1588648382,8
1588648385,8
1588648388,8
1588648391,8
1588648394,8
1588648397,8
1588648400,8
1588648403,8
1588648406,8
1588648409,8
1588648412,8
1588648415,8
1588648418,8
1588648421,8
1588648424,8
1588648427,8
1588648430,8
1588648433,8
1588648436,8
1588648439,8
1588648442,8
1588648445,8
1588648448,8
1588648451,8
1588648454,8
1588648457,8
1588648460,8
1588648463,8
1588648466,8
1588648469,8
1588648472,8
1588648475,8
1588648478,8
1588648481,8
1588648484,8
1588648487,8
1588648490,8
1588648493,8
1588648496,8
1588648499,8
1588648502,8
1588648505,8
1588648508,8
1588648511,8
1588648514,8
1588648517,8
1588648520,8
1588648523,8
1588648526,8
1588648529,8
1588648532,8
1588648535,8
1588648538,8
1588648541,8
1588648544,8
1588648547,8
1588648550,8
1588648553,8
1588648556,8
1588648559,8
1588648562,8
1588648565,8
1588648568,8
1588648571,8
1588648574,8
1588648577,8
1588648580,8
1588648583,8
1588648586,8
1588648589,8
1588648592,8
1588648595,8
1588648598,8
1588648601,8
1588648604,8
1588648607,8
1588648610,8
1588648613,8
1588648616,8
1588648619,8
1588648622,8
1588648625,8
1588648628,8
1588648631,8
1588648634,8
1588648637,8
1588648640,8
1588648643,8
1588648646,8
1588648649,8
1588648652,8
1588648655,8
1588648658,8
1588648661,8
1588648664,8
