t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1588647995,11,3.643143,0.000000,0.000000,0.000000,events/second
1588647998,118,19.684109,0.000000,0.000000,0.000000,events/second
1588648001,160,17.803205,0.000000,0.000000,0.000000,events/second
1588648004,160,13.345377,0.000000,0.000000,0.000000,events/second
1588648007,165,11.009249,0.000000,0.000000,0.000000,events/second
1588648010,175,9.729008,0.000000,0.000000,0.000000,events/second
1588648013,185,8.813124,0.000000,0.000000,0.000000,events/second
1588648016,216,9.005303,0.000000,0.000000,0.000000,events/second
1588648019,269,9.966327,0.000000,0.000000,0.000000,events/second
1588648022,269,8.970671,0.000000,0.000000,0.000000,events/second
1588648025,269,8.154210,0.000000,0.000000,0.000000,events/second
1588648028,269,7.474523,0.000000,0.000000,0.000000,events/second
1588648031,269,6.899282,0.000000,0.000000,0.000000,events/second
1588648034,269,6.406575,0.000000,0.000000,0.000000,events/second
1588648037,296,6.579564,0.000000,0.000000,0.000000,events/second
1588648040,296,6.167787,0.000000,0.000000,0.000000,events/second
1588648043,296,5.805124,0.000000,0.000000,0.000000,events/second
1588648046,296,5.482917,0.000000,0.000000,0.000000,events/second
1588648049,296,5.193631,0.000000,0.000000,0.000000,events/second
1588648052,301,5.017573,0.000000,0.000000,0.000000,events/second
1588648055,301,4.778546,0.000000,0.000000,0.000000,events/second
1588648058,328,4.970633,0.000000,0.000000,0.000000,events/second
1588648061,328,4.754375,0.000000,0.000000,0.000000,events/second
1588648064,328,4.556309,0.000000,0.000000,0.000000,events/second
1588648067,328,4.374093,0.000000,0.000000,0.000000,events/second
1588648070,328,4.205761,0.000000,0.000000,0.000000,events/second
1588648073,328,4.050110,0.000000,0.000000,0.000000,events/second
1588648076,349,4.155398,0.000000,0.000000,0.000000,events/second
1588648079,355,4.080979,0.000000,0.000000,0.000000,events/second
1588648082,355,3.944964,0.000000,0.000000,0.000000,events/second
1588648085,355,3.817829,0.000000,0.000000,0.000000,events/second
1588648088,355,3.698290,0.000000,0.000000,0.000000,events/second
1588648091,355,3.586268,0.000000,0.000000,0.000000,events/second
1588648094,355,3.480905,0.000000,0.000000,0.000000,events/second
1588648097,382,3.638604,0.000000,0.000000,0.000000,events/second
1588648100,382,3.537507,0.000000,0.000000,0.000000,events/second
1588648103,382,3.441858,0.000000,0.000000,0.000000,events/second
1588648106,382,3.351260,0.000000,0.000000,0.000000,events/second
1588648109,382,3.265399,0.000000,0.000000,0.000000,events/second
1588648112,382,3.183622,0.000000,0.000000,0.000000,events/second
1588648115,382,3.105966,0.000000,0.000000,0.000000,events/second
1588648118,409,3.246362,0.000000,0.000000,0.000000,events/second
1588648121,409,3.170777,0.000000,0.000000,0.000000,events/second
1588648124,409,3.098805,0.000000,0.000000,0.000000,events/second
1588648127,409,3.029898,0.000000,0.000000,0.000000,events/second
1588648130,409,2.964040,0.000000,0.000000,0.000000,events/second
1588648133,409,2.900999,0.000000,0.000000,0.000000,events/second
1588648136,430,2.986352,0.000000,0.000000,0.000000,events/second
1588648139,436,2.966203,0.000000,0.000000,0.000000,events/second
1588648142,436,2.906948,0.000000,0.000000,0.000000,events/second
1588648145,436,2.849911,0.000000,0.000000,0.000000,events/second
1588648148,436,2.795113,0.000000,0.000000,0.000000,events/second
1588648151,436,2.742358,0.000000,0.000000,0.000000,events/second
1588648154,436,2.691574,0.000000,0.000000,0.000000,events/second
1588648157,463,2.806228,0.000000,0.000000,0.000000,events/second
1588648160,463,2.756176,0.000000,0.000000,0.000000,events/second
1588648163,463,2.707764,0.000000,0.000000,0.000000,events/second
1588648166,463,2.661134,0.000000,0.000000,0.000000,events/second
1588648169,463,2.615971,0.000000,0.000000,0.000000,events/second
1588648172,463,2.572441,0.000000,0.000000,0.000000,events/second
1588648175,463,2.530245,0.000000,0.000000,0.000000,events/second
1588648178,490,2.634601,0.000000,0.000000,0.000000,events/second
1588648181,490,2.592808,0.000000,0.000000,0.000000,events/second
1588648184,490,2.552244,0.000000,0.000000,0.000000,events/second
1588648187,490,2.512979,0.000000,0.000000,0.000000,events/second
1588648190,490,2.474907,0.000000,0.000000,0.000000,events/second
1588648193,490,2.437973,0.000000,0.000000,0.000000,events/second
1588648196,511,2.505037,0.000000,0.000000,0.000000,events/second
1588648199,517,2.497738,0.000000,0.000000,0.000000,events/second
1588648202,517,2.462035,0.000000,0.000000,0.000000,events/second
1588648205,517,2.427351,0.000000,0.000000,0.000000,events/second
1588648208,517,2.393638,0.000000,0.000000,0.000000,events/second
1588648211,517,2.360845,0.000000,0.000000,0.000000,events/second
1588648214,517,2.328978,0.000000,0.000000,0.000000,events/second
1588648217,544,2.417882,0.000000,0.000000,0.000000,events/second
1588648220,544,2.386109,0.000000,0.000000,0.000000,events/second
1588648223,544,2.355110,0.000000,0.000000,0.000000,events/second
1588648226,544,2.324901,0.000000,0.000000,0.000000,events/second
1588648229,544,2.295491,0.000000,0.000000,0.000000,events/second
1588648232,544,2.266780,0.000000,0.000000,0.000000,events/second
1588648235,544,2.238785,0.000000,0.000000,0.000000,events/second
1588648238,571,2.321246,0.000000,0.000000,0.000000,events/second
1588648241,571,2.293322,0.000000,0.000000,0.000000,events/second
1588648244,571,2.265965,0.000000,0.000000,0.000000,events/second
1588648247,571,2.239317,0.000000,0.000000,0.000000,events/second
1588648250,571,2.213305,0.000000,0.000000,0.000000,events/second
1588648253,571,2.187875,0.000000,0.000000,0.000000,events/second
1588648256,591,2.238737,0.000000,0.000000,0.000000,events/second
1588648259,598,2.239822,0.000000,0.000000,0.000000,events/second
1588648262,598,2.214945,0.000000,0.000000,0.000000,events/second
1588648265,598,2.190592,0.000000,0.000000,0.000000,events/second
1588648268,598,2.166771,0.000000,0.000000,0.000000,events/second
1588648271,598,2.143467,0.000000,0.000000,0.000000,events/second
1588648274,598,2.120651,0.000000,0.000000,0.000000,events/second
1588648277,625,2.193066,0.000000,0.000000,0.000000,events/second
1588648280,625,2.170211,0.000000,0.000000,0.000000,events/second
1588648283,625,2.147840,0.000000,0.000000,0.000000,events/second
1588648286,625,2.125937,0.000000,0.000000,0.000000,events/second
1588648289,625,2.104456,0.000000,0.000000,0.000000,events/second
1588648292,625,2.083403,0.000000,0.000000,0.000000,events/second
1588648295,625,2.062813,0.000000,0.000000,0.000000,events/second
1588648298,652,2.130791,0.000000,0.000000,0.000000,events/second
1588648301,657,2.126311,0.000000,0.000000,0.000000,events/second
1588648304,662,2.121874,0.000000,0.000000,0.000000,events/second
1588648307,662,2.101674,0.000000,0.000000,0.000000,events/second
1588648310,672,2.113289,0.000000,0.000000,0.000000,events/second
1588648313,677,2.109109,0.000000,0.000000,0.000000,events/second
1588648316,694,2.142055,0.000000,0.000000,0.000000,events/second
1588648319,704,2.153000,0.000000,0.000000,0.000000,events/second
1588648322,704,2.133430,0.000000,0.000000,0.000000,events/second
1588648325,704,2.114185,0.000000,0.000000,0.000000,events/second
1588648328,704,2.095313,0.000000,0.000000,0.000000,events/second
1588648331,704,2.076765,0.000000,0.000000,0.000000,events/second
1588648334,704,2.058553,0.000000,0.000000,0.000000,events/second
1588648337,731,2.118927,0.000000,0.000000,0.000000,events/second
1588648340,731,2.100662,0.000000,0.000000,0.000000,events/second
1588648343,731,2.082700,0.000000,0.000000,0.000000,events/second
1588648346,731,2.065058,0.000000,0.000000,0.000000,events/second
1588648349,731,2.047687,0.000000,0.000000,0.000000,events/second
