t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1588647995,9,2.980592,0.000000,0.000000,0.000000,events/second
1588647998,105,17.515581,0.000000,0.000000,0.000000,events/second
1588648001,145,16.134247,0.000000,0.000000,0.000000,events/second
1588648004,145,12.094265,0.000000,0.000000,0.000000,events/second
1588648007,150,10.008465,0.000000,0.000000,0.000000,events/second
1588648010,160,8.895132,0.000000,0.000000,0.000000,events/second
1588648013,170,8.098576,0.000000,0.000000,0.000000,events/second
1588648016,200,8.338280,0.000000,0.000000,0.000000,events/second
1588648019,250,9.262416,0.000000,0.000000,0.000000,events/second
1588648022,250,8.337087,0.000000,0.000000,0.000000,events/second
1588648025,250,7.578286,0.000000,0.000000,0.000000,events/second
1588648028,250,6.946603,0.000000,0.000000,0.000000,events/second
1588648031,250,6.411990,0.000000,0.000000,0.000000,events/second
1588648034,250,5.954082,0.000000,0.000000,0.000000,events/second
1588648037,275,6.112783,0.000000,0.000000,0.000000,events/second
1588648040,275,5.730217,0.000000,0.000000,0.000000,events/second
1588648043,275,5.393283,0.000000,0.000000,0.000000,events/second
1588648046,275,5.093936,0.000000,0.000000,0.000000,events/second
1588648049,275,4.825170,0.000000,0.000000,0.000000,events/second
1588648052,280,4.667517,0.000000,0.000000,0.000000,events/second
1588648055,280,4.445166,0.000000,0.000000,0.000000,events/second
1588648058,305,4.622089,0.000000,0.000000,0.000000,events/second
1588648061,305,4.420995,0.000000,0.000000,0.000000,events/second
1588648064,305,4.236817,0.000000,0.000000,0.000000,events/second
1588648067,305,4.067379,0.000000,0.000000,0.000000,events/second
1588648070,305,3.910850,0.000000,0.000000,0.000000,events/second
1588648073,305,3.766112,0.000000,0.000000,0.000000,events/second
1588648076,325,3.869645,0.000000,0.000000,0.000000,events/second
1588648079,330,3.793591,0.000000,0.000000,0.000000,events/second
1588648082,330,3.667153,0.000000,0.000000,0.000000,events/second
1588648085,330,3.548972,0.000000,0.000000,0.000000,events/second
1588648088,330,3.437851,0.000000,0.000000,0.000000,events/second
1588648091,330,3.333717,0.000000,0.000000,0.000000,events/second
1588648094,330,3.235774,0.000000,0.000000,0.000000,events/second
1588648097,355,3.381428,0.000000,0.000000,0.000000,events/second
1588648100,355,3.287477,0.000000,0.000000,0.000000,events/second
1588648103,355,3.198589,0.000000,0.000000,0.000000,events/second
1588648106,355,3.114394,0.000000,0.000000,0.000000,events/second
