t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1588647995,2,0.662059,0.000000,0.000000,0.000000,events/second
1588647998,21,3.502451,0.000000,0.000000,0.000000,events/second
1588648001,23,2.558914,0.000000,0.000000,0.000000,events/second
1588648004,23,1.918226,0.000000,0.000000,0.000000,events/second
1588648007,23,1.534521,0.000000,0.000000,0.000000,events/second
1588648010,23,1.278598,0.000000,0.000000,0.000000,events/second
1588648013,23,1.095633,0.000000,0.000000,0.000000,events/second
1588648016,24,1.000550,0.000000,0.000000,0.000000,events/second
1588648019,27,1.000301,0.000000,0.000000,0.000000,events/second
1588648022,27,0.900374,0.000000,0.000000,0.000000,events/second
1588648025,27,0.818429,0.000000,0.000000,0.000000,events/second
1588648028,27,0.750211,0.000000,0.000000,0.000000,events/second
1588648031,27,0.692476,0.000000,0.000000,0.000000,events/second
1588648034,27,0.643025,0.000000,0.000000,0.000000,events/second
1588648037,29,0.644606,0.000000,0.000000,0.000000,events/second
1588648040,29,0.604264,0.000000,0.000000,0.000000,events/second
1588648043,29,0.568734,0.000000,0.000000,0.000000,events/second
1588648046,29,0.537168,0.000000,0.000000,0.000000,events/second
1588648049,29,0.508826,0.000000,0.000000,0.000000,events/second
1588648052,29,0.483413,0.000000,0.000000,0.000000,events/second
1588648055,29,0.460384,0.000000,0.000000,0.000000,events/second
1588648058,31,0.469779,0.000000,0.000000,0.000000,events/second
1588648061,31,0.449340,0.000000,0.000000,0.000000,events/second
1588648064,31,0.430621,0.000000,0.000000,0.000000,events/second
1588648067,31,0.413400,0.000000,0.000000,0.000000,events/second
1588648070,31,0.397491,0.000000,0.000000,0.000000,events/second
1588648073,31,0.382780,0.000000,0.000000,0.000000,events/second
1588648076,32,0.381006,0.000000,0.000000,0.000000,events/second
1588648079,33,0.379355,0.000000,0.000000,0.000000,events/second
1588648082,33,0.366711,0.000000,0.000000,0.000000,events/second
1588648085,33,0.354893,0.000000,0.000000,0.000000,events/second
1588648088,33,0.343781,0.000000,0.000000,0.000000,events/second
1588648091,33,0.333368,0.000000,0.000000,0.000000,events/second
1588648094,33,0.323574,0.000000,0.000000,0.000000,events/second
1588648097,35,0.333377,0.000000,0.000000,0.000000,events/second
1588648100,35,0.324114,0.000000,0.000000,0.000000,events/second
1588648103,35,0.315351,0.000000,0.000000,0.000000,events/second
1588648106,35,0.307050,0.000000,0.000000,0.000000,events/second
1588648109,35,0.299183,0.000000,0.000000,0.000000,events/second
1588648112,35,0.291691,0.000000,0.000000,0.000000,events/second
1588648115,35,0.284576,0.000000,0.000000,0.000000,events/second
1588648118,37,0.293678,0.000000,0.000000,0.000000,events/second
1588648121,37,0.286841,0.000000,0.000000,0.000000,events/second
1588648124,37,0.280330,0.000000,0.000000,0.000000,events/second
1588648127,37,0.274096,0.000000,0.000000,0.000000,events/second
1588648130,37,0.268139,0.000000,0.000000,0.000000,events/second
1588648133,37,0.262436,0.000000,0.000000,0.000000,events/second
1588648136,38,0.263908,0.000000,0.000000,0.000000,events/second
1588648139,39,0.265324,0.000000,0.000000,0.000000,events/second
1588648142,39,0.260024,0.000000,0.000000,0.000000,events/second
1588648145,39,0.254922,0.000000,0.000000,0.000000,events/second
1588648148,39,0.250020,0.000000,0.000000,0.000000,events/second
1588648151,39,0.245301,0.000000,0.000000,0.000000,events/second
1588648154,39,0.240759,0.000000,0.000000,0.000000,events/second
1588648157,41,0.248498,0.000000,0.000000,0.000000,events/second
1588648160,41,0.244066,0.000000,0.000000,0.000000,events/second
1588648163,41,0.239779,0.000000,0.000000,0.000000,events/second
1588648166,41,0.235650,0.000000,0.000000,0.000000,events/second
1588648169,41,0.231651,0.000000,0.000000,0.000000,events/second
1588648172,41,0.227796,0.000000,0.000000,0.000000,events/second
1588648175,41,0.224059,0.000000,0.000000,0.000000,events/second
1588648178,43,0.231198,0.000000,0.000000,0.000000,events/second
1588648181,43,0.227531,0.000000,0.000000,0.000000,events/second
1588648184,43,0.223971,0.000000,0.000000,0.000000,events/second
1588648187,43,0.220526,0.000000,0.000000,0.000000,events/second
1588648190,43,0.217185,0.000000,0.000000,0.000000,events/second
1588648193,43,0.213943,0.000000,0.000000,0.000000,events/second
1588648196,44,0.215697,0.000000,0.000000,0.000000,events/second
1588648199,45,0.217404,0.000000,0.000000,0.000000,events/second
1588648202,45,0.214296,0.000000,0.000000,0.000000,events/second
1588648205,45,0.211277,0.000000,0.000000,0.000000,events/second
1588648208,45,0.208343,0.000000,0.000000,0.000000,events/second
1588648211,45,0.205489,0.000000,0.000000,0.000000,events/second
1588648214,45,0.202715,0.000000,0.000000,0.000000,events/second
1588648217,47,0.208897,0.000000,0.000000,0.000000,events/second
1588648220,47,0.206152,0.000000,0.000000,0.000000,events/second
1588648223,47,0.203474,0.000000,0.000000,0.000000,events/second
1588648226,47,0.200864,0.000000,0.000000,0.000000,events/second
1588648229,47,0.198323,0.000000,0.000000,0.000000,events/second
1588648232,47,0.195842,0.000000,0.000000,0.000000,events/second
1588648235,47,0.193424,0.000000,0.000000,0.000000,events/second
1588648238,49,0.199195,0.000000,0.000000,0.000000,events/second
1588648241,49,0.196799,0.000000,0.000000,0.000000,events/second
1588648244,49,0.194452,0.000000,0.000000,0.000000,events/second
1588648247,49,0.192165,0.000000,0.000000,0.000000,events/second
1588648250,49,0.189933,0.000000,0.000000,0.000000,events/second
1588648253,49,0.187750,0.000000,0.000000,0.000000,events/second
1588648256,50,0.189402,0.000000,0.000000,0.000000,events/second
1588648259,51,0.191021,0.000000,0.000000,0.000000,events/second
1588648262,51,0.188899,0.000000,0.000000,0.000000,events/second
1588648265,51,0.186822,0.000000,0.000000,0.000000,events/second
1588648268,51,0.184791,0.000000,0.000000,0.000000,events/second
1588648271,51,0.182803,0.000000,0.000000,0.000000,events/second
1588648274,51,0.180858,0.000000,0.000000,0.000000,events/second
1588648277,53,0.185971,0.000000,0.000000,0.000000,events/second
1588648280,53,0.184033,0.000000,0.000000,0.000000,events/second
1588648283,53,0.182136,0.000000,0.000000,0.000000,events/second
1588648286,53,0.180279,0.000000,0.000000,0.000000,events/second
1588648289,53,0.178457,0.000000,0.000000,0.000000,events/second
1588648292,53,0.176672,0.000000,0.000000,0.000000,events/second
1588648295,53,0.174926,0.000000,0.000000,0.000000,events/second
1588648298,55,0.179744,0.000000,0.000000,0.000000,events/second
1588648301,55,0.178001,0.000000,0.000000,0.000000,events/second
1588648304,55,0.176288,0.000000,0.000000,0.000000,events/second
1588648307,55,0.174610,0.000000,0.000000,0.000000,events/second
1588648310,55,0.172962,0.000000,0.000000,0.000000,events/second
1588648313,55,0.171345,0.000000,0.000000,0.000000,events/second
1588648316,56,0.172845,0.000000,0.000000,0.000000,events/second
1588648319,57,0.174319,0.000000,0.000000,0.000000,events/second
1588648322,57,0.172735,0.000000,0.000000,0.000000,events/second
1588648325,57,0.171176,0.000000,0.000000,0.000000,events/second
1588648328,57,0.169648,0.000000,0.000000,0.000000,events/second
1588648331,57,0.168147,0.000000,0.000000,0.000000,events/second
1588648334,57,0.166672,0.000000,0.000000,0.000000,events/second
1588648337,59,0.171021,0.000000,0.000000,0.000000,events/second
1588648340,59,0.169547,0.000000,0.000000,0.000000,events/second
1588648343,59,0.168097,0.000000,0.000000,0.000000,events/second
1588648346,59,0.166673,0.000000,0.000000,0.000000,events/second
1588648349,59,0.165271,0.000000,0.000000,0.000000,events/second
1588648352,59,0.163894,0.000000,0.000000,0.000000,events/second
1588648355,59,0.162539,0.000000,0.000000,0.000000,events/second
1588648358,61,0.166672,0.000000,0.000000,0.000000,events/second
1588648361,61,0.165316,0.000000,0.000000,0.000000,events/second
1588648364,61,0.163983,0.000000,0.000000,0.000000,events/second
1588648367,61,0.162672,0.000000,0.000000,0.000000,events/second
1588648370,61,0.161381,0.000000,0.000000,0.000000,events/second
1588648373,61,0.160110,0.000000,0.000000,0.000000,events/second
1588648376,61,0.158859,0.000000,0.000000,0.000000,events/second
1588648379,63,0.162797,0.000000,0.000000,0.000000,events/second
1588648382,63,0.161544,0.000000,0.000000,0.000000,events/second
1588648385,63,0.160310,0.000000,0.000000,0.000000,events/second
1588648388,63,0.159096,0.000000,0.000000,0.000000,events/second
1588648391,63,0.157899,0.000000,0.000000,0.000000,events/second
1588648394,63,0.156722,0.000000,0.000000,0.000000,events/second
1588648397,65,0.160498,0.000000,0.000000,0.000000,events/second
1588648400,65,0.159318,0.000000,0.000000,0.000000,events/second
1588648403,65,0.158156,0.000000,0.000000,0.000000,events/second
1588648406,65,0.157009,0.000000,0.000000,0.000000,events/second
1588648409,65,0.155880,0.000000,0.000000,0.000000,events/second
1588648412,65,0.154766,0.000000,0.000000,0.000000,events/second
1588648415,65,0.153670,0.000000,0.000000,0.000000,events/second
1588648418,67,0.157282,0.000000,0.000000,0.000000,events/second
1588648421,67,0.156182,0.000000,0.000000,0.000000,events/second
1588648424,67,0.155097,0.000000,0.000000,0.000000,events/second
