t,value
1588647995,0
1588647998,0
1588648001,0
1588648004,0
1588648007,0
1588648010,0
1588648013,0
1588648016,0
1588648019,0
1588648022,0
1588648025,0
1588648028,0
1588648031,0
1588648034,0
1588648037,0
1588648040,0
1588648043,0
1588648046,0
1588648049,0
1588648052,0
1588648055,0
1588648058,0
1588648061,0
1588648064,0
1588648067,0
1588648070,0
1588648073,0
1588648076,0
1588648079,0
1588648082,0
1588648085,0
1588648088,0
1588648091,0
1588648094,0
1588648097,0
1588648100,0
1588648103,0
1588648106,0
1588648109,0
1588648112,0
1588648115,0
1588648118,0
1588648121,0
1588648124,0
1588648127,0
1588648130,0
1588648133,0
1588648136,0
1588648139,0
1588648142,0
1588648145,0
1588648148,0
1588648151,0
1588648154,0
1588648157,0
1588648160,0
1588648163,0
1588648166,0
1588648169,0
1588648172,0
1588648175,0
1588648178,0
1588648181,0
1588648184,0
1588648187,0
1588648190,0
1588648193,0
1588648196,0
1588648199,0
1588648202,0
1588648205,0
1588648208,0
1588648211,0
1588648214,0
1588648217,0
1588648220,0
1588648223,0
1588648226,0
1588648229,0
1588648232,0
1588648235,0
1588648238,0
1588648241,0
1588648244,0
1588648247,0
1588648250,0
1588648253,0
1588648256,0
1588648259,0
1588648262,0
1588648265,0
1588648268,0
1588648271,0
1588648274,0
1588648277,0
1588648280,0
1588648283,0
1588648286,0
1588648289,0
1588648292,0
1588648295,0
1588648298,0
1588648301,0
1588648304,0
1588648307,0
1588648310,0
1588648313,0
1588648316,0
1588648319,0
1588648322,0
1588648325,0
1588648328,0
1588648331,0
1588648334,0
1588648337,0
1588648340,0
1588648343,0
1588648346,0
1588648349,0
1588648352,0
1588648355,0
1588648358,0
1588648361,0
1588648364,0
1588648367,0
1588648370,0
1588648373,0
1588648376,0
1588648379,0
1588648382,0
1588648385,0
1588648388,0
1588648391,0
1588648394,0
1588648397,0
1588648400,0
1588648403,0
1588648406,0
1588648409,0
1588648412,0
1588648415,0
1588648418,0
1588648421,0
1588648424,0
1588648427,0
1588648430,0
1588648433,0
1588648436,0
1588648439,0
1588648442,0
1588648445,0
1588648448,0
1588648451,0
1588648454,0
1588648457,0
1588648460,0
1588648463,0
1588648466,0
1588648469,0
1588648472,0
1588648475,0
1588648478,0
1588648481,0
1588648484,0
1588648487,0
1588648490,0
1588648493,0
1588648496,0
1588648499,0
1588648502,0
1588648505,0
1588648508,0
1588648511,0
1588648514,0
1588648517,0
1588648520,0
1588648523,0
1588648526,0
1588648529,0
1588648532,0
1588648535,0
1588648538,0
1588648541,0
1588648544,0
1588648547,0
1588648550,0
1588648553,0
1588648556,0
1588648559,0
1588648562,0
1588648565,0
1588648568,0
1588648571,0
1588648574,0
1588648577,0
1588648580,0
1588648583,0
1588648586,0
1588648589,0
1588648592,0
1588648595,0
1588648598,0
1588648601,0
1588648604,0
1588648607,0
1588648610,0
1588648613,0
1588648616,0
1588648619,0
1588648622,0
1588648625,0
1588648628,0
1588648631,0
1588648634,0
1588648637,0
1588648640,0
1588648643,0
1588648646,0
1588648649,0
1588648652,0
1588648655,0
1588648658,0
1588648661,0
1588648664,0
1588648667,0
1588648670,0
1588648673,0
1588648676,0
1588648679,0
1588648682,0
1588648685,0
1588648688,0
1588648691,0
1588648694,0
1588648697,0
1588648700,0
1588648703,0
1588648706,0
1588648709,0
1588648712,0
1588648715,0
1588648718,0
1588648721,0
1588648724,0
1588648727,0
1588648730,0
1588648733,0
1588648736,0
1588648739,0
1588648742,0
1588648745,0
1588648748,0
1588648751,0
1588648754,0
1588648757,0
1588648760,0
1588648763,0
1588648766,0
1588648769,0
1588648772,0
1588648775,0
1588648778,0
1588648781,0
1588648784,0
1588648787,0
1588648790,0
1588648793,0
1588648796,0
1588648799,0
1588648802,0
1588648805,0
1588648808,0
1588648811,0
1588648814,0
1588648817,0
1588648820,0
1588648823,0
1588648826,0
1588648829,0
1588648832,0
1588648835,0
1588648838,0
1588648841,0
1588648844,0
1588648847,0
1588648850,0
1588648853,0
1588648856,0
1588648859,0
1588648862,0
1588648865,0
1588648868,0
1588648871,0
1588648874,0
1588648877,0
1588648880,0
1588648883,0
1588648886,0
1588648889,0
1588648892,0
1588648895,0
1588648898,0
1588648901,0
1588648904,0
1588648907,0
1588648910,0
1588648913,0
1588648916,0
1588648919,0
1588648922,0
1588648925,0
1588648928,0
1588648931,0
1588648934,0
1588648937,0
1588648940,0
1588648943,0
1588648946,0
1588648949,0
1588648952,0
1588648955,0
1588648958,0
1588648961,0
1588648964,0
1588648967,0
1588648970,0
1588648973,0
1588648976,0
1588648979,0
1588648982,0
1588648985,0
1588648988,0
1588648991,0
1588648994,0
1588648997,0
1588649000,0
1588649003,0
1588649006,0
1588649009,0
1588649012,0
1588649015,0
1588649018,0
1588649021,0
1588649024,0
1588649027,0
1588649030,0
1588649033,0
1588649036,0
1588649039,0
1588649042,0
1588649045,0
1588649048,0
1588649051,0
1588649054,0
1588649057,0
1588649060,0
1588649063,0
1588649066,0
1588649069,0
1588649072,0
1588649075,0
1588649078,0
1588649081,0
1588649084,0
1588649087,0
1588649090,0
1588649093,0
1588649096,0
1588649099,0
1588649102,0
1588649105,0
1588649108,0
1588649111,0
1588649114,0
1588649117,0
1588649120,0
1588649123,0
1588649126,0
1588649129,0
1588649132,0
1588649135,0
1588649138,0
1588649141,0
1588649144,0
1588649147,0
1588649150,0
1588649153,0
1588649156,0
1588649159,0
1588649162,0
1588649165,0
1588649168,0
1588649171,0
1588649174,0
1588649177,0
1588649180,0
1588649183,0
1588649186,0
1588649189,0
1588649192,0
1588649195,0
1588649198,0
1588649201,0
1588649204,0
1588649207,0
1588649210,0
1588649213,0
1588649216,0
1588649219,0
1588649222,0
1588649225,0
1588649228,0
1588649231,0
1588649234,0
1588649237,0
1588649240,0
1588649243,0
1588649246,0
1588649249,0
1588649252,0
1588649255,0
1588649258,0
1588649261,0
1588649264,0
1588649267,0
1588649270,0
1588649273,0
1588649276,0
1588649279,0
1588649282,0
1588649285,0
1588649288,0
1588649291,0
1588649294,0
1588649297,0
1588649300,0
1588649303,0
1588649306,0
1588649309,0
1588649312,0
1588649315,0
1588649318,0
1588649321,0
1588649324,0
1588649327,0
1588649330,0
1588649333,0
1588649336,0
1588649339,0
1588649342,0
1588649345,0
1588649348,0
1588649351,0
1588649354,0
1588649357,0
1588649360,0
1588649363,0
1588649366,0
1588649369,0
1588649372,0
1588649375,0
1588649378,0
1588649381,0
1588649384,0
1588649387,0
1588649390,0
1588649393,0
1588649396,0
1588649399,0
1588649402,0
1588649405,0
1588649408,0
1588649411,0
1588649414,0
1588649417,0
1588649420,0
1588649423,0
1588649426,0
1588649429,0
1588649432,0
1588649435,0
1588649438,0
1588649441,0
1588649444,0
1588649447,0
1588649450,0
1588649453,0
1588649456,0
1588649459,0
1588649462,0
1588649465,0
1588649468,0
1588649471,0
1588649474,0
1588649477,0
1588649480,0
1588649483,0
1588649486,0
1588649489,0
1588649492,0
1588649495,0
1588649498,0
1588649501,0
1588649504,0
1588649507,0
1588649510,0
1588649513,0
1588649516,0
1588649519,0
1588649522,0
1588649525,0
1588649528,0
1588649531,0
1588649534,0
1588649537,0
1588649540,0
1588649543,0
1588649546,0
1588649549,0
1588649552,0
1588649555,0
1588649558,0
1588649561,0
1588649564,0
1588649567,0
1588649570,0
1588649573,0
1588649576,0
1588649579,0
1588649582,0
1588649585,0
1588649588,0
1588649591,0
1588649594,0
1588649597,0
1588649600,0
1588649603,0
1588649606,0
1588649609,0
1588649612,0
1588649615,0
1588649618,0
1588649621,0
1588649624,407
1588649627,407
1588649630,407
1588649633,407
1588649636,407
1588649639,407
1588649642,407
1588649645,407
1588649648,407
1588649651,407
1588649654,407
1588649657,407
1588649660,407
1588649663,407
1588649666,407
1588649669,407
1588649672,407
1588649675,407
1588649678,407
1588649681,407
1588649684,407
1588649687,407
1588649690,407
1588649693,407
1588649696,407
1588649699,407
1588649702,407
1588649705,407
1588649708,407
1588649711,407
1588649714,407
1588649717,407
1588649720,407
1588649723,407
1588649726,407
1588649729,407
1588649732,407
1588649735,407
1588649738,407
1588649741,407
1588649744,407
1588649747,407
1588649750,407
1588649753,407
1588649756,407
1588649759,407
1588649762,407
1588649765,407
1588649768,407
1588649771,407
1588649774,407
1588649777,407
1588649780,407
1588649783,407
1588649786,407
1588649789,407
1588649792,407
1588649795,407
1588649798,407
1588649801,407
1588649804,407
1588649807,407
1588649810,407
1588649813,407
1588649816,407
1588649819,407
1588649822,407
1588649825,407
1588649828,407
1588649831,407
1588649834,407
1588649837,407
1588649840,407
1588649843,407
1588649846,407
1588649849,407
1588649852,407
1588649855,407
1588649858,407
1588649861,407
1588649864,407
1588649867,407
1588649870,407
1588649873,407
1588649876,407
1588649879,407
1588649882,407
1588649885,407
1588649888,407
1588649891,407
1588649894,407
1588649897,407
1588649900,407
1588649903,407
1588649906,407
1588649909,407
1588649912,407
1588649915,407
1588649918,407
1588649921,407
1588649924,407
1588649927,407
1588649930,407
1588649933,407
1588649936,407
1588649939,407
1588649942,407
1588649945,407
1588649948,407
1588649951,407
1588649954,407
1588649957,407
1588649960,407
1588649963,407
1588649966,407
1588649969,407
1588649972,407
1588649975,407
1588649978,407
1588649981,407
1588649984,407
1588649987,407
1588649990,407
1588649993,407
1588649996,407
1588649999,407
1588650002,407
1588650005,407
1588650008,407
1588650011,407
1588650014,407
1588650017,407
1588650020,407
1588650023,407
1588650026,407
1588650029,407
1588650032,407
1588650035,407
1588650038,407
1588650041,407
1588650044,407
1588650047,407
1588650050,407
1588650053,407
1588650056,407
1588650059,407
1588650062,407
1588650065,407
1588650068,407
1588650071,407
1588650074,407
1588650077,407
1588650080,407
1588650083,407
1588650086,407
1588650089,407
1588650092,407
1588650095,407
1588650098,407
1588650101,407
1588650104,407
1588650107,407
1588650110,407
