t,value
1588647995,810923
1588647998,810923
1588648001,810923
1588648004,810923
1588648007,810923
1588648010,810923
1588648013,810923
1588648016,810923
1588648019,810923
1588648022,810923
1588648025,810923
1588648028,810923
1588648031,810923
1588648034,810923
1588648037,810923
1588648040,810923
1588648043,810923
1588648046,810923
1588648049,810923
1588648052,810923
1588648055,810923
1588648058,810923
1588648061,810923
1588648064,810923
1588648067,810923
1588648070,810923
1588648073,810923
1588648076,810923
1588648079,810923
1588648082,810923
1588648085,810923
1588648088,810923
1588648091,810923
1588648094,810923
1588648097,810923
1588648100,810923
1588648103,810923
1588648106,810923
1588648109,810923
1588648112,810923
1588648115,810923
1588648118,810923
1588648121,810923
1588648124,810923
1588648127,810923
1588648130,810923
1588648133,810923
1588648136,810923
1588648139,810923
1588648142,810923
1588648145,810923
1588648148,810923
1588648151,810923
1588648154,810923
1588648157,810923
1588648160,810923
1588648163,810923
1588648166,810923
1588648169,810923
1588648172,810923
1588648175,810923
1588648178,810923
1588648181,810923
1588648184,810923
1588648187,810923
1588648190,810923
1588648193,810923
1588648196,810923
1588648199,810923
1588648202,810923
1588648205,810923
1588648208,810923
1588648211,810923
1588648214,810923
1588648217,810923
1588648220,810923
1588648223,810923
1588648226,810923
1588648229,810923
1588648232,810923
1588648235,810923
1588648238,810923
1588648241,810923
1588648244,810923
1588648247,810923
1588648250,810923
1588648253,810923
1588648256,810923
1588648259,810923
1588648262,810923
1588648265,810923
1588648268,810923
1588648271,810923
1588648274,810923
1588648277,810923
1588648280,810923
1588648283,810923
1588648286,810923
1588648289,810923
1588648292,810923
1588648295,810923
1588648298,810923
1588648301,810923
1588648304,810923
1588648307,810923
1588648310,810923
1588648313,810923
1588648316,810923
1588648319,810923
1588648322,810923
1588648325,810923
1588648328,810923
1588648331,810923
1588648334,810923
1588648337,810923
1588648340,810923
1588648343,810923
1588648346,810923
1588648349,810923
1588648352,810923
1588648355,810923
1588648358,810923
1588648361,810923
1588648364,810923
1588648367,810923
1588648370,810923
1588648373,810923
1588648376,810923
1588648379,810923
1588648382,810923
1588648385,810923
1588648388,810923
1588648391,810923
1588648394,810923
1588648397,810923
1588648400,810923
1588648403,810923
1588648406,810923
1588648409,810923
1588648412,810923
1588648415,810923
1588648418,810923
1588648421,810923
1588648424,810923
1588648427,810923
1588648430,810923
1588648433,810923
1588648436,810923
1588648439,810923
