t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1588647995,2,0.510883,0.000000,0.000000,0.000000,events/second
1588647998,9,1.306799,0.000000,0.000000,0.000000,events/second
1588648001,18,1.822036,0.000000,0.000000,0.000000,events/second
1588648004,18,1.397387,0.000000,0.000000,0.000000,events/second
1588648007,18,1.133555,0.000000,0.000000,0.000000,events/second
1588648010,18,0.953421,0.000000,0.000000,0.000000,events/second
1588648013,18,0.822542,0.000000,0.000000,0.000000,events/second
1588648016,20,0.803939,0.000000,0.000000,0.000000,events/second
1588648019,25,0.896614,0.000000,0.000000,0.000000,events/second
1588648022,25,0.809634,0.000000,0.000000,0.000000,events/second
1588648025,25,0.737882,0.000000,0.000000,0.000000,events/second
1588648028,25,0.677864,0.000000,0.000000,0.000000,events/second
1588648031,25,0.626861,0.000000,0.000000,0.000000,events/second
1588648034,25,0.583026,0.000000,0.000000,0.000000,events/second
1588648037,27,0.588495,0.000000,0.000000,0.000000,events/second
1588648040,27,0.552336,0.000000,0.000000,0.000000,events/second
1588648043,27,0.520419,0.000000,0.000000,0.000000,events/second
1588648046,27,0.492005,0.000000,0.000000,0.000000,events/second
1588648049,27,0.466443,0.000000,0.000000,0.000000,events/second
1588648052,27,0.443488,0.000000,0.000000,0.000000,events/second
1588648055,27,0.422657,0.000000,0.000000,0.000000,events/second
1588648058,29,0.433617,0.000000,0.000000,0.000000,events/second
1588648061,29,0.414992,0.000000,0.000000,0.000000,events/second
1588648064,29,0.397915,0.000000,0.000000,0.000000,events/second
1588648067,29,0.382190,0.000000,0.000000,0.000000,events/second
1588648070,29,0.367647,0.000000,0.000000,0.000000,events/second
1588648073,29,0.354189,0.000000,0.000000,0.000000,events/second
1588648076,31,0.365227,0.000000,0.000000,0.000000,events/second
1588648079,31,0.352752,0.000000,0.000000,0.000000,events/second
1588648082,31,0.341109,0.000000,0.000000,0.000000,events/second
1588648085,31,0.330221,0.000000,0.000000,0.000000,events/second
1588648088,31,0.319977,0.000000,0.000000,0.000000,events/second
1588648091,31,0.310371,0.000000,0.000000,0.000000,events/second
1588648094,31,0.301332,0.000000,0.000000,0.000000,events/second
1588648097,33,0.311682,0.000000,0.000000,0.000000,events/second
1588648100,33,0.303093,0.000000,0.000000,0.000000,events/second
1588648103,33,0.294964,0.000000,0.000000,0.000000,events/second
1588648106,33,0.287260,0.000000,0.000000,0.000000,events/second
1588648109,33,0.279955,0.000000,0.000000,0.000000,events/second
1588648112,33,0.272996,0.000000,0.000000,0.000000,events/second
1588648115,33,0.266385,0.000000,0.000000,0.000000,events/second
1588648118,35,0.275854,0.000000,0.000000,0.000000,events/second
1588648121,35,0.269475,0.000000,0.000000,0.000000,events/second
1588648124,35,0.263400,0.000000,0.000000,0.000000,events/second
1588648127,35,0.257581,0.000000,0.000000,0.000000,events/second
1588648130,35,0.252018,0.000000,0.000000,0.000000,events/second
1588648133,35,0.246692,0.000000,0.000000,0.000000,events/second
1588648136,37,0.255383,0.000000,0.000000,0.000000,events/second
1588648139,37,0.250201,0.000000,0.000000,0.000000,events/second
1588648142,37,0.245233,0.000000,0.000000,0.000000,events/second
1588648145,37,0.240449,0.000000,0.000000,0.000000,events/second
1588648148,37,0.235852,0.000000,0.000000,0.000000,events/second
1588648151,37,0.231425,0.000000,0.000000,0.000000,events/second
1588648154,37,0.227163,0.000000,0.000000,0.000000,events/second
1588648157,39,0.235107,0.000000,0.000000,0.000000,events/second
1588648160,39,0.230936,0.000000,0.000000,0.000000,events/second
1588648163,39,0.226901,0.000000,0.000000,0.000000,events/second
1588648166,39,0.223013,0.000000,0.000000,0.000000,events/second
1588648169,39,0.219247,0.000000,0.000000,0.000000,events/second
1588648172,39,0.215617,0.000000,0.000000,0.000000,events/second
1588648175,39,0.212097,0.000000,0.000000,0.000000,events/second
1588648178,41,0.219394,0.000000,0.000000,0.000000,events/second
1588648181,41,0.215930,0.000000,0.000000,0.000000,events/second
1588648184,41,0.212568,0.000000,0.000000,0.000000,events/second
1588648187,41,0.209312,0.000000,0.000000,0.000000,events/second
1588648190,41,0.206155,0.000000,0.000000,0.000000,events/second
1588648193,41,0.203093,0.000000,0.000000,0.000000,events/second
1588648196,43,0.209878,0.000000,0.000000,0.000000,events/second
1588648199,43,0.206851,0.000000,0.000000,0.000000,events/second
1588648202,43,0.203907,0.000000,0.000000,0.000000,events/second
1588648205,43,0.201046,0.000000,0.000000,0.000000,events/second
1588648208,43,0.198265,0.000000,0.000000,0.000000,events/second
1588648211,43,0.195560,0.000000,0.000000,0.000000,events/second
1588648214,43,0.192931,0.000000,0.000000,0.000000,events/second
1588648217,45,0.199219,0.000000,0.000000,0.000000,events/second
1588648220,45,0.196611,0.000000,0.000000,0.000000,events/second
1588648223,45,0.194067,0.000000,0.000000,0.000000,events/second
1588648226,45,0.191587,0.000000,0.000000,0.000000,events/second
1588648229,45,0.189173,0.000000,0.000000,0.000000,events/second
1588648232,45,0.186815,0.000000,0.000000,0.000000,events/second
1588648235,45,0.184516,0.000000,0.000000,0.000000,events/second
1588648238,47,0.190376,0.000000,0.000000,0.000000,events/second
1588648241,47,0.188094,0.000000,0.000000,0.000000,events/second
1588648244,47,0.185858,0.000000,0.000000,0.000000,events/second
1588648247,47,0.183680,0.000000,0.000000,0.000000,events/second
1588648250,47,0.181553,0.000000,0.000000,0.000000,events/second
1588648253,47,0.179475,0.000000,0.000000,0.000000,events/second
1588648256,49,0.184990,0.000000,0.000000,0.000000,events/second
1588648259,49,0.182920,0.000000,0.000000,0.000000,events/second
1588648262,49,0.180895,0.000000,0.000000,0.000000,events/second
1588648265,49,0.178912,0.000000,0.000000,0.000000,events/second
1588648268,49,0.176973,0.000000,0.000000,0.000000,events/second
1588648271,49,0.175076,0.000000,0.000000,0.000000,events/second
1588648274,49,0.173218,0.000000,0.000000,0.000000,events/second
1588648277,51,0.178396,0.000000,0.000000,0.000000,events/second
1588648280,51,0.176543,0.000000,0.000000,0.000000,events/second
1588648283,51,0.174728,0.000000,0.000000,0.000000,events/second
1588648286,51,0.172952,0.000000,0.000000,0.000000,events/second
1588648289,51,0.171210,0.000000,0.000000,0.000000,events/second
1588648292,51,0.169502,0.000000,0.000000,0.000000,events/second
1588648295,51,0.167832,0.000000,0.000000,0.000000,events/second
1588648298,53,0.172705,0.000000,0.000000,0.000000,events/second
1588648301,53,0.171035,0.000000,0.000000,0.000000,events/second
1588648304,53,0.169394,0.000000,0.000000,0.000000,events/second
1588648307,53,0.167786,0.000000,0.000000,0.000000,events/second
1588648310,53,0.166207,0.000000,0.000000,0.000000,events/second
1588648313,53,0.164657,0.000000,0.000000,0.000000,events/second
1588648316,53,0.163137,0.000000,0.000000,0.000000,events/second
1588648319,55,0.167746,0.000000,0.000000,0.000000,events/second
1588648322,55,0.166225,0.000000,0.000000,0.000000,events/second
1588648325,55,0.164730,0.000000,0.000000,0.000000,events/second
1588648328,55,0.163263,0.000000,0.000000,0.000000,events/second
1588648331,55,0.161822,0.000000,0.000000,0.000000,events/second
1588648334,55,0.160406,0.000000,0.000000,0.000000,events/second
1588648337,57,0.164798,0.000000,0.000000,0.000000,events/second
1588648340,57,0.163381,0.000000,0.000000,0.000000,events/second
1588648343,57,0.161988,0.000000,0.000000,0.000000,events/second
1588648346,57,0.160619,0.000000,0.000000,0.000000,events/second
1588648349,57,0.159271,0.000000,0.000000,0.000000,events/second
1588648352,57,0.157947,0.000000,0.000000,0.000000,events/second
1588648355,57,0.156644,0.000000,0.000000,0.000000,events/second
1588648358,59,0.160816,0.000000,0.000000,0.000000,events/second
1588648361,59,0.159511,0.000000,0.000000,0.000000,events/second
1588648364,59,0.158228,0.000000,0.000000,0.000000,events/second
1588648367,59,0.156966,0.000000,0.000000,0.000000,events/second
1588648370,59,0.155723,0.000000,0.000000,0.000000,events/second
1588648373,59,0.154499,0.000000,0.000000,0.000000,events/second
1588648376,59,0.153295,0.000000,0.000000,0.000000,events/second
1588648379,61,0.157267,0.000000,0.000000,0.000000,events/second
1588648382,61,0.156059,0.000000,0.000000,0.000000,events/second
1588648385,61,0.154870,0.000000,0.000000,0.000000,events/second
1588648388,61,0.153699,0.000000,0.000000,0.000000,events/second
1588648391,61,0.152546,0.000000,0.000000,0.000000,events/second
1588648394,61,0.151411,0.000000,0.000000,0.000000,events/second
1588648397,63,0.155218,0.000000,0.000000,0.000000,events/second
1588648400,63,0.154080,0.000000,0.000000,0.000000,events/second
1588648403,63,0.152958,0.000000,0.000000,0.000000,events/second
1588648406,63,0.151851,0.000000,0.000000,0.000000,events/second
1588648409,63,0.150762,0.000000,0.000000,0.000000,events/second
1588648412,63,0.149687,0.000000,0.000000,0.000000,events/second
