t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1588647995,2,0.510840,0.000000,0.000000,0.000000,events/second
1588647998,9,1.306770,0.000000,0.000000,0.000000,events/second
1588648001,13,1.315894,0.000000,0.000000,0.000000,events/second
1588648004,13,1.009218,0.000000,0.000000,0.000000,events/second
1588648007,13,0.818675,0.000000,0.000000,0.000000,events/second
1588648010,13,0.688579,0.000000,0.000000,0.000000,events/second
1588648013,13,0.594056,0.000000,0.000000,0.000000,events/second
1588648016,15,0.602953,0.000000,0.000000,0.000000,events/second
1588648019,20,0.717289,0.000000,0.000000,0.000000,events/second
1588648022,20,0.647707,0.000000,0.000000,0.000000,events/second
1588648025,20,0.590305,0.000000,0.000000,0.000000,events/second
1588648028,20,0.542291,0.000000,0.000000,0.000000,events/second
1588648031,20,0.501489,0.000000,0.000000,0.000000,events/second
1588648034,20,0.466421,0.000000,0.000000,0.000000,events/second
1588648037,22,0.479514,0.000000,0.000000,0.000000,events/second
1588648040,22,0.450051,0.000000,0.000000,0.000000,events/second
1588648043,22,0.424045,0.000000,0.000000,0.000000,events/second
1588648046,22,0.400892,0.000000,0.000000,0.000000,events/second
1588648049,22,0.380064,0.000000,0.000000,0.000000,events/second
1588648052,22,0.361360,0.000000,0.000000,0.000000,events/second
1588648055,22,0.344387,0.000000,0.000000,0.000000,events/second
1588648058,24,0.358855,0.000000,0.000000,0.000000,events/second
1588648061,24,0.343441,0.000000,0.000000,0.000000,events/second
1588648064,24,0.329309,0.000000,0.000000,0.000000,events/second
1588648067,24,0.316295,0.000000,0.000000,0.000000,events/second
1588648070,24,0.304259,0.000000,0.000000,0.000000,events/second
1588648073,24,0.293122,0.000000,0.000000,0.000000,events/second
1588648076,26,0.306319,0.000000,0.000000,0.000000,events/second
1588648079,26,0.295856,0.000000,0.000000,0.000000,events/second
1588648082,26,0.286092,0.000000,0.000000,0.000000,events/second
1588648085,26,0.276960,0.000000,0.000000,0.000000,events/second
1588648088,26,0.268368,0.000000,0.000000,0.000000,events/second
1588648091,26,0.260311,0.000000,0.000000,0.000000,events/second
1588648094,26,0.252730,0.000000,0.000000,0.000000,events/second
