t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1588647995,0,0.000000,0.000000,0.000000,0.000000,events/second
1588647998,0,0.000000,0.000000,0.000000,0.000000,events/second
1588648001,5,0.506110,0.000000,0.000000,0.000000,events/second
1588648004,5,0.388159,0.000000,0.000000,0.000000,events/second
1588648007,5,0.314874,0.000000,0.000000,0.000000,events/second
1588648010,5,0.264837,0.000000,0.000000,0.000000,events/second
1588648013,5,0.228482,0.000000,0.000000,0.000000,events/second
1588648016,5,0.200984,0.000000,0.000000,0.000000,events/second
1588648019,5,0.179322,0.000000,0.000000,0.000000,events/second
1588648022,5,0.161927,0.000000,0.000000,0.000000,events/second
1588648025,5,0.147576,0.000000,0.000000,0.000000,events/second
1588648028,5,0.135573,0.000000,0.000000,0.000000,events/second
1588648031,5,0.125372,0.000000,0.000000,0.000000,events/second
1588648034,5,0.116605,0.000000,0.000000,0.000000,events/second
1588648037,5,0.108980,0.000000,0.000000,0.000000,events/second
1588648040,5,0.102284,0.000000,0.000000,0.000000,events/second
1588648043,5,0.096374,0.000000,0.000000,0.000000,events/second
1588648046,5,0.091112,0.000000,0.000000,0.000000,events/second
1588648049,5,0.086378,0.000000,0.000000,0.000000,events/second
1588648052,5,0.082127,0.000000,0.000000,0.000000,events/second
1588648055,5,0.078270,0.000000,0.000000,0.000000,events/second
1588648058,5,0.074761,0.000000,0.000000,0.000000,events/second
1588648061,5,0.071550,0.000000,0.000000,0.000000,events/second
1588648064,5,0.068606,0.000000,0.000000,0.000000,events/second
1588648067,5,0.065895,0.000000,0.000000,0.000000,events/second
1588648070,5,0.063387,0.000000,0.000000,0.000000,events/second
1588648073,5,0.061067,0.000000,0.000000,0.000000,events/second
1588648076,5,0.058908,0.000000,0.000000,0.000000,events/second
1588648079,5,0.056895,0.000000,0.000000,0.000000,events/second
1588648082,5,0.055018,0.000000,0.000000,0.000000,events/second
1588648085,5,0.053261,0.000000,0.000000,0.000000,events/second
1588648088,5,0.051609,0.000000,0.000000,0.000000,events/second
1588648091,5,0.050060,0.000000,0.000000,0.000000,events/second
1588648094,5,0.048602,0.000000,0.000000,0.000000,events/second
1588648097,5,0.047225,0.000000,0.000000,0.000000,events/second
1588648100,5,0.045923,0.000000,0.000000,0.000000,events/second
1588648103,5,0.044691,0.000000,0.000000,0.000000,events/second
1588648106,5,0.043524,0.000000,0.000000,0.000000,events/second
1588648109,5,0.042417,0.000000,0.000000,0.000000,events/second
1588648112,5,0.041363,0.000000,0.000000,0.000000,events/second
1588648115,5,0.040361,0.000000,0.000000,0.000000,events/second
1588648118,5,0.039408,0.000000,0.000000,0.000000,events/second
1588648121,5,0.038496,0.000000,0.000000,0.000000,events/second
1588648124,5,0.037628,0.000000,0.000000,0.000000,events/second
1588648127,5,0.036797,0.000000,0.000000,0.000000,events/second
1588648130,5,0.036003,0.000000,0.000000,0.000000,events/second
1588648133,5,0.035242,0.000000,0.000000,0.000000,events/second
1588648136,5,0.034511,0.000000,0.000000,0.000000,events/second
1588648139,5,0.033811,0.000000,0.000000,0.000000,events/second
1588648142,5,0.033140,0.000000,0.000000,0.000000,events/second
1588648145,5,0.032493,0.000000,0.000000,0.000000,events/second
1588648148,5,0.031872,0.000000,0.000000,0.000000,events/second
1588648151,5,0.031274,0.000000,0.000000,0.000000,events/second
1588648154,5,0.030698,0.000000,0.000000,0.000000,events/second
1588648157,5,0.030142,0.000000,0.000000,0.000000,events/second
1588648160,5,0.029607,0.000000,0.000000,0.000000,events/second
1588648163,5,0.029090,0.000000,0.000000,0.000000,events/second
1588648166,5,0.028591,0.000000,0.000000,0.000000,events/second
1588648169,5,0.028109,0.000000,0.000000,0.000000,events/second
1588648172,5,0.027643,0.000000,0.000000,0.000000,events/second
1588648175,5,0.027192,0.000000,0.000000,0.000000,events/second
1588648178,5,0.026755,0.000000,0.000000,0.000000,events/second
1588648181,5,0.026333,0.000000,0.000000,0.000000,events/second
1588648184,5,0.025923,0.000000,0.000000,0.000000,events/second
1588648187,5,0.025526,0.000000,0.000000,0.000000,events/second
1588648190,5,0.025141,0.000000,0.000000,0.000000,events/second
1588648193,5,0.024767,0.000000,0.000000,0.000000,events/second
1588648196,5,0.024404,0.000000,0.000000,0.000000,events/second
1588648199,5,0.024052,0.000000,0.000000,0.000000,events/second
1588648202,5,0.023710,0.000000,0.000000,0.000000,events/second
1588648205,5,0.023377,0.000000,0.000000,0.000000,events/second
1588648208,5,0.023054,0.000000,0.000000,0.000000,events/second
1588648211,5,0.022740,0.000000,0.000000,0.000000,events/second
1588648214,5,0.022434,0.000000,0.000000,0.000000,events/second
1588648217,5,0.022135,0.000000,0.000000,0.000000,events/second
1588648220,5,0.021846,0.000000,0.000000,0.000000,events/second
1588648223,5,0.021563,0.000000,0.000000,0.000000,events/second
1588648226,5,0.021287,0.000000,0.000000,0.000000,events/second
1588648229,5,0.021019,0.000000,0.000000,0.000000,events/second
1588648232,5,0.020757,0.000000,0.000000,0.000000,events/second
1588648235,5,0.020502,0.000000,0.000000,0.000000,events/second
1588648238,5,0.020253,0.000000,0.000000,0.000000,events/second
1588648241,5,0.020010,0.000000,0.000000,0.000000,events/second
1588648244,5,0.019772,0.000000,0.000000,0.000000,events/second
1588648247,5,0.019540,0.000000,0.000000,0.000000,events/second
1588648250,5,0.019314,0.000000,0.000000,0.000000,events/second
1588648253,5,0.019093,0.000000,0.000000,0.000000,events/second
1588648256,5,0.018876,0.000000,0.000000,0.000000,events/second
1588648259,5,0.018665,0.000000,0.000000,0.000000,events/second
1588648262,5,0.018459,0.000000,0.000000,0.000000,events/second
1588648265,5,0.018256,0.000000,0.000000,0.000000,events/second
1588648268,5,0.018058,0.000000,0.000000,0.000000,events/second
1588648271,5,0.017865,0.000000,0.000000,0.000000,events/second
1588648274,5,0.017675,0.000000,0.000000,0.000000,events/second
1588648277,5,0.017490,0.000000,0.000000,0.000000,events/second
1588648280,5,0.017308,0.000000,0.000000,0.000000,events/second
1588648283,5,0.017130,0.000000,0.000000,0.000000,events/second
1588648286,5,0.016956,0.000000,0.000000,0.000000,events/second
1588648289,5,0.016785,0.000000,0.000000,0.000000,events/second
1588648292,5,0.016618,0.000000,0.000000,0.000000,events/second
1588648295,5,0.016454,0.000000,0.000000,0.000000,events/second
1588648298,5,0.016293,0.000000,0.000000,0.000000,events/second
1588648301,5,0.016135,0.000000,0.000000,0.000000,events/second
1588648304,5,0.015981,0.000000,0.000000,0.000000,events/second
1588648307,5,0.015829,0.000000,0.000000,0.000000,events/second
1588648310,5,0.015680,0.000000,0.000000,0.000000,events/second
1588648313,5,0.015534,0.000000,0.000000,0.000000,events/second
1588648316,5,0.015390,0.000000,0.000000,0.000000,events/second
1588648319,5,0.015250,0.000000,0.000000,0.000000,events/second
1588648322,5,0.015111,0.000000,0.000000,0.000000,events/second
1588648325,5,0.014975,0.000000,0.000000,0.000000,events/second
1588648328,5,0.014842,0.000000,0.000000,0.000000,events/second
1588648331,5,0.014711,0.000000,0.000000,0.000000,events/second
1588648334,5,0.014582,0.000000,0.000000,0.000000,events/second
1588648337,5,0.014456,0.000000,0.000000,0.000000,events/second
1588648340,5,0.014332,0.000000,0.000000,0.000000,events/second
1588648343,5,0.014209,0.000000,0.000000,0.000000,events/second
1588648346,5,0.014089,0.000000,0.000000,0.000000,events/second
1588648349,5,0.013971,0.000000,0.000000,0.000000,events/second
1588648352,5,0.013855,0.000000,0.000000,0.000000,events/second
1588648355,5,0.013741,0.000000,0.000000,0.000000,events/second
1588648358,5,0.013628,0.000000,0.000000,0.000000,events/second
1588648361,5,0.013518,0.000000,0.000000,0.000000,events/second
1588648364,5,0.013409,0.000000,0.000000,0.000000,events/second
1588648367,5,0.013302,0.000000,0.000000,0.000000,events/second
1588648370,5,0.013197,0.000000,0.000000,0.000000,events/second
1588648373,5,0.013093,0.000000,0.000000,0.000000,events/second
1588648376,5,0.012991,0.000000,0.000000,0.000000,events/second
1588648379,5,0.012891,0.000000,0.000000,0.000000,events/second
1588648382,5,0.012792,0.000000,0.000000,0.000000,events/second
1588648385,5,0.012694,0.000000,0.000000,0.000000,events/second
1588648388,5,0.012598,0.000000,0.000000,0.000000,events/second
1588648391,5,0.012504,0.000000,0.000000,0.000000,events/second
1588648394,5,0.012411,0.000000,0.000000,0.000000,events/second
1588648397,5,0.012319,0.000000,0.000000,0.000000,events/second
1588648400,5,0.012229,0.000000,0.000000,0.000000,events/second
1588648403,5,0.012139,0.000000,0.000000,0.000000,events/second
1588648406,5,0.012052,0.000000,0.000000,0.000000,events/second
1588648409,5,0.011965,0.000000,0.000000,0.000000,events/second
1588648412,5,0.011880,0.000000,0.000000,0.000000,events/second
1588648415,5,0.011796,0.000000,0.000000,0.000000,events/second
1588648418,5,0.011713,0.000000,0.000000,0.000000,events/second
1588648421,5,0.011631,0.000000,0.000000,0.000000,events/second
1588648424,5,0.011551,0.000000,0.000000,0.000000,events/second
1588648427,5,0.011471,0.000000,0.000000,0.000000,events/second
1588648430,5,0.011393,0.000000,0.000000,0.000000,events/second
1588648433,5,0.011315,0.000000,0.000000,0.000000,events/second
1588648436,5,0.011239,0.000000,0.000000,0.000000,events/second
1588648439,5,0.011164,0.000000,0.000000,0.000000,events/second
1588648442,5,0.011089,0.000000,0.000000,0.000000,events/second
1588648445,5,0.011016,0.000000,0.000000,0.000000,events/second
1588648448,5,0.010944,0.000000,0.000000,0.000000,events/second
1588648451,5,0.010873,0.000000,0.000000,0.000000,events/second
1588648454,5,0.010802,0.000000,0.000000,0.000000,events/second
1588648457,5,0.010732,0.000000,0.000000,0.000000,events/second
1588648460,5,0.010664,0.000000,0.000000,0.000000,events/second
1588648463,5,0.010596,0.000000,0.000000,0.000000,events/second
1588648466,5,0.010529,0.000000,0.000000,0.000000,events/second
1588648469,5,0.010463,0.000000,0.000000,0.000000,events/second
1588648472,5,0.010398,0.000000,0.000000,0.000000,events/second
1588648475,5,0.010333,0.000000,0.000000,0.000000,events/second
1588648478,5,0.010269,0.000000,0.000000,0.000000,events/second
1588648481,5,0.010207,0.000000,0.000000,0.000000,events/second
1588648484,5,0.010144,0.000000,0.000000,0.000000,events/second
1588648487,5,0.010083,0.000000,0.000000,0.000000,events/second
1588648490,5,0.010022,0.000000,0.000000,0.000000,events/second
1588648493,5,0.009963,0.000000,0.000000,0.000000,events/second
1588648496,5,0.009903,0.000000,0.000000,0.000000,events/second
1588648499,5,0.009845,0.000000,0.000000,0.000000,events/second
1588648502,5,0.009787,0.000000,0.000000,0.000000,events/second
1588648505,5,0.009730,0.000000,0.000000,0.000000,events/second
1588648508,5,0.009673,0.000000,0.000000,0.000000,events/second
1588648511,5,0.009618,0.000000,0.000000,0.000000,events/second
1588648514,5,0.009562,0.000000,0.000000,0.000000,events/second
1588648517,5,0.009508,0.000000,0.000000,0.000000,events/second
1588648520,5,0.009454,0.000000,0.000000,0.000000,events/second
1588648523,5,0.009401,0.000000,0.000000,0.000000,events/second
1588648526,5,0.009348,0.000000,0.000000,0.000000,events/second
1588648529,5,0.009296,0.000000,0.000000,0.000000,events/second
1588648532,5,0.009244,0.000000,0.000000,0.000000,events/second
1588648535,5,0.009193,0.000000,0.000000,0.000000,events/second
1588648538,5,0.009143,0.000000,0.000000,0.000000,events/second
1588648541,5,0.009093,0.000000,0.000000,0.000000,events/second
1588648544,5,0.009044,0.000000,0.000000,0.000000,events/second
