t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1588647995,1,0.255338,0.000000,0.000000,0.000000,events/second
1588647998,1,0.145190,0.000000,0.000000,0.000000,events/second
1588648001,6,0.607325,0.000000,0.000000,0.000000,events/second
1588648004,6,0.465787,0.000000,0.000000,0.000000,events/second
1588648007,6,0.377846,0.000000,0.000000,0.000000,events/second
1588648010,6,0.317802,0.000000,0.000000,0.000000,events/second
1588648013,6,0.274178,0.000000,0.000000,0.000000,events/second
1588648016,6,0.241181,0.000000,0.000000,0.000000,events/second
1588648019,6,0.215186,0.000000,0.000000,0.000000,events/second
1588648022,6,0.194312,0.000000,0.000000,0.000000,events/second
1588648025,6,0.177091,0.000000,0.000000,0.000000,events/second
1588648028,6,0.162687,0.000000,0.000000,0.000000,events/second
1588648031,6,0.150446,0.000000,0.000000,0.000000,events/second
1588648034,6,0.139926,0.000000,0.000000,0.000000,events/second
1588648037,6,0.130776,0.000000,0.000000,0.000000,events/second
1588648040,6,0.122741,0.000000,0.000000,0.000000,events/second
1588648043,6,0.115648,0.000000,0.000000,0.000000,events/second
1588648046,6,0.109334,0.000000,0.000000,0.000000,events/second
1588648049,6,0.103654,0.000000,0.000000,0.000000,events/second
1588648052,6,0.098553,0.000000,0.000000,0.000000,events/second
1588648055,6,0.093923,0.000000,0.000000,0.000000,events/second
1588648058,6,0.089713,0.000000,0.000000,0.000000,events/second
1588648061,6,0.085860,0.000000,0.000000,0.000000,events/second
1588648064,6,0.082327,0.000000,0.000000,0.000000,events/second
1588648067,6,0.079074,0.000000,0.000000,0.000000,events/second
1588648070,6,0.076065,0.000000,0.000000,0.000000,events/second
1588648073,6,0.073280,0.000000,0.000000,0.000000,events/second
1588648076,6,0.070689,0.000000,0.000000,0.000000,events/second
1588648079,6,0.068274,0.000000,0.000000,0.000000,events/second
1588648082,6,0.066021,0.000000,0.000000,0.000000,events/second
1588648085,6,0.063914,0.000000,0.000000,0.000000,events/second
1588648088,6,0.061931,0.000000,0.000000,0.000000,events/second
1588648091,6,0.060072,0.000000,0.000000,0.000000,events/second
1588648094,6,0.058322,0.000000,0.000000,0.000000,events/second
1588648097,6,0.056669,0.000000,0.000000,0.000000,events/second
1588648100,6,0.055108,0.000000,0.000000,0.000000,events/second
1588648103,6,0.053630,0.000000,0.000000,0.000000,events/second
1588648106,6,0.052229,0.000000,0.000000,0.000000,events/second
1588648109,6,0.050901,0.000000,0.000000,0.000000,events/second
1588648112,6,0.049636,0.000000,0.000000,0.000000,events/second
1588648115,6,0.048434,0.000000,0.000000,0.000000,events/second
1588648118,6,0.047289,0.000000,0.000000,0.000000,events/second
1588648121,6,0.046196,0.000000,0.000000,0.000000,events/second
1588648124,6,0.045154,0.000000,0.000000,0.000000,events/second
1588648127,6,0.044157,0.000000,0.000000,0.000000,events/second
1588648130,6,0.043203,0.000000,0.000000,0.000000,events/second
1588648133,6,0.042290,0.000000,0.000000,0.000000,events/second
1588648136,6,0.041413,0.000000,0.000000,0.000000,events/second
1588648139,6,0.040573,0.000000,0.000000,0.000000,events/second
1588648142,6,0.039767,0.000000,0.000000,0.000000,events/second
1588648145,6,0.038992,0.000000,0.000000,0.000000,events/second
1588648148,6,0.038246,0.000000,0.000000,0.000000,events/second
1588648151,6,0.037528,0.000000,0.000000,0.000000,events/second
1588648154,6,0.036837,0.000000,0.000000,0.000000,events/second
1588648157,6,0.036170,0.000000,0.000000,0.000000,events/second
1588648160,6,0.035529,0.000000,0.000000,0.000000,events/second
1588648163,6,0.034908,0.000000,0.000000,0.000000,events/second
1588648166,6,0.034310,0.000000,0.000000,0.000000,events/second
1588648169,6,0.033730,0.000000,0.000000,0.000000,events/second
1588648172,6,0.033172,0.000000,0.000000,0.000000,events/second
1588648175,6,0.032630,0.000000,0.000000,0.000000,events/second
1588648178,6,0.032106,0.000000,0.000000,0.000000,events/second
1588648181,6,0.031600,0.000000,0.000000,0.000000,events/second
1588648184,6,0.031107,0.000000,0.000000,0.000000,events/second
1588648187,6,0.030631,0.000000,0.000000,0.000000,events/second
1588648190,6,0.030169,0.000000,0.000000,0.000000,events/second
1588648193,6,0.029721,0.000000,0.000000,0.000000,events/second
1588648196,6,0.029285,0.000000,0.000000,0.000000,events/second
1588648199,6,0.028863,0.000000,0.000000,0.000000,events/second
1588648202,6,0.028452,0.000000,0.000000,0.000000,events/second
1588648205,6,0.028053,0.000000,0.000000,0.000000,events/second
1588648208,6,0.027665,0.000000,0.000000,0.000000,events/second
1588648211,6,0.027287,0.000000,0.000000,0.000000,events/second
1588648214,6,0.026921,0.000000,0.000000,0.000000,events/second
1588648217,6,0.026563,0.000000,0.000000,0.000000,events/second
1588648220,6,0.026215,0.000000,0.000000,0.000000,events/second
1588648223,6,0.025876,0.000000,0.000000,0.000000,events/second
1588648226,6,0.025545,0.000000,0.000000,0.000000,events/second
1588648229,6,0.025223,0.000000,0.000000,0.000000,events/second
1588648232,6,0.024909,0.000000,0.000000,0.000000,events/second
1588648235,6,0.024602,0.000000,0.000000,0.000000,events/second
1588648238,6,0.024303,0.000000,0.000000,0.000000,events/second
1588648241,6,0.024012,0.000000,0.000000,0.000000,events/second
1588648244,6,0.023727,0.000000,0.000000,0.000000,events/second
1588648247,6,0.023448,0.000000,0.000000,0.000000,events/second
1588648250,6,0.023177,0.000000,0.000000,0.000000,events/second
1588648253,6,0.022912,0.000000,0.000000,0.000000,events/second
1588648256,6,0.022652,0.000000,0.000000,0.000000,events/second
1588648259,6,0.022398,0.000000,0.000000,0.000000,events/second
1588648262,6,0.022150,0.000000,0.000000,0.000000,events/second
1588648265,6,0.021908,0.000000,0.000000,0.000000,events/second
1588648268,6,0.021670,0.000000,0.000000,0.000000,events/second
1588648271,6,0.021438,0.000000,0.000000,0.000000,events/second
1588648274,6,0.021210,0.000000,0.000000,0.000000,events/second
1588648277,6,0.020988,0.000000,0.000000,0.000000,events/second
1588648280,6,0.020770,0.000000,0.000000,0.000000,events/second
1588648283,6,0.020556,0.000000,0.000000,0.000000,events/second
1588648286,6,0.020347,0.000000,0.000000,0.000000,events/second
1588648289,6,0.020142,0.000000,0.000000,0.000000,events/second
1588648292,6,0.019941,0.000000,0.000000,0.000000,events/second
1588648295,6,0.019745,0.000000,0.000000,0.000000,events/second
1588648298,6,0.019552,0.000000,0.000000,0.000000,events/second
1588648301,6,0.019362,0.000000,0.000000,0.000000,events/second
1588648304,6,0.019177,0.000000,0.000000,0.000000,events/second
1588648307,6,0.018995,0.000000,0.000000,0.000000,events/second
