t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1588647995,1,0.255309,0.000000,0.000000,0.000000,events/second
1588647998,3,0.435556,0.000000,0.000000,0.000000,events/second
1588648001,4,0.404876,0.000000,0.000000,0.000000,events/second
1588648004,4,0.310520,0.000000,0.000000,0.000000,events/second
1588648007,4,0.251895,0.000000,0.000000,0.000000,events/second
1588648010,4,0.211866,0.000000,0.000000,0.000000,events/second
1588648013,4,0.182784,0.000000,0.000000,0.000000,events/second
1588648016,4,0.160786,0.000000,0.000000,0.000000,events/second
1588648019,4,0.143456,0.000000,0.000000,0.000000,events/second
1588648022,4,0.129541,0.000000,0.000000,0.000000,events/second
1588648025,4,0.118060,0.000000,0.000000,0.000000,events/second
1588648028,4,0.108457,0.000000,0.000000,0.000000,events/second
1588648031,4,0.100297,0.000000,0.000000,0.000000,events/second
1588648034,4,0.093284,0.000000,0.000000,0.000000,events/second
1588648037,4,0.087184,0.000000,0.000000,0.000000,events/second
1588648040,4,0.081827,0.000000,0.000000,0.000000,events/second
1588648043,4,0.077099,0.000000,0.000000,0.000000,events/second
1588648046,4,0.072889,0.000000,0.000000,0.000000,events/second
1588648049,4,0.069102,0.000000,0.000000,0.000000,events/second
1588648052,4,0.065702,0.000000,0.000000,0.000000,events/second
1588648055,4,0.062615,0.000000,0.000000,0.000000,events/second
1588648058,4,0.059809,0.000000,0.000000,0.000000,events/second
1588648061,4,0.057240,0.000000,0.000000,0.000000,events/second
1588648064,4,0.054885,0.000000,0.000000,0.000000,events/second
1588648067,4,0.052716,0.000000,0.000000,0.000000,events/second
1588648070,4,0.050710,0.000000,0.000000,0.000000,events/second
1588648073,4,0.048853,0.000000,0.000000,0.000000,events/second
1588648076,4,0.047126,0.000000,0.000000,0.000000,events/second
1588648079,4,0.045516,0.000000,0.000000,0.000000,events/second
1588648082,4,0.044014,0.000000,0.000000,0.000000,events/second
1588648085,4,0.042609,0.000000,0.000000,0.000000,events/second
1588648088,4,0.041287,0.000000,0.000000,0.000000,events/second
1588648091,4,0.040048,0.000000,0.000000,0.000000,events/second
1588648094,4,0.038881,0.000000,0.000000,0.000000,events/second
1588648097,4,0.037780,0.000000,0.000000,0.000000,events/second
1588648100,4,0.036738,0.000000,0.000000,0.000000,events/second
1588648103,4,0.035753,0.000000,0.000000,0.000000,events/second
1588648106,4,0.034819,0.000000,0.000000,0.000000,events/second
1588648109,4,0.033934,0.000000,0.000000,0.000000,events/second
1588648112,4,0.033090,0.000000,0.000000,0.000000,events/second
1588648115,4,0.032289,0.000000,0.000000,0.000000,events/second
1588648118,4,0.031526,0.000000,0.000000,0.000000,events/second
1588648121,4,0.030797,0.000000,0.000000,0.000000,events/second
1588648124,4,0.030103,0.000000,0.000000,0.000000,events/second
1588648127,4,0.029438,0.000000,0.000000,0.000000,events/second
1588648130,4,0.028802,0.000000,0.000000,0.000000,events/second
1588648133,4,0.028193,0.000000,0.000000,0.000000,events/second
1588648136,4,0.027609,0.000000,0.000000,0.000000,events/second
1588648139,4,0.027049,0.000000,0.000000,0.000000,events/second
1588648142,4,0.026512,0.000000,0.000000,0.000000,events/second
1588648145,4,0.025994,0.000000,0.000000,0.000000,events/second
1588648148,4,0.025497,0.000000,0.000000,0.000000,events/second
1588648151,4,0.025019,0.000000,0.000000,0.000000,events/second
1588648154,4,0.024558,0.000000,0.000000,0.000000,events/second
1588648157,4,0.024114,0.000000,0.000000,0.000000,events/second
1588648160,4,0.023686,0.000000,0.000000,0.000000,events/second
1588648163,4,0.023272,0.000000,0.000000,0.000000,events/second
1588648166,4,0.022873,0.000000,0.000000,0.000000,events/second
1588648169,4,0.022487,0.000000,0.000000,0.000000,events/second
1588648172,4,0.022115,0.000000,0.000000,0.000000,events/second
1588648175,4,0.021754,0.000000,0.000000,0.000000,events/second
1588648178,4,0.021404,0.000000,0.000000,0.000000,events/second
1588648181,4,0.021066,0.000000,0.000000,0.000000,events/second
1588648184,4,0.020738,0.000000,0.000000,0.000000,events/second
1588648187,4,0.020421,0.000000,0.000000,0.000000,events/second
1588648190,4,0.020113,0.000000,0.000000,0.000000,events/second
1588648193,4,0.019814,0.000000,0.000000,0.000000,events/second
1588648196,4,0.019524,0.000000,0.000000,0.000000,events/second
1588648199,4,0.019242,0.000000,0.000000,0.000000,events/second
1588648202,4,0.018968,0.000000,0.000000,0.000000,events/second
1588648205,4,0.018702,0.000000,0.000000,0.000000,events/second
1588648208,4,0.018443,0.000000,0.000000,0.000000,events/second
1588648211,4,0.018192,0.000000,0.000000,0.000000,events/second
1588648214,4,0.017947,0.000000,0.000000,0.000000,events/second
