t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1588647995,0,0.000000,0.000000,0.000000,0.000000,events/second
1588647998,1,0.145184,0.000000,0.000000,0.000000,events/second
1588648001,2,0.202437,0.000000,0.000000,0.000000,events/second
1588648004,2,0.155260,0.000000,0.000000,0.000000,events/second
1588648007,3,0.188921,0.000000,0.000000,0.000000,events/second
1588648010,5,0.264832,0.000000,0.000000,0.000000,events/second
1588648013,7,0.319871,0.000000,0.000000,0.000000,events/second
1588648016,10,0.401965,0.000000,0.000000,0.000000,events/second
1588648019,12,0.430368,0.000000,0.000000,0.000000,events/second
1588648022,12,0.388622,0.000000,0.000000,0.000000,events/second
1588648025,12,0.354180,0.000000,0.000000,0.000000,events/second
1588648028,12,0.325372,0.000000,0.000000,0.000000,events/second
1588648031,12,0.300891,0.000000,0.000000,0.000000,events/second
1588648034,12,0.279851,0.000000,0.000000,0.000000,events/second
1588648037,13,0.283347,0.000000,0.000000,0.000000,events/second
1588648040,13,0.265937,0.000000,0.000000,0.000000,events/second
1588648043,13,0.250570,0.000000,0.000000,0.000000,events/second
1588648046,13,0.236890,0.000000,0.000000,0.000000,events/second
1588648049,13,0.224582,0.000000,0.000000,0.000000,events/second
1588648052,14,0.229955,0.000000,0.000000,0.000000,events/second
1588648055,14,0.219154,0.000000,0.000000,0.000000,events/second
1588648058,15,0.224283,0.000000,0.000000,0.000000,events/second
1588648061,15,0.214650,0.000000,0.000000,0.000000,events/second
1588648064,15,0.205817,0.000000,0.000000,0.000000,events/second
1588648067,15,0.197684,0.000000,0.000000,0.000000,events/second
1588648070,15,0.190161,0.000000,0.000000,0.000000,events/second
1588648073,15,0.183200,0.000000,0.000000,0.000000,events/second
1588648076,16,0.188504,0.000000,0.000000,0.000000,events/second
1588648079,16,0.182065,0.000000,0.000000,0.000000,events/second
1588648082,16,0.176056,0.000000,0.000000,0.000000,events/second
1588648085,16,0.170436,0.000000,0.000000,0.000000,events/second
1588648088,16,0.165149,0.000000,0.000000,0.000000,events/second
1588648091,16,0.160191,0.000000,0.000000,0.000000,events/second
1588648094,16,0.155526,0.000000,0.000000,0.000000,events/second
1588648097,17,0.160563,0.000000,0.000000,0.000000,events/second
1588648100,17,0.156138,0.000000,0.000000,0.000000,events/second
1588648103,17,0.151951,0.000000,0.000000,0.000000,events/second
1588648106,17,0.147982,0.000000,0.000000,0.000000,events/second
1588648109,17,0.144219,0.000000,0.000000,0.000000,events/second
1588648112,17,0.140634,0.000000,0.000000,0.000000,events/second
