t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1588647995,3,0.765566,0.000000,0.000000,0.000000,events/second
1588647998,10,1.451748,0.000000,0.000000,0.000000,events/second
1588648001,20,2.024316,0.000000,0.000000,0.000000,events/second
1588648004,20,1.552565,0.000000,0.000000,0.000000,events/second
1588648007,21,1.322422,0.000000,0.000000,0.000000,events/second
1588648010,23,1.218211,0.000000,0.000000,0.000000,events/second
1588648013,25,1.142381,0.000000,0.000000,0.000000,events/second
1588648016,30,1.205885,0.000000,0.000000,0.000000,events/second
1588648019,37,1.326958,0.000000,0.000000,0.000000,events/second
1588648022,37,1.198244,0.000000,0.000000,0.000000,events/second
1588648025,37,1.092048,0.000000,0.000000,0.000000,events/second
1588648028,37,1.003226,0.000000,0.000000,0.000000,events/second
1588648031,37,0.927743,0.000000,0.000000,0.000000,events/second
1588648034,37,0.862871,0.000000,0.000000,0.000000,events/second
1588648037,40,0.871834,0.000000,0.000000,0.000000,events/second
1588648040,40,0.818261,0.000000,0.000000,0.000000,events/second
1588648043,40,0.770981,0.000000,0.000000,0.000000,events/second
1588648046,40,0.728889,0.000000,0.000000,0.000000,events/second
1588648049,40,0.691020,0.000000,0.000000,0.000000,events/second
1588648052,41,0.673436,0.000000,0.000000,0.000000,events/second
1588648055,41,0.641805,0.000000,0.000000,0.000000,events/second
1588648058,44,0.657894,0.000000,0.000000,0.000000,events/second
1588648061,44,0.629637,0.000000,0.000000,0.000000,events/second
1588648064,44,0.603728,0.000000,0.000000,0.000000,events/second
1588648067,44,0.579872,0.000000,0.000000,0.000000,events/second
1588648070,44,0.557804,0.000000,0.000000,0.000000,events/second
1588648073,44,0.537386,0.000000,0.000000,0.000000,events/second
1588648076,47,0.553728,0.000000,0.000000,0.000000,events/second
1588648079,47,0.534814,0.000000,0.000000,0.000000,events/second
1588648082,47,0.517163,0.000000,0.000000,0.000000,events/second
1588648085,47,0.500656,0.000000,0.000000,0.000000,events/second
1588648088,47,0.485124,0.000000,0.000000,0.000000,events/second
1588648091,47,0.470560,0.000000,0.000000,0.000000,events/second
1588648094,47,0.456856,0.000000,0.000000,0.000000,events/second
1588648097,50,0.472244,0.000000,0.000000,0.000000,events/second
1588648100,50,0.459229,0.000000,0.000000,0.000000,events/second
1588648103,50,0.446913,0.000000,0.000000,0.000000,events/second
1588648106,50,0.435240,0.000000,0.000000,0.000000,events/second
1588648109,50,0.424173,0.000000,0.000000,0.000000,events/second
1588648112,50,0.413630,0.000000,0.000000,0.000000,events/second
1588648115,50,0.403612,0.000000,0.000000,0.000000,events/second
1588648118,53,0.417720,0.000000,0.000000,0.000000,events/second
1588648121,53,0.408060,0.000000,0.000000,0.000000,events/second
1588648124,53,0.398861,0.000000,0.000000,0.000000,events/second
1588648127,53,0.390050,0.000000,0.000000,0.000000,events/second
1588648130,53,0.381625,0.000000,0.000000,0.000000,events/second
1588648133,53,0.373561,0.000000,0.000000,0.000000,events/second
1588648136,56,0.386525,0.000000,0.000000,0.000000,events/second
1588648139,56,0.378681,0.000000,0.000000,0.000000,events/second
1588648142,56,0.371162,0.000000,0.000000,0.000000,events/second
1588648145,56,0.363921,0.000000,0.000000,0.000000,events/second
1588648148,56,0.356964,0.000000,0.000000,0.000000,events/second
1588648151,56,0.350264,0.000000,0.000000,0.000000,events/second
