t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1588647995,243,79.922857,0.000000,0.000000,0.000000,events/second
1588647998,243,40.445627,0.000000,0.000000,0.000000,events/second
1588648001,243,27.001348,0.000000,0.000000,0.000000,events/second
1588648004,243,20.247542,0.000000,0.000000,0.000000,events/second
1588648007,243,16.200531,0.000000,0.000000,0.000000,events/second
1588648010,243,13.500220,0.000000,0.000000,0.000000,events/second
1588648013,243,11.569421,0.000000,0.000000,0.000000,events/second
1588648016,243,10.126091,0.000000,0.000000,0.000000,events/second
1588648019,243,8.999052,0.000000,0.000000,0.000000,events/second
1588648022,243,8.100567,0.000000,0.000000,0.000000,events/second
1588648025,243,7.363473,0.000000,0.000000,0.000000,events/second
1588648028,243,6.749913,0.000000,0.000000,0.000000,events/second
1588648031,243,6.230581,0.000000,0.000000,0.000000,events/second
1588648034,243,5.785785,0.000000,0.000000,0.000000,events/second
1588648037,243,5.400029,0.000000,0.000000,0.000000,events/second
1588648040,243,5.062098,0.000000,0.000000,0.000000,events/second
1588648043,243,4.764565,0.000000,0.000000,0.000000,events/second
1588648046,243,4.500210,0.000000,0.000000,0.000000,events/second
1588648049,243,4.262794,0.000000,0.000000,0.000000,events/second
1588648052,243,4.049913,0.000000,0.000000,0.000000,events/second
1588648055,243,3.857035,0.000000,0.000000,0.000000,events/second
1588648058,243,3.681837,0.000000,0.000000,0.000000,events/second
1588648061,243,3.521676,0.000000,0.000000,0.000000,events/second
1588648064,243,3.375002,0.000000,0.000000,0.000000,events/second
1588648067,243,3.240078,0.000000,0.000000,0.000000,events/second
1588648070,243,3.115372,0.000000,0.000000,0.000000,events/second
1588648073,243,3.000098,0.000000,0.000000,0.000000,events/second
1588648076,243,2.892905,0.000000,0.000000,0.000000,events/second
1588648079,243,2.793089,0.000000,0.000000,0.000000,events/second
1588648082,243,2.700001,0.000000,0.000000,0.000000,events/second
1588648085,243,2.613008,0.000000,0.000000,0.000000,events/second
1588648088,243,2.531202,0.000000,0.000000,0.000000,events/second
1588648091,243,2.454536,0.000000,0.000000,0.000000,events/second
1588648094,243,2.382434,0.000000,0.000000,0.000000,events/second
1588648097,243,2.314354,0.000000,0.000000,0.000000,events/second
1588648100,243,2.250051,0.000000,0.000000,0.000000,events/second
1588648103,243,2.189226,0.000000,0.000000,0.000000,events/second
1588648106,243,2.131607,0.000000,0.000000,0.000000,events/second
1588648109,243,2.076997,0.000000,0.000000,0.000000,events/second
1588648112,243,2.024992,0.000000,0.000000,0.000000,events/second
1588648115,243,1.975596,0.000000,0.000000,0.000000,events/second
1588648118,243,1.928591,0.000000,0.000000,0.000000,events/second
1588648121,243,1.883689,0.000000,0.000000,0.000000,events/second
1588648124,243,1.840940,0.000000,0.000000,0.000000,events/second
1588648127,243,1.800004,0.000000,0.000000,0.000000,events/second
1588648130,243,1.760877,0.000000,0.000000,0.000000,events/second
1588648133,243,1.723437,0.000000,0.000000,0.000000,events/second
1588648136,243,1.687499,0.000000,0.000000,0.000000,events/second
1588648139,243,1.653047,0.000000,0.000000,0.000000,events/second
1588648142,243,1.620035,0.000000,0.000000,0.000000,events/second
1588648145,243,1.588247,0.000000,0.000000,0.000000,events/second
1588648148,243,1.557710,0.000000,0.000000,0.000000,events/second
1588648151,243,1.528315,0.000000,0.000000,0.000000,events/second
1588648154,243,1.500014,0.000000,0.000000,0.000000,events/second
1588648157,243,1.472711,0.000000,0.000000,0.000000,events/second
1588648160,243,1.446443,0.000000,0.000000,0.000000,events/second
1588648163,243,1.421040,0.000000,0.000000,0.000000,events/second
1588648166,243,1.396571,0.000000,0.000000,0.000000,events/second
1588648169,243,1.372871,0.000000,0.000000,0.000000,events/second
1588648172,243,1.350030,0.000000,0.000000,0.000000,events/second
1588648175,243,1.327886,0.000000,0.000000,0.000000,events/second
1588648178,243,1.306467,0.000000,0.000000,0.000000,events/second
1588648181,243,1.285743,0.000000,0.000000,0.000000,events/second
1588648184,243,1.265628,0.000000,0.000000,0.000000,events/second
1588648187,243,1.246155,0.000000,0.000000,0.000000,events/second
1588648190,243,1.227274,0.000000,0.000000,0.000000,events/second
1588648193,243,1.208966,0.000000,0.000000,0.000000,events/second
1588648196,243,1.191173,0.000000,0.000000,0.000000,events/second
1588648199,243,1.173920,0.000000,0.000000,0.000000,events/second
1588648202,243,1.157140,0.000000,0.000000,0.000000,events/second
1588648205,243,1.140840,0.000000,0.000000,0.000000,events/second
1588648208,243,1.124996,0.000000,0.000000,0.000000,events/second
1588648211,243,1.109584,0.000000,0.000000,0.000000,events/second
1588648214,243,1.094607,0.000000,0.000000,0.000000,events/second
1588648217,243,1.079991,0.000000,0.000000,0.000000,events/second
1588648220,243,1.065799,0.000000,0.000000,0.000000,events/second
1588648223,243,1.051955,0.000000,0.000000,0.000000,events/second
1588648226,243,1.038461,0.000000,0.000000,0.000000,events/second
1588648229,243,1.025326,0.000000,0.000000,0.000000,events/second
1588648232,243,1.012503,0.000000,0.000000,0.000000,events/second
1588648235,243,0.999997,0.000000,0.000000,0.000000,events/second
1588648238,243,0.987805,0.000000,0.000000,0.000000,events/second
1588648241,243,0.975922,0.000000,0.000000,0.000000,events/second
1588648244,243,0.964280,0.000000,0.000000,0.000000,events/second
1588648247,243,0.952942,0.000000,0.000000,0.000000,events/second
1588648250,243,0.941872,0.000000,0.000000,0.000000,events/second
1588648253,243,0.931052,0.000000,0.000000,0.000000,events/second
1588648256,243,0.920456,0.000000,0.000000,0.000000,events/second
1588648259,243,0.910122,0.000000,0.000000,0.000000,events/second
1588648262,243,0.900015,0.000000,0.000000,0.000000,events/second
1588648265,243,0.890120,0.000000,0.000000,0.000000,events/second
1588648268,243,0.880441,0.000000,0.000000,0.000000,events/second
1588648271,243,0.870972,0.000000,0.000000,0.000000,events/second
1588648274,243,0.861700,0.000000,0.000000,0.000000,events/second
1588648277,243,0.852630,0.000000,0.000000,0.000000,events/second
1588648280,243,0.843744,0.000000,0.000000,0.000000,events/second
1588648283,243,0.835046,0.000000,0.000000,0.000000,events/second
1588648286,243,0.826531,0.000000,0.000000,0.000000,events/second
1588648289,243,0.818181,0.000000,0.000000,0.000000,events/second
1588648292,243,0.809995,0.000000,0.000000,0.000000,events/second
1588648295,243,0.801992,0.000000,0.000000,0.000000,events/second
1588648298,243,0.794114,0.000000,0.000000,0.000000,events/second
1588648301,243,0.786415,0.000000,0.000000,0.000000,events/second
1588648304,243,0.778847,0.000000,0.000000,0.000000,events/second
1588648307,243,0.771432,0.000000,0.000000,0.000000,events/second
1588648310,243,0.764153,0.000000,0.000000,0.000000,events/second
1588648313,243,0.757009,0.000000,0.000000,0.000000,events/second
1588648316,243,0.750002,0.000000,0.000000,0.000000,events/second
1588648319,243,0.743126,0.000000,0.000000,0.000000,events/second
1588648322,243,0.736371,0.000000,0.000000,0.000000,events/second
1588648325,243,0.729729,0.000000,0.000000,0.000000,events/second
1588648328,243,0.723215,0.000000,0.000000,0.000000,events/second
1588648331,243,0.716813,0.000000,0.000000,0.000000,events/second
1588648334,243,0.710527,0.000000,0.000000,0.000000,events/second
1588648337,243,0.704353,0.000000,0.000000,0.000000,events/second
1588648340,243,0.698282,0.000000,0.000000,0.000000,events/second
1588648343,243,0.692311,0.000000,0.000000,0.000000,events/second
1588648346,243,0.686447,0.000000,0.000000,0.000000,events/second
1588648349,243,0.680673,0.000000,0.000000,0.000000,events/second
