t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1588647995,1785,586.962350,0.000000,0.000000,0.000000,events/second
1588647998,1801,299.748309,0.000000,0.000000,0.000000,events/second
1588648001,1889,209.892740,0.000000,0.000000,0.000000,events/second
1588648004,1889,157.394238,0.000000,0.000000,0.000000,events/second
1588648007,1889,125.935445,0.000000,0.000000,0.000000,events/second
1588648010,1889,104.944681,0.000000,0.000000,0.000000,events/second
1588648013,1889,89.935730,0.000000,0.000000,0.000000,events/second
1588648016,1895,78.966083,0.000000,0.000000,0.000000,events/second
1588648019,1906,70.584516,0.000000,0.000000,0.000000,events/second
1588648022,1906,63.537315,0.000000,0.000000,0.000000,events/second
1588648025,1906,57.755884,0.000000,0.000000,0.000000,events/second
1588648028,1906,52.943422,0.000000,0.000000,0.000000,events/second
1588648031,1906,48.870028,0.000000,0.000000,0.000000,events/second
1588648034,1906,45.381266,0.000000,0.000000,0.000000,events/second
1588648037,1911,42.466677,0.000000,0.000000,0.000000,events/second
1588648040,1911,39.809118,0.000000,0.000000,0.000000,events/second
1588648043,1911,37.469302,0.000000,0.000000,0.000000,events/second
1588648046,1911,35.390380,0.000000,0.000000,0.000000,events/second
1588648049,1911,33.523320,0.000000,0.000000,0.000000,events/second
1588648052,2141,35.682417,0.000000,0.000000,0.000000,events/second
1588648055,2141,33.983049,0.000000,0.000000,0.000000,events/second
1588648058,2146,32.515192,0.000000,0.000000,0.000000,events/second
1588648061,2146,31.100781,0.000000,0.000000,0.000000,events/second
1588648064,2146,29.805446,0.000000,0.000000,0.000000,events/second
1588648067,2146,28.613939,0.000000,0.000000,0.000000,events/second
1588648070,2146,27.512618,0.000000,0.000000,0.000000,events/second
1588648073,2146,26.494605,0.000000,0.000000,0.000000,events/second
1588648076,2151,25.607495,0.000000,0.000000,0.000000,events/second
1588648079,2151,24.723940,0.000000,0.000000,0.000000,events/second
1588648082,2151,23.899941,0.000000,0.000000,0.000000,events/second
1588648085,2151,23.129900,0.000000,0.000000,0.000000,events/second
1588648088,2151,22.405767,0.000000,0.000000,0.000000,events/second
1588648091,2151,21.727135,0.000000,0.000000,0.000000,events/second
1588648094,2151,21.088908,0.000000,0.000000,0.000000,events/second
1588648097,2156,20.533891,0.000000,0.000000,0.000000,events/second
1588648100,2156,19.963361,0.000000,0.000000,0.000000,events/second
1588648103,2156,19.423707,0.000000,0.000000,0.000000,events/second
1588648106,2156,18.912493,0.000000,0.000000,0.000000,events/second
1588648109,2156,18.427970,0.000000,0.000000,0.000000,events/second
1588648112,2386,19.883215,0.000000,0.000000,0.000000,events/second
1588648115,2386,19.398204,0.000000,0.000000,0.000000,events/second
1588648118,2391,18.976352,0.000000,0.000000,0.000000,events/second
1588648121,2391,18.534539,0.000000,0.000000,0.000000,events/second
1588648124,2391,18.113907,0.000000,0.000000,0.000000,events/second
1588648127,2391,17.711119,0.000000,0.000000,0.000000,events/second
1588648130,2391,17.326134,0.000000,0.000000,0.000000,events/second
1588648133,2391,16.957738,0.000000,0.000000,0.000000,events/second
1588648136,2396,16.638853,0.000000,0.000000,0.000000,events/second
1588648139,2396,16.299153,0.000000,0.000000,0.000000,events/second
1588648142,2396,15.973656,0.000000,0.000000,0.000000,events/second
1588648145,2396,15.660219,0.000000,0.000000,0.000000,events/second
1588648148,2396,15.359126,0.000000,0.000000,0.000000,events/second
1588648151,2396,15.069291,0.000000,0.000000,0.000000,events/second
1588648154,2396,14.790242,0.000000,0.000000,0.000000,events/second
1588648157,2401,14.551337,0.000000,0.000000,0.000000,events/second
1588648160,2401,14.291793,0.000000,0.000000,0.000000,events/second
1588648163,2401,14.040796,0.000000,0.000000,0.000000,events/second
1588648166,2401,13.799020,0.000000,0.000000,0.000000,events/second
1588648169,2401,13.564849,0.000000,0.000000,0.000000,events/second
1588648172,2631,14.616969,0.000000,0.000000,0.000000,events/second
1588648175,2631,14.377212,0.000000,0.000000,0.000000,events/second
1588648178,2636,14.172190,0.000000,0.000000,0.000000,events/second
1588648181,2636,13.947388,0.000000,0.000000,0.000000,events/second
1588648184,2636,13.729186,0.000000,0.000000,0.000000,events/second
1588648187,2636,13.517941,0.000000,0.000000,0.000000,events/second
1588648190,2636,13.313134,0.000000,0.000000,0.000000,events/second
1588648193,2636,13.114533,0.000000,0.000000,0.000000,events/second
1588648196,2641,12.946021,0.000000,0.000000,0.000000,events/second
1588648199,2641,12.758514,0.000000,0.000000,0.000000,events/second
1588648202,2641,12.576145,0.000000,0.000000,0.000000,events/second
1588648205,2641,12.398987,0.000000,0.000000,0.000000,events/second
1588648208,2641,12.226794,0.000000,0.000000,0.000000,events/second
1588648211,2641,12.059289,0.000000,0.000000,0.000000,events/second
1588648214,2641,11.896517,0.000000,0.000000,0.000000,events/second
1588648217,2646,11.759890,0.000000,0.000000,0.000000,events/second
1588648220,2646,11.605356,0.000000,0.000000,0.000000,events/second
1588648223,2646,11.454611,0.000000,0.000000,0.000000,events/second
1588648226,2646,11.307678,0.000000,0.000000,0.000000,events/second
1588648229,2646,11.164650,0.000000,0.000000,0.000000,events/second
1588648232,2876,11.983355,0.000000,0.000000,0.000000,events/second
1588648235,2876,11.835350,0.000000,0.000000,0.000000,events/second
1588648238,2881,11.711373,0.000000,0.000000,0.000000,events/second
1588648241,2881,11.570492,0.000000,0.000000,0.000000,events/second
1588648244,2881,11.432466,0.000000,0.000000,0.000000,events/second
1588648247,2881,11.298038,0.000000,0.000000,0.000000,events/second
1588648250,2881,11.166792,0.000000,0.000000,0.000000,events/second
1588648253,2881,11.038508,0.000000,0.000000,0.000000,events/second
1588648256,2886,10.931830,0.000000,0.000000,0.000000,events/second
1588648259,2886,10.809094,0.000000,0.000000,0.000000,events/second
1588648262,2886,10.689056,0.000000,0.000000,0.000000,events/second
1588648265,2886,10.571537,0.000000,0.000000,0.000000,events/second
1588648268,2886,10.456584,0.000000,0.000000,0.000000,events/second
1588648271,2886,10.344128,0.000000,0.000000,0.000000,events/second
1588648274,2886,10.234009,0.000000,0.000000,0.000000,events/second
1588648277,2891,10.143834,0.000000,0.000000,0.000000,events/second
1588648280,2891,10.038118,0.000000,0.000000,0.000000,events/second
1588648283,2891,9.934639,0.000000,0.000000,0.000000,events/second
1588648286,2891,9.833329,0.000000,0.000000,0.000000,events/second
1588648289,2891,9.733992,0.000000,0.000000,0.000000,events/second
1588648292,3121,10.403260,0.000000,0.000000,0.000000,events/second
1588648295,3121,10.300469,0.000000,0.000000,0.000000,events/second
1588648298,3126,10.215637,0.000000,0.000000,0.000000,events/second
1588648301,3126,10.116590,0.000000,0.000000,0.000000,events/second
1588648304,3126,10.019232,0.000000,0.000000,0.000000,events/second
1588648307,3126,9.923849,0.000000,0.000000,0.000000,events/second
1588648310,3126,9.830202,0.000000,0.000000,0.000000,events/second
1588648313,3126,9.738304,0.000000,0.000000,0.000000,events/second
1588648316,3130,9.660507,0.000000,0.000000,0.000000,events/second
1588648319,3131,9.575000,0.000000,0.000000,0.000000,events/second
1588648322,3131,9.487966,0.000000,0.000000,0.000000,events/second
1588648325,3131,9.402383,0.000000,0.000000,0.000000,events/second
1588648328,3131,9.318458,0.000000,0.000000,0.000000,events/second
1588648331,3131,9.235967,0.000000,0.000000,0.000000,events/second
