t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1588647995,216,71.000777,0.000000,0.000000,0.000000,events/second
1588647998,216,35.944639,0.000000,0.000000,0.000000,events/second
1588648001,221,24.553746,0.000000,0.000000,0.000000,events/second
1588648004,221,18.412785,0.000000,0.000000,0.000000,events/second
1588648007,221,14.732788,0.000000,0.000000,0.000000,events/second
1588648010,221,12.277247,0.000000,0.000000,0.000000,events/second
1588648013,221,10.521456,0.000000,0.000000,0.000000,events/second
1588648016,221,9.208930,0.000000,0.000000,0.000000,events/second
1588648019,221,8.184002,0.000000,0.000000,0.000000,events/second
1588648022,221,7.366935,0.000000,0.000000,0.000000,events/second
1588648025,221,6.696611,0.000000,0.000000,0.000000,events/second
1588648028,221,6.138634,0.000000,0.000000,0.000000,events/second
1588648031,221,5.666346,0.000000,0.000000,0.000000,events/second
1588648034,221,5.261842,0.000000,0.000000,0.000000,events/second
1588648037,221,4.911025,0.000000,0.000000,0.000000,events/second
1588648040,221,4.603695,0.000000,0.000000,0.000000,events/second
1588648043,221,4.333115,0.000000,0.000000,0.000000,events/second
1588648046,221,4.092702,0.000000,0.000000,0.000000,events/second
1588648049,221,3.876792,0.000000,0.000000,0.000000,events/second
1588648052,221,3.683188,0.000000,0.000000,0.000000,events/second
1588648055,221,3.507781,0.000000,0.000000,0.000000,events/second
1588648058,221,3.348448,0.000000,0.000000,0.000000,events/second
1588648061,221,3.202792,0.000000,0.000000,0.000000,events/second
1588648064,221,3.069397,0.000000,0.000000,0.000000,events/second
1588648067,221,2.946698,0.000000,0.000000,0.000000,events/second
1588648070,221,2.833283,0.000000,0.000000,0.000000,events/second
1588648073,221,2.728448,0.000000,0.000000,0.000000,events/second
1588648076,221,2.630964,0.000000,0.000000,0.000000,events/second
1588648079,221,2.540186,0.000000,0.000000,0.000000,events/second
1588648082,221,2.455527,0.000000,0.000000,0.000000,events/second
1588648085,221,2.376413,0.000000,0.000000,0.000000,events/second
1588648088,221,2.302015,0.000000,0.000000,0.000000,events/second
1588648091,221,2.232291,0.000000,0.000000,0.000000,events/second
1588648094,221,2.166719,0.000000,0.000000,0.000000,events/second
1588648097,221,2.104803,0.000000,0.000000,0.000000,events/second
1588648100,221,2.046321,0.000000,0.000000,0.000000,events/second
1588648103,221,1.991006,0.000000,0.000000,0.000000,events/second
1588648106,221,1.938605,0.000000,0.000000,0.000000,events/second
1588648109,221,1.888940,0.000000,0.000000,0.000000,events/second
1588648112,221,1.841644,0.000000,0.000000,0.000000,events/second
1588648115,221,1.796721,0.000000,0.000000,0.000000,events/second
1588648118,221,1.753972,0.000000,0.000000,0.000000,events/second
1588648121,221,1.713136,0.000000,0.000000,0.000000,events/second
1588648124,221,1.674257,0.000000,0.000000,0.000000,events/second
1588648127,221,1.637028,0.000000,0.000000,0.000000,events/second
1588648130,221,1.601444,0.000000,0.000000,0.000000,events/second
1588648133,221,1.567394,0.000000,0.000000,0.000000,events/second
1588648136,221,1.534710,0.000000,0.000000,0.000000,events/second
1588648139,221,1.503378,0.000000,0.000000,0.000000,events/second
1588648142,221,1.473355,0.000000,0.000000,0.000000,events/second
1588648145,221,1.444445,0.000000,0.000000,0.000000,events/second
1588648148,221,1.416673,0.000000,0.000000,0.000000,events/second
1588648151,221,1.389940,0.000000,0.000000,0.000000,events/second
1588648154,221,1.364202,0.000000,0.000000,0.000000,events/second
1588648157,221,1.339371,0.000000,0.000000,0.000000,events/second
1588648160,221,1.315482,0.000000,0.000000,0.000000,events/second
1588648163,221,1.292379,0.000000,0.000000,0.000000,events/second
1588648166,221,1.270125,0.000000,0.000000,0.000000,events/second
1588648169,221,1.248571,0.000000,0.000000,0.000000,events/second
1588648172,221,1.227798,0.000000,0.000000,0.000000,events/second
1588648175,221,1.207659,0.000000,0.000000,0.000000,events/second
1588648178,221,1.188179,0.000000,0.000000,0.000000,events/second
1588648181,221,1.169332,0.000000,0.000000,0.000000,events/second
1588648184,221,1.151038,0.000000,0.000000,0.000000,events/second
1588648187,221,1.133328,0.000000,0.000000,0.000000,events/second
1588648190,221,1.116157,0.000000,0.000000,0.000000,events/second
1588648193,221,1.099507,0.000000,0.000000,0.000000,events/second
1588648196,221,1.083324,0.000000,0.000000,0.000000,events/second
