t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1588647995,2001,657.755998,0.000000,0.000000,0.000000,events/second
1588647998,2017,335.665349,0.000000,0.000000,0.000000,events/second
1588648001,2110,234.435352,0.000000,0.000000,0.000000,events/second
1588648004,2110,175.801041,0.000000,0.000000,0.000000,events/second
1588648007,2110,140.664347,0.000000,0.000000,0.000000,events/second
1588648010,2110,117.219274,0.000000,0.000000,0.000000,events/second
1588648013,2110,100.455309,0.000000,0.000000,0.000000,events/second
1588648016,2116,88.173664,0.000000,0.000000,0.000000,events/second
1588648019,2127,78.767361,0.000000,0.000000,0.000000,events/second
1588648022,2127,70.903430,0.000000,0.000000,0.000000,events/second
1588648025,2127,64.451765,0.000000,0.000000,0.000000,events/second
1588648028,2127,59.081454,0.000000,0.000000,0.000000,events/second
1588648031,2127,54.535855,0.000000,0.000000,0.000000,events/second
1588648034,2127,50.642683,0.000000,0.000000,0.000000,events/second
1588648037,2132,47.377305,0.000000,0.000000,0.000000,events/second
1588648040,2132,44.412402,0.000000,0.000000,0.000000,events/second
1588648043,2132,41.802080,0.000000,0.000000,0.000000,events/second
1588648046,2132,39.482753,0.000000,0.000000,0.000000,events/second
1588648049,2132,37.399871,0.000000,0.000000,0.000000,events/second
1588648052,2362,39.365335,0.000000,0.000000,0.000000,events/second
1588648055,2362,37.490605,0.000000,0.000000,0.000000,events/second
1588648058,2367,35.863429,0.000000,0.000000,0.000000,events/second
1588648061,2367,34.303370,0.000000,0.000000,0.000000,events/second
1588648064,2367,32.874652,0.000000,0.000000,0.000000,events/second
1588648067,2367,31.560490,0.000000,0.000000,0.000000,events/second
1588648070,2367,30.345742,0.000000,0.000000,0.000000,events/second
1588648073,2367,29.222917,0.000000,0.000000,0.000000,events/second
1588648076,2372,28.238335,0.000000,0.000000,0.000000,events/second
1588648079,2372,27.264001,0.000000,0.000000,0.000000,events/second
1588648082,2372,26.355353,0.000000,0.000000,0.000000,events/second
1588648085,2372,25.506209,0.000000,0.000000,0.000000,events/second
1588648088,2372,24.707685,0.000000,0.000000,0.000000,events/second
1588648091,2372,23.959335,0.000000,0.000000,0.000000,events/second
1588648094,2372,23.255542,0.000000,0.000000,0.000000,events/second
1588648097,2377,22.638614,0.000000,0.000000,0.000000,events/second
1588648100,2377,22.009588,0.000000,0.000000,0.000000,events/second
1588648103,2377,21.414640,0.000000,0.000000,0.000000,events/second
1588648106,2377,20.851030,0.000000,0.000000,0.000000,events/second
1588648109,2377,20.316844,0.000000,0.000000,0.000000,events/second
1588648112,2607,21.724791,0.000000,0.000000,0.000000,events/second
1588648115,2607,21.194860,0.000000,0.000000,0.000000,events/second
1588648118,2612,20.730262,0.000000,0.000000,0.000000,events/second
