t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1588647995,1865,613.024636,0.000000,0.000000,0.000000,events/second
1588647998,1881,313.036196,0.000000,0.000000,0.000000,events/second
1588648001,1974,219.327278,0.000000,0.000000,0.000000,events/second
1588648004,1974,164.471303,0.000000,0.000000,0.000000,events/second
1588648007,1974,131.598864,0.000000,0.000000,0.000000,events/second
1588648010,1974,109.664613,0.000000,0.000000,0.000000,events/second
1588648013,1974,93.980969,0.000000,0.000000,0.000000,events/second
1588648016,1980,82.507009,0.000000,0.000000,0.000000,events/second
1588648019,1991,73.731305,0.000000,0.000000,0.000000,events/second
1588648022,1991,66.370191,0.000000,0.000000,0.000000,events/second
1588648025,1991,60.330963,0.000000,0.000000,0.000000,events/second
1588648028,1991,55.303997,0.000000,0.000000,0.000000,events/second
1588648031,1991,51.049011,0.000000,0.000000,0.000000,events/second
1588648034,1991,47.404755,0.000000,0.000000,0.000000,events/second
1588648037,1996,44.355238,0.000000,0.000000,0.000000,events/second
1588648040,1996,41.579426,0.000000,0.000000,0.000000,events/second
1588648043,1996,39.135608,0.000000,0.000000,0.000000,events/second
1588648046,1996,36.964224,0.000000,0.000000,0.000000,events/second
1588648049,1996,35.014218,0.000000,0.000000,0.000000,events/second
1588648052,2226,37.098824,0.000000,0.000000,0.000000,events/second
1588648055,2226,35.332031,0.000000,0.000000,0.000000,events/second
1588648058,2231,33.802893,0.000000,0.000000,0.000000,events/second
1588648061,2231,32.332467,0.000000,0.000000,0.000000,events/second
1588648064,2231,30.985839,0.000000,0.000000,0.000000,events/second
1588648067,2231,29.747186,0.000000,0.000000,0.000000,events/second
1588648070,2231,28.602221,0.000000,0.000000,0.000000,events/second
1588648073,2231,27.543908,0.000000,0.000000,0.000000,events/second
1588648076,2236,26.619316,0.000000,0.000000,0.000000,events/second
1588648079,2236,25.700839,0.000000,0.000000,0.000000,events/second
1588648082,2236,24.844283,0.000000,0.000000,0.000000,events/second
1588648085,2236,24.043830,0.000000,0.000000,0.000000,events/second
1588648088,2236,23.291088,0.000000,0.000000,0.000000,events/second
1588648091,2236,22.585643,0.000000,0.000000,0.000000,events/second
1588648094,2236,21.922200,0.000000,0.000000,0.000000,events/second
1588648097,2241,21.343373,0.000000,0.000000,0.000000,events/second
1588648100,2241,20.750334,0.000000,0.000000,0.000000,events/second
1588648103,2241,20.189426,0.000000,0.000000,0.000000,events/second
1588648106,2241,19.658062,0.000000,0.000000,0.000000,events/second
1588648109,2241,19.154438,0.000000,0.000000,0.000000,events/second
1588648112,2471,20.591492,0.000000,0.000000,0.000000,events/second
1588648115,2471,20.089204,0.000000,0.000000,0.000000,events/second
1588648118,2476,19.650912,0.000000,0.000000,0.000000,events/second
1588648121,2476,19.193397,0.000000,0.000000,0.000000,events/second
1588648124,2476,18.757810,0.000000,0.000000,0.000000,events/second
1588648127,2476,18.340707,0.000000,0.000000,0.000000,events/second
1588648130,2476,17.942033,0.000000,0.000000,0.000000,events/second
1588648133,2476,17.560547,0.000000,0.000000,0.000000,events/second
1588648136,2481,17.229090,0.000000,0.000000,0.000000,events/second
1588648139,2481,16.877342,0.000000,0.000000,0.000000,events/second
