t,value
1588647995,13
1588647998,13
1588648001,13
1588648004,13
1588648007,13
1588648010,13
1588648013,13
1588648016,13
1588648019,13
1588648022,13
1588648025,13
1588648028,13
1588648031,13
1588648034,13
1588648037,13
1588648040,13
1588648043,13
1588648046,13
1588648049,13
1588648052,13
1588648055,13
1588648058,13
1588648061,13
1588648064,13
1588648067,13
1588648070,13
1588648073,13
1588648076,13
1588648079,13
1588648082,13
1588648085,13
1588648088,13
1588648091,13
1588648094,13
1588648097,13
1588648100,13
1588648103,13
1588648106,13
1588648109,13
1588648112,13
1588648115,13
1588648118,13
1588648121,13
1588648124,13
1588648127,13
1588648130,13
1588648133,13
1588648136,13
1588648139,13
1588648142,13
1588648145,13
1588648148,13
1588648151,13
1588648154,13
1588648157,13
1588648160,13
1588648163,13
1588648166,13
1588648169,13
1588648172,13
1588648175,13
1588648178,13
1588648181,13
1588648184,13
1588648187,13
1588648190,13
1588648193,13
1588648196,13
1588648199,13
1588648202,13
1588648205,13
1588648208,13
1588648211,13
1588648214,13
1588648217,13
1588648220,13
1588648223,13
1588648226,13
1588648229,13
1588648232,13
1588648235,13
1588648238,13
1588648241,13
1588648244,13
1588648247,13
1588648250,13
1588648253,13
1588648256,13
1588648259,13
1588648262,13
1588648265,13
1588648268,13
1588648271,13
1588648274,13
1588648277,13
1588648280,13
1588648283,13
1588648286,13
1588648289,13
1588648292,13
1588648295,13
1588648298,13
1588648301,13
1588648304,13
1588648307,13
1588648310,13
1588648313,13
1588648316,13
1588648319,13
1588648322,13
1588648325,13
1588648328,13
1588648331,13
1588648334,13
1588648337,13
1588648340,13
1588648343,13
1588648346,13
1588648349,13
1588648352,13
1588648355,13
1588648358,13
1588648361,13
1588648364,13
1588648367,13
1588648370,13
1588648373,13
1588648376,13
1588648379,13
1588648382,13
1588648385,13
1588648388,13
1588648391,13
1588648394,13
1588648397,13
1588648400,13
1588648403,13
1588648406,13
1588648409,13
1588648412,13
1588648415,13
1588648418,13
1588648421,13
1588648424,13
1588648427,13
1588648430,13
1588648433,13
1588648436,13
1588648439,13
1588648442,13
1588648445,13
1588648448,13
1588648451,13
1588648454,13
1588648457,13
1588648460,13
1588648463,13
1588648466,13
1588648469,13
1588648472,13
1588648475,13
1588648478,13
1588648481,13
1588648484,13
1588648487,13
1588648490,13
1588648493,13
1588648496,13
1588648499,13
1588648502,13
1588648505,13
1588648508,13
1588648511,13
1588648514,13
1588648517,13
1588648520,13
1588648523,13
1588648526,13
1588648529,13
1588648532,13
1588648535,13
1588648538,13
1588648541,13
1588648544,13
1588648547,13
1588648550,13
1588648553,13
1588648556,13
1588648559,13
1588648562,13
1588648565,13
1588648568,13
1588648571,13
1588648574,13
1588648577,13
1588648580,13
1588648583,13
1588648586,13
1588648589,13
1588648592,13
1588648595,13
1588648598,13
1588648601,13
1588648604,13
1588648607,13
1588648610,13
1588648613,13
1588648616,13
1588648619,13
1588648622,13
1588648625,13
1588648628,13
1588648631,13
1588648634,13
1588648637,13
1588648640,13
1588648643,13
1588648646,13
1588648649,13
1588648652,13
1588648655,13
1588648658,13
1588648661,13
1588648664,13
1588648667,13
1588648670,13
1588648673,13
1588648676,13
1588648679,13
1588648682,13
1588648685,13
1588648688,13
1588648691,13
1588648694,13
1588648697,13
1588648700,13
1588648703,13
1588648706,13
1588648709,13
1588648712,13
1588648715,13
1588648718,13
1588648721,13
1588648724,13
1588648727,13
1588648730,13
1588648733,13
1588648736,13
1588648739,13
1588648742,13
1588648745,13
1588648748,13
1588648751,13
1588648754,13
1588648757,13
1588648760,13
1588648763,13
1588648766,13
1588648769,13
1588648772,13
1588648775,13
1588648778,13
1588648781,13
1588648784,13
1588648787,13
1588648790,13
1588648793,13
1588648796,13
1588648799,13
1588648802,13
1588648805,13
1588648808,13
1588648811,13
1588648814,13
1588648817,13
1588648820,13
1588648823,13
1588648826,13
1588648829,13
1588648832,13
1588648835,13
1588648838,13
1588648841,13
1588648844,13
1588648847,13
1588648850,13
1588648853,13
1588648856,13
1588648859,13
1588648862,13
1588648865,13
1588648868,13
1588648871,13
1588648874,13
1588648877,13
1588648880,13
1588648883,13
1588648886,13
1588648889,13
1588648892,13
1588648895,13
1588648898,13
1588648901,13
1588648904,13
1588648907,13
1588648910,13
1588648913,13
1588648916,13
1588648919,13
1588648922,13
1588648925,13
1588648928,13
1588648931,13
1588648934,13
1588648937,13
1588648940,13
1588648943,13
1588648946,13
1588648949,13
1588648952,13
1588648955,13
1588648958,13
1588648961,13
1588648964,13
1588648967,13
1588648970,13
1588648973,13
1588648976,13
1588648979,13
1588648982,13
1588648985,13
1588648988,13
1588648991,13
1588648994,13
1588648997,13
1588649000,13
1588649003,13
1588649006,13
1588649009,13
1588649012,13
1588649015,13
1588649018,13
1588649021,13
1588649024,13
1588649027,13
1588649030,13
1588649033,13
1588649036,13
1588649039,13
1588649042,13
1588649045,13
1588649048,13
1588649051,13
1588649054,13
1588649057,13
1588649060,13
1588649063,13
1588649066,13
1588649069,13
1588649072,13
1588649075,13
1588649078,13
1588649081,13
1588649084,13
1588649087,13
1588649090,13
1588649093,13
1588649096,13
1588649099,13
1588649102,13
1588649105,13
1588649108,13
1588649111,13
1588649114,13
1588649117,13
1588649120,13
1588649123,13
1588649126,13
1588649129,13
1588649132,13
1588649135,13
1588649138,13
1588649141,13
1588649144,13
1588649147,13
1588649150,13
1588649153,13
1588649156,13
1588649159,13
1588649162,13
1588649165,13
1588649168,13
1588649171,13
1588649174,13
1588649177,13
1588649180,13
1588649183,13
1588649186,13
1588649189,13
1588649192,13
1588649195,13
1588649198,13
1588649201,13
1588649204,13
1588649207,13
1588649210,13
1588649213,13
1588649216,13
1588649219,13
1588649222,13
1588649225,13
1588649228,13
1588649231,13
1588649234,13
1588649237,13
1588649240,13
1588649243,13
1588649246,13
1588649249,13
1588649252,13
1588649255,13
1588649258,13
1588649261,13
1588649264,13
1588649267,13
1588649270,13
1588649273,13
1588649276,13
1588649279,13
1588649282,13
1588649285,13
1588649288,13
1588649291,13
1588649294,13
1588649297,13
1588649300,13
1588649303,13
1588649306,13
1588649309,13
1588649312,13
1588649315,13
1588649318,13
1588649321,13
1588649324,13
1588649327,13
1588649330,13
