t,value
1588647995,28
1588647998,28
1588648001,28
1588648004,28
1588648007,28
1588648010,28
1588648013,28
1588648016,28
1588648019,28
1588648022,28
1588648025,28
1588648028,28
1588648031,28
1588648034,28
1588648037,28
1588648040,28
1588648043,28
1588648046,28
1588648049,28
1588648052,28
1588648055,28
1588648058,28
1588648061,28
1588648064,28
1588648067,28
1588648070,28
1588648073,28
1588648076,28
1588648079,28
1588648082,28
1588648085,28
1588648088,28
1588648091,28
1588648094,28
1588648097,28
1588648100,28
1588648103,28
1588648106,28
1588648109,28
1588648112,28
1588648115,28
1588648118,28
1588648121,28
1588648124,28
1588648127,28
1588648130,28
1588648133,28
1588648136,28
1588648139,28
1588648142,28
1588648145,28
1588648148,28
1588648151,28
1588648154,28
1588648157,28
1588648160,28
1588648163,28
1588648166,28
1588648169,28
1588648172,28
1588648175,28
1588648178,28
1588648181,28
1588648184,28
1588648187,28
1588648190,28
1588648193,28
1588648196,28
1588648199,28
1588648202,28
1588648205,28
1588648208,28
1588648211,28
1588648214,28
1588648217,28
1588648220,28
1588648223,28
1588648226,28
1588648229,28
1588648232,28
1588648235,28
1588648238,28
1588648241,28
1588648244,28
1588648247,28
1588648250,28
1588648253,28
1588648256,28
1588648259,28
1588648262,28
1588648265,28
1588648268,28
1588648271,28
1588648274,28
1588648277,28
1588648280,28
1588648283,28
1588648286,28
1588648289,28
1588648292,28
1588648295,28
1588648298,28
1588648301,28
1588648304,28
1588648307,28
1588648310,28
1588648313,28
1588648316,28
1588648319,28
1588648322,28
1588648325,28
1588648328,28
1588648331,28
1588648334,28
1588648337,28
1588648340,28
1588648343,28
1588648346,28
1588648349,28
1588648352,28
1588648355,28
1588648358,28
1588648361,28
1588648364,28
1588648367,28
1588648370,28
1588648373,28
1588648376,28
1588648379,28
1588648382,28
1588648385,28
1588648388,28
1588648391,28
1588648394,28
1588648397,28
1588648400,28
1588648403,28
1588648406,28
1588648409,28
1588648412,28
1588648415,28
1588648418,28
1588648421,28
1588648424,28
1588648427,28
1588648430,28
1588648433,28
1588648436,28
1588648439,28
1588648442,28
1588648445,28
1588648448,28
1588648451,28
1588648454,28
1588648457,28
1588648460,28
1588648463,28
1588648466,28
1588648469,28
1588648472,28
1588648475,28
1588648478,28
1588648481,28
1588648484,28
1588648487,28
1588648490,28
1588648493,28
1588648496,28
1588648499,28
1588648502,28
1588648505,28
1588648508,28
1588648511,28
1588648514,28
1588648517,28
1588648520,28
1588648523,28
1588648526,28
1588648529,28
1588648532,28
1588648535,28
1588648538,28
1588648541,28
1588648544,28
1588648547,28
1588648550,28
1588648553,28
1588648556,28
1588648559,28
1588648562,28
1588648565,28
1588648568,28
1588648571,28
1588648574,28
1588648577,28
1588648580,28
1588648583,28
1588648586,28
1588648589,28
1588648592,28
1588648595,28
1588648598,28
1588648601,28
1588648604,28
1588648607,28
1588648610,28
1588648613,28
1588648616,28
1588648619,28
1588648622,28
1588648625,28
1588648628,28
1588648631,28
1588648634,28
1588648637,28
1588648640,28
1588648643,28
1588648646,28
1588648649,28
1588648652,28
1588648655,28
1588648658,28
1588648661,28
1588648664,28
1588648667,28
1588648670,28
1588648673,28
1588648676,28
1588648679,28
1588648682,28
1588648685,28
1588648688,28
1588648691,28
1588648694,28
1588648697,28
1588648700,28
1588648703,28
1588648706,28
1588648709,28
1588648712,28
1588648715,28
1588648718,28
1588648721,28
1588648724,28
1588648727,28
1588648730,28
1588648733,28
1588648736,28
1588648739,28
1588648742,28
1588648745,28
1588648748,28
1588648751,28
1588648754,28
1588648757,28
1588648760,28
1588648763,28
1588648766,28
1588648769,28
1588648772,28
1588648775,28
1588648778,28
1588648781,28
1588648784,28
1588648787,28
1588648790,28
1588648793,28
1588648796,28
1588648799,28
1588648802,28
1588648805,28
1588648808,28
1588648811,28
1588648814,28
1588648817,28
1588648820,28
1588648823,28
1588648826,28
1588648829,28
1588648832,28
1588648835,28
1588648838,28
1588648841,28
1588648844,28
1588648847,28
1588648850,28
1588648853,28
1588648856,28
1588648859,28
1588648862,28
1588648865,28
1588648868,28
1588648871,28
1588648874,28
1588648877,28
1588648880,28
1588648883,28
1588648886,28
1588648889,28
1588648892,28
1588648895,28
1588648898,28
1588648901,28
1588648904,28
1588648907,28
1588648910,28
1588648913,28
1588648916,28
1588648919,28
1588648922,28
1588648925,28
1588648928,28
1588648931,28
1588648934,28
1588648937,28
1588648940,28
1588648943,28
1588648946,28
1588648949,28
1588648952,28
1588648955,28
1588648958,28
1588648961,28
1588648964,28
1588648967,28
1588648970,28
1588648973,28
1588648976,28
1588648979,28
1588648982,28
1588648985,28
1588648988,28
1588648991,28
1588648994,28
1588648997,28
1588649000,28
1588649003,28
1588649006,28
1588649009,28
1588649012,28
1588649015,28
1588649018,28
1588649021,28
1588649024,28
1588649027,28
1588649030,28
1588649033,28
1588649036,28
1588649039,28
1588649042,28
1588649045,28
1588649048,28
1588649051,28
1588649054,28
1588649057,28
1588649060,28
1588649063,28
1588649066,28
1588649069,28
1588649072,28
1588649075,28
1588649078,28
1588649081,28
1588649084,28
1588649087,28
1588649090,28
1588649093,28
1588649096,28
1588649099,28
1588649102,28
1588649105,28
1588649108,28
1588649111,28
1588649114,28
1588649117,28
1588649120,28
1588649123,28
1588649126,28
1588649129,28
1588649132,28
1588649135,28
1588649138,28
1588649141,28
1588649144,28
1588649147,28
1588649150,28
1588649153,28
1588649156,28
1588649159,28
1588649162,28
1588649165,28
1588649168,28
1588649171,28
1588649174,28
1588649177,28
1588649180,28
1588649183,28
1588649186,28
1588649189,28
1588649192,28
1588649195,28
1588649198,28
1588649201,28
1588649204,28
1588649207,28
1588649210,28
1588649213,28
1588649216,28
1588649219,28
1588649222,28
1588649225,28
1588649228,28
1588649231,28
1588649234,28
1588649237,28
1588649240,28
1588649243,28
1588649246,28
1588649249,28
1588649252,28
1588649255,28
1588649258,28
1588649261,28
1588649264,28
1588649267,28
1588649270,28
1588649273,28
1588649276,28
1588649279,28
1588649282,28
1588649285,28
1588649288,28
1588649291,28
1588649294,28
1588649297,28
