t,value
1588647995,78
1588647998,78
1588648001,78
1588648004,78
1588648007,78
1588648010,78
1588648013,78
1588648016,78
1588648019,78
1588648022,78
1588648025,78
1588648028,78
1588648031,78
1588648034,78
1588648037,78
1588648040,78
1588648043,78
1588648046,78
1588648049,78
1588648052,78
1588648055,78
1588648058,78
1588648061,78
1588648064,78
1588648067,78
1588648070,78
1588648073,78
1588648076,78
1588648079,78
1588648082,78
1588648085,78
1588648088,78
1588648091,78
1588648094,78
1588648097,78
1588648100,78
1588648103,78
1588648106,78
1588648109,78
1588648112,78
1588648115,78
1588648118,78
1588648121,78
1588648124,78
1588648127,78
1588648130,78
1588648133,78
1588648136,78
1588648139,78
1588648142,78
1588648145,78
1588648148,78
1588648151,78
1588648154,78
1588648157,78
1588648160,78
1588648163,78
1588648166,78
1588648169,78
1588648172,78
1588648175,78
1588648178,78
1588648181,78
1588648184,78
1588648187,78
1588648190,78
1588648193,78
1588648196,78
1588648199,78
1588648202,78
1588648205,78
1588648208,78
1588648211,78
1588648214,78
1588648217,78
1588648220,78
1588648223,78
1588648226,78
1588648229,78
1588648232,78
1588648235,78
1588648238,78
1588648241,78
1588648244,78
1588648247,78
1588648250,78
1588648253,78
1588648256,78
1588648259,78
1588648262,78
1588648265,78
1588648268,78
1588648271,78
1588648274,78
1588648277,78
1588648280,78
1588648283,78
1588648286,78
1588648289,78
1588648292,78
1588648295,78
1588648298,78
1588648301,78
1588648304,78
1588648307,78
1588648310,78
1588648313,78
1588648316,78
1588648319,78
1588648322,78
1588648325,78
1588648328,78
1588648331,78
1588648334,78
1588648337,78
1588648340,78
1588648343,78
1588648346,78
1588648349,78
1588648352,78
1588648355,78
1588648358,78
1588648361,78
1588648364,78
1588648367,78
1588648370,78
1588648373,78
1588648376,78
1588648379,78
1588648382,78
1588648385,78
1588648388,78
1588648391,78
1588648394,78
1588648397,78
1588648400,78
1588648403,78
1588648406,78
1588648409,78
1588648412,78
1588648415,78
1588648418,78
1588648421,78
1588648424,78
1588648427,78
1588648430,78
1588648433,78
1588648436,78
1588648439,78
1588648442,78
1588648445,78
1588648448,78
1588648451,78
1588648454,78
1588648457,78
1588648460,78
1588648463,78
1588648466,78
1588648469,78
1588648472,78
1588648475,78
1588648478,78
1588648481,78
1588648484,78
1588648487,78
1588648490,78
1588648493,78
1588648496,78
1588648499,78
1588648502,78
1588648505,78
1588648508,78
1588648511,78
1588648514,78
1588648517,78
1588648520,78
1588648523,78
1588648526,78
1588648529,78
1588648532,78
1588648535,78
1588648538,78
1588648541,78
1588648544,78
1588648547,78
1588648550,78
1588648553,78
1588648556,78
1588648559,78
1588648562,78
1588648565,78
1588648568,78
1588648571,78
1588648574,78
1588648577,78
1588648580,78
1588648583,78
1588648586,78
1588648589,78
1588648592,78
1588648595,78
1588648598,78
1588648601,78
1588648604,78
1588648607,78
1588648610,78
1588648613,78
1588648616,78
1588648619,78
1588648622,78
1588648625,78
1588648628,78
1588648631,78
1588648634,78
1588648637,78
1588648640,78
1588648643,78
1588648646,78
1588648649,78
1588648652,78
1588648655,78
1588648658,78
1588648661,78
1588648664,78
1588648667,78
1588648670,78
1588648673,78
1588648676,78
1588648679,78
1588648682,78
1588648685,78
1588648688,78
1588648691,78
1588648694,78
1588648697,78
1588648700,78
1588648703,78
1588648706,78
1588648709,78
1588648712,78
1588648715,78
1588648718,78
1588648721,78
1588648724,78
1588648727,78
1588648730,78
1588648733,78
1588648736,78
1588648739,78
1588648742,78
1588648745,78
1588648748,78
1588648751,78
1588648754,78
1588648757,78
1588648760,78
1588648763,78
1588648766,78
1588648769,78
1588648772,78
1588648775,78
1588648778,78
1588648781,78
1588648784,78
1588648787,78
1588648790,78
1588648793,78
1588648796,78
1588648799,78
1588648802,78
1588648805,78
1588648808,78
1588648811,78
1588648814,78
1588648817,78
1588648820,78
1588648823,78
1588648826,78
1588648829,78
1588648832,78
1588648835,78
1588648838,78
1588648841,78
1588648844,78
1588648847,78
1588648850,78
1588648853,78
1588648856,78
1588648859,78
1588648862,78
1588648865,78
1588648868,78
1588648871,78
1588648874,78
1588648877,78
1588648880,78
1588648883,78
1588648886,78
1588648889,78
1588648892,78
1588648895,78
1588648898,78
1588648901,78
1588648904,78
1588648907,78
1588648910,78
1588648913,78
1588648916,78
1588648919,78
1588648922,78
1588648925,78
1588648928,78
1588648931,78
1588648934,78
1588648937,78
1588648940,78
1588648943,78
1588648946,78
1588648949,78
1588648952,78
1588648955,78
1588648958,78
1588648961,78
1588648964,78
1588648967,78
1588648970,78
1588648973,78
1588648976,78
1588648979,78
1588648982,78
1588648985,78
1588648988,78
1588648991,78
1588648994,78
1588648997,78
1588649000,78
1588649003,78
1588649006,78
1588649009,78
1588649012,78
1588649015,78
1588649018,78
1588649021,78
1588649024,78
1588649027,78
1588649030,78
1588649033,78
1588649036,78
1588649039,78
1588649042,78
1588649045,78
1588649048,78
1588649051,78
1588649054,78
1588649057,78
1588649060,78
1588649063,78
1588649066,78
1588649069,78
1588649072,78
1588649075,78
1588649078,78
1588649081,78
1588649084,78
1588649087,78
1588649090,78
1588649093,78
1588649096,78
1588649099,78
1588649102,78
1588649105,78
1588649108,78
1588649111,78
1588649114,78
1588649117,78
1588649120,78
1588649123,78
1588649126,78
1588649129,78
1588649132,78
1588649135,78
1588649138,78
1588649141,78
1588649144,78
1588649147,78
1588649150,78
1588649153,78
1588649156,78
1588649159,78
1588649162,78
1588649165,78
1588649168,78
1588649171,78
1588649174,78
1588649177,78
1588649180,78
1588649183,78
1588649186,78
1588649189,78
1588649192,78
1588649195,78
1588649198,78
1588649201,78
1588649204,78
1588649207,78
1588649210,78
1588649213,78
1588649216,78
1588649219,78
1588649222,78
1588649225,78
1588649228,78
1588649231,78
1588649234,78
1588649237,78
1588649240,78
1588649243,78
1588649246,78
1588649249,78
1588649252,78
1588649255,78
1588649258,78
1588649261,78
1588649264,78
1588649267,78
1588649270,78
1588649273,78
1588649276,78
1588649279,78
1588649282,78
1588649285,78
1588649288,78
1588649291,78
1588649294,78
1588649297,78
1588649300,78
1588649303,78
1588649306,78
1588649309,78
1588649312,78
1588649315,78
1588649318,78
1588649321,78
1588649324,78
1588649327,78
1588649330,78
1588649333,78
1588649336,78
1588649339,78
1588649342,78
1588649345,78
1588649348,78
1588649351,78
1588649354,78
1588649357,78
1588649360,78
1588649363,78
1588649366,78
1588649369,78
1588649372,78
1588649375,78
1588649378,78
1588649381,78
1588649384,78
1588649387,78
1588649390,78
1588649393,78
1588649396,78
1588649399,78
1588649402,78
1588649405,78
1588649408,78
1588649411,78
1588649414,78
1588649417,78
1588649420,78
1588649423,78
1588649426,78
1588649429,78
1588649432,78
1588649435,78
1588649438,78
1588649441,78
1588649444,78
1588649447,78
1588649450,78
1588649453,78
1588649456,78
1588649459,78
1588649462,78
1588649465,78
1588649468,78
1588649471,78
1588649474,78
1588649477,78
1588649480,78
1588649483,78
1588649486,78
1588649489,78
1588649492,78
1588649495,78
1588649498,78
1588649501,78
1588649504,78
1588649507,78
1588649510,78
1588649513,78
1588649516,78
1588649519,78
1588649522,78
1588649525,78
1588649528,78
1588649531,78
1588649534,78
1588649537,78
1588649540,78
1588649543,78
1588649546,78
1588649549,78
1588649552,78
1588649555,78
1588649558,78
1588649561,78
1588649564,78
1588649567,78
1588649570,78
1588649573,78
1588649576,78
1588649579,78
1588649582,78
1588649585,78
1588649588,78
1588649591,78
1588649594,78
1588649597,78
1588649600,78
1588649603,78
1588649606,78
1588649609,78
1588649612,78
1588649615,78
1588649618,78
1588649621,78
1588649624,78
1588649627,78
1588649630,78
1588649633,78
1588649636,78
1588649639,78
1588649642,78
1588649645,78
1588649648,78
1588649651,78
1588649654,78
1588649657,78
1588649660,78
1588649663,78
1588649666,78
1588649669,78
1588649672,78
1588649675,78
1588649678,78
1588649681,78
1588649684,78
1588649687,78
1588649690,78
1588649693,78
1588649696,78
1588649699,78
1588649702,78
1588649705,78
1588649708,78
1588649711,78
1588649714,78
1588649717,78
1588649720,78
1588649723,78
1588649726,78
1588649729,78
1588649732,78
1588649735,78
1588649738,78
1588649741,78
1588649744,78
1588649747,78
1588649750,78
1588649753,78
1588649756,78
1588649759,78
1588649762,78
1588649765,78
1588649768,78
1588649771,78
1588649774,78
1588649777,78
1588649780,78
1588649783,78
1588649786,78
1588649789,78
1588649792,78
1588649795,78
1588649798,78
1588649801,78
1588649804,78
1588649807,78
1588649810,78
1588649813,78
1588649816,78
1588649819,78
1588649822,78
1588649825,78
1588649828,78
1588649831,78
1588649834,78
1588649837,78
1588649840,78
1588649843,78
1588649846,78
1588649849,78
1588649852,78
1588649855,78
1588649858,78
1588649861,78
1588649864,78
1588649867,78
1588649870,78
1588649873,78
1588649876,78
1588649879,78
1588649882,78
1588649885,78
1588649888,78
1588649891,78
1588649894,78
1588649897,78
1588649900,78
1588649903,78
1588649906,78
1588649909,78
1588649912,78
1588649915,78
1588649918,78
1588649921,78
1588649924,78
1588649927,78
1588649930,78
1588649933,78
1588649936,78
1588649939,78
1588649942,78
1588649945,78
1588649948,78
1588649951,78
1588649954,78
1588649957,78
1588649960,78
1588649963,78
1588649966,78
1588649969,78
1588649972,78
1588649975,78
1588649978,78
1588649981,78
1588649984,78
1588649987,78
1588649990,78
1588649993,78
1588649996,78
1588649999,78
1588650002,78
1588650005,78
1588650008,78
1588650011,78
1588650014,78
1588650017,78
1588650020,78
1588650023,78
1588650026,78
1588650029,78
1588650032,78
1588650035,78
1588650038,78
1588650041,78
1588650044,78
1588650047,78
1588650050,78
1588650053,78
1588650056,78
1588650059,78
1588650062,78
1588650065,78
1588650068,78
1588650071,78
1588650074,78
1588650077,78
1588650080,78
1588650083,78
1588650086,78
1588650089,78
1588650092,78
1588650095,78
1588650098,78
1588650101,78
1588650104,78
1588650107,78
1588650110,78
1588650113,78
1588650116,78
1588650119,78
1588650122,78
1588650125,78
1588650128,78
1588650131,78
1588650134,78
1588650137,78
1588650140,78
1588650143,78
1588650146,78
1588650149,78
1588650152,78
1588650155,78
1588650158,78
1588650161,78
1588650164,78
1588650167,78
1588650170,78
1588650173,78
1588650176,78
1588650179,78
1588650182,78
1588650185,78
1588650188,78
1588650191,78
1588650194,78
1588650197,78
1588650200,78
1588650203,78
1588650206,78
1588650209,78
1588650212,78
1588650215,78
1588650218,78
1588650221,78
1588650224,78
1588650227,78
1588650230,78
1588650233,78
1588650236,78
1588650239,78
1588650242,78
1588650245,78
1588650248,78
1588650251,78
1588650254,78
1588650257,78
1588650260,78
1588650263,78
1588650266,78
1588650269,78
1588650272,78
1588650275,78
1588650278,78
1588650281,78
1588650284,78
1588650287,78
1588650290,78
1588650293,78
1588650296,78
1588650299,78
1588650302,78
1588650305,78
1588650308,78
1588650311,78
1588650314,78
1588650317,78
1588650320,78
1588650323,78
1588650326,78
1588650329,78
1588650332,78
1588650335,78
1588650338,78
1588650341,78
1588650344,78
1588650347,78
1588650350,78
1588650353,78
1588650356,78
1588650359,78
1588650362,78
1588650365,78
1588650368,78
1588650371,78
1588650374,78
1588650377,78
1588650380,78
1588650383,78
1588650386,78
1588650389,78
1588650392,78
1588650395,78
1588650398,78
1588650401,78
1588650404,78
1588650407,78
1588650410,78
1588650413,78
1588650416,78
1588650419,78
1588650422,78
1588650425,78
1588650428,78
1588650431,78
1588650434,78
1588650437,78
1588650440,78
1588650443,78
1588650446,78
1588650449,78
1588650452,78
1588650455,78
1588650458,78
1588650461,78
1588650464,78
1588650467,78
1588650470,78
1588650473,78
1588650476,78
1588650479,78
1588650482,78
1588650485,78
1588650488,78
1588650491,78
1588650494,78
1588650497,78
1588650500,78
1588650503,78
1588650506,78
1588650509,78
1588650512,78
1588650515,78
1588650518,78
1588650521,78
1588650524,78
1588650527,78
1588650530,78
1588650533,78
1588650536,78
1588650539,78
1588650542,78
1588650545,78
1588650548,78
1588650551,78
1588650554,78
1588650557,78
1588650560,78
1588650563,78
1588650566,78
1588650569,78
1588650572,78
1588650575,78
1588650578,78
1588650581,78
1588650584,78
1588650587,78
1588650590,78
1588650593,78
1588650596,78
1588650599,78
1588650602,78
1588650605,78
1588650608,78
1588650611,78
1588650614,78
1588650617,78
1588650620,78
1588650623,78
1588650626,78
1588650629,78
1588650632,78
1588650635,78
1588650638,78
1588650641,78
1588650644,78
1588650647,78
1588650650,78
1588650653,78
1588650656,78
1588650659,78
1588650662,78
1588650665,78
1588650668,78
1588650671,78
1588650674,78
1588650677,78
1588650680,78
1588650683,78
1588650686,78
1588650689,78
1588650692,78
1588650695,78
1588650698,78
1588650701,78
1588650704,78
1588650707,78
1588650710,78
1588650713,78
1588650716,78
1588650719,78
1588650722,78
1588650725,78
1588650728,78
1588650731,78
1588650734,78
1588650737,78
1588650740,78
1588650743,78
1588650746,78
1588650749,78
1588650752,78
1588650755,78
1588650758,78
1588650761,78
1588650764,78
1588650767,78
1588650770,78
1588650773,78
1588650776,78
1588650779,78
1588650782,78
1588650785,78
1588650788,78
1588650791,78
1588650794,78
1588650797,78
1588650800,78
1588650803,78
1588650806,78
1588650809,78
1588650812,78
1588650815,78
1588650818,78
1588650821,78
1588650824,78
1588650827,78
1588650830,78
1588650833,78
1588650836,78
1588650839,78
1588650842,78
1588650845,78
1588650848,78
1588650851,78
1588650854,78
1588650857,78
1588650860,78
1588650863,78
1588650866,78
1588650869,78
1588650872,78
1588650875,78
1588650878,78
1588650881,78
1588650884,78
1588650887,78
1588650890,78
1588650893,78
1588650896,78
1588650899,78
1588650902,78
1588650905,78
1588650908,78
1588650911,78
1588650914,78
1588650917,78
1588650920,78
1588650923,78
1588650926,78
1588650929,78
1588650932,78
1588650935,78
1588650938,78
1588650941,78
1588650944,78
1588650947,78
1588650950,78
1588650953,78
1588650956,78
1588650959,78
1588650962,78
1588650965,78
1588650968,78
1588650971,78
1588650974,78
1588650977,78
1588650980,78
1588650983,78
1588650986,78
1588650989,78
1588650992,78
1588650995,78
1588650998,78
1588651001,78
1588651004,78
1588651007,78
1588651010,78
1588651013,78
1588651016,78
1588651019,78
1588651022,78
1588651025,78
1588651028,78
1588651031,78
1588651034,78
1588651037,78
1588651040,78
1588651043,78
1588651046,78
1588651049,78
1588651052,78
1588651055,78
1588651058,78
1588651061,78
1588651064,78
1588651067,78
1588651070,78
1588651073,78
1588651076,78
1588651079,78
1588651082,78
1588651085,78
1588651088,78
1588651091,78
1588651094,78
1588651097,78
1588651100,78
1588651103,78
1588651106,78
1588651109,78
1588651112,78
1588651115,78
1588651118,78
1588651121,78
1588651124,78
1588651127,78
1588651130,78
1588651133,78
1588651136,78
1588651139,78
1588651142,78
1588651145,78
1588651148,78
1588651151,78
1588651154,78
1588651157,78
1588651160,78
1588651163,78
1588651166,78
1588651169,78
1588651172,78
1588651175,78
1588651178,78
1588651181,78
1588651184,78
1588651187,78
1588651190,78
1588651193,78
1588651196,78
1588651199,78
1588651202,78
1588651205,78
1588651208,78
1588651211,78
1588651214,78
1588651217,78
1588651220,78
1588651223,78
1588651226,78
1588651229,78
1588651232,78
1588651235,78
1588651238,78
1588651241,78
1588651244,78
1588651247,78
1588651250,78
1588651253,78
1588651256,78
1588651259,78
1588651262,78
1588651265,78
1588651268,78
1588651271,78
1588651274,78
1588651277,78
1588651280,78
1588651283,78
1588651286,78
1588651289,78
1588651292,78
1588651295,78
1588651298,78
1588651301,78
1588651304,78
1588651307,78
1588651310,78
1588651313,78
1588651316,78
1588651319,78
1588651322,78
1588651325,78
1588651328,78
1588651331,78
1588651334,78
1588651337,78
1588651340,78
1588651343,78
1588651346,78
1588651349,78
1588651352,78
1588651355,78
1588651358,78
1588651361,78
1588651364,78
1588651367,78
1588651370,78
1588651373,78
1588651376,78
1588651379,78
1588651382,78
1588651385,78
1588651388,78
1588651391,78
1588651394,78
1588651397,78
1588651400,78
1588651403,78
1588651406,78
1588651409,78
1588651412,78
1588651415,78
1588651418,78
1588651421,78
1588651424,78
1588651427,78
1588651430,78
1588651433,78
1588651436,78
1588651439,78
1588651442,78
1588651445,78
1588651448,78
1588651451,78
1588651454,78
1588651457,78
1588651460,78
1588651463,78
1588651466,78
1588651469,78
1588651472,78
1588651475,78
1588651478,78
1588651481,78
1588651484,78
1588651487,78
1588651490,78
1588651493,78
1588651496,78
1588651499,78
1588651502,78
1588651505,78
1588651508,78
