t,value
1588647995,66
1588647998,66
1588648001,66
1588648004,66
1588648007,66
1588648010,66
1588648013,66
1588648016,66
1588648019,66
1588648022,66
1588648025,66
1588648028,66
1588648031,66
1588648034,66
1588648037,66
1588648040,66
1588648043,66
1588648046,66
1588648049,66
1588648052,66
1588648055,66
1588648058,66
1588648061,66
1588648064,66
1588648067,66
1588648070,66
1588648073,66
1588648076,66
1588648079,66
1588648082,66
1588648085,66
1588648088,66
1588648091,66
1588648094,66
1588648097,66
1588648100,66
1588648103,66
1588648106,66
1588648109,66
1588648112,66
1588648115,66
1588648118,66
1588648121,66
1588648124,66
1588648127,66
1588648130,66
1588648133,66
1588648136,66
1588648139,66
1588648142,66
1588648145,66
1588648148,66
1588648151,66
1588648154,66
1588648157,66
1588648160,66
1588648163,66
1588648166,66
1588648169,66
1588648172,66
1588648175,66
1588648178,66
1588648181,66
1588648184,66
1588648187,66
1588648190,66
1588648193,66
1588648196,66
1588648199,66
1588648202,66
1588648205,66
1588648208,66
1588648211,66
1588648214,66
1588648217,66
1588648220,66
1588648223,66
1588648226,66
1588648229,66
1588648232,66
1588648235,66
1588648238,66
1588648241,66
1588648244,66
1588648247,66
1588648250,66
1588648253,66
1588648256,66
1588648259,66
1588648262,66
1588648265,66
1588648268,66
1588648271,66
1588648274,66
1588648277,66
1588648280,66
1588648283,66
1588648286,66
1588648289,66
1588648292,66
1588648295,66
1588648298,66
1588648301,66
1588648304,66
1588648307,66
1588648310,66
1588648313,66
1588648316,66
1588648319,66
1588648322,66
1588648325,66
1588648328,66
1588648331,66
1588648334,66
1588648337,66
1588648340,66
1588648343,66
1588648346,66
1588648349,66
1588648352,66
1588648355,66
1588648358,66
1588648361,66
1588648364,66
1588648367,66
1588648370,66
1588648373,66
1588648376,66
1588648379,66
1588648382,66
1588648385,66
1588648388,66
1588648391,66
1588648394,66
1588648397,66
1588648400,66
1588648403,66
1588648406,66
1588648409,66
1588648412,66
1588648415,66
1588648418,66
1588648421,66
1588648424,66
1588648427,66
1588648430,66
1588648433,66
1588648436,66
1588648439,66
1588648442,66
1588648445,66
1588648448,66
1588648451,66
1588648454,66
1588648457,66
1588648460,66
1588648463,66
1588648466,66
1588648469,66
1588648472,66
1588648475,66
1588648478,66
1588648481,66
1588648484,66
1588648487,66
1588648490,66
1588648493,66
1588648496,66
1588648499,66
1588648502,66
1588648505,66
1588648508,66
1588648511,66
1588648514,66
1588648517,66
1588648520,66
1588648523,66
1588648526,66
1588648529,66
1588648532,66
1588648535,66
1588648538,66
1588648541,66
1588648544,66
1588648547,66
1588648550,66
1588648553,66
1588648556,66
1588648559,66
1588648562,66
1588648565,66
1588648568,66
1588648571,66
1588648574,66
1588648577,66
1588648580,66
1588648583,66
1588648586,66
1588648589,66
1588648592,66
1588648595,66
1588648598,66
1588648601,66
1588648604,66
1588648607,66
1588648610,66
1588648613,66
1588648616,66
1588648619,66
1588648622,66
1588648625,66
1588648628,66
1588648631,66
1588648634,66
1588648637,66
1588648640,66
1588648643,66
1588648646,66
1588648649,66
1588648652,66
1588648655,66
1588648658,66
1588648661,66
1588648664,66
1588648667,66
1588648670,66
1588648673,66
1588648676,66
1588648679,66
1588648682,66
1588648685,66
1588648688,66
1588648691,66
1588648694,66
1588648697,66
1588648700,66
1588648703,66
1588648706,66
1588648709,66
1588648712,66
1588648715,66
1588648718,66
1588648721,66
1588648724,66
1588648727,66
1588648730,66
1588648733,66
1588648736,66
1588648739,66
1588648742,66
1588648745,66
1588648748,66
1588648751,66
1588648754,66
1588648757,66
1588648760,66
1588648763,66
1588648766,66
1588648769,66
1588648772,66
1588648775,66
1588648778,66
1588648781,66
1588648784,66
1588648787,66
1588648790,66
1588648793,66
1588648796,66
1588648799,66
1588648802,66
1588648805,66
1588648808,66
1588648811,66
1588648814,66
1588648817,66
1588648820,66
1588648823,66
1588648826,66
1588648829,66
1588648832,66
1588648835,66
1588648838,66
1588648841,66
1588648844,66
1588648847,66
1588648850,66
1588648853,66
1588648856,66
1588648859,66
1588648862,66
1588648865,66
1588648868,66
1588648871,66
1588648874,66
1588648877,66
1588648880,66
1588648883,66
1588648886,66
1588648889,66
1588648892,66
1588648895,66
1588648898,66
1588648901,66
1588648904,66
1588648907,66
1588648910,66
1588648913,66
1588648916,66
1588648919,66
1588648922,66
1588648925,66
1588648928,66
1588648931,66
1588648934,66
1588648937,66
1588648940,66
1588648943,66
1588648946,66
1588648949,66
1588648952,66
1588648955,66
1588648958,66
1588648961,66
1588648964,66
1588648967,66
1588648970,66
1588648973,66
1588648976,66
1588648979,66
1588648982,66
1588648985,66
1588648988,66
1588648991,66
1588648994,66
1588648997,66
1588649000,66
1588649003,66
1588649006,66
1588649009,66
1588649012,66
1588649015,66
1588649018,66
1588649021,66
1588649024,66
1588649027,66
1588649030,66
1588649033,66
1588649036,66
1588649039,66
1588649042,66
1588649045,66
1588649048,66
1588649051,66
1588649054,66
1588649057,66
1588649060,66
1588649063,66
1588649066,66
1588649069,66
1588649072,66
1588649075,66
1588649078,66
1588649081,66
1588649084,66
1588649087,66
1588649090,66
1588649093,66
1588649096,66
1588649099,66
1588649102,66
1588649105,66
1588649108,66
1588649111,66
1588649114,66
1588649117,66
1588649120,66
1588649123,66
1588649126,66
1588649129,66
1588649132,66
1588649135,66
1588649138,66
1588649141,66
1588649144,66
1588649147,66
1588649150,66
1588649153,66
1588649156,66
1588649159,66
1588649162,66
1588649165,66
1588649168,66
1588649171,66
1588649174,66
1588649177,66
1588649180,66
1588649183,66
1588649186,66
1588649189,66
1588649192,66
1588649195,66
1588649198,66
1588649201,66
1588649204,66
1588649207,66
1588649210,66
1588649213,66
1588649216,66
1588649219,66
1588649222,66
1588649225,66
1588649228,66
1588649231,66
1588649234,66
1588649237,66
1588649240,66
1588649243,66
1588649246,66
1588649249,66
1588649252,66
1588649255,66
1588649258,66
1588649261,66
1588649264,66
1588649267,66
1588649270,66
1588649273,66
1588649276,66
1588649279,66
1588649282,66
1588649285,66
1588649288,66
1588649291,66
1588649294,66
1588649297,66
1588649300,66
1588649303,66
1588649306,66
1588649309,66
1588649312,66
1588649315,66
1588649318,66
1588649321,66
1588649324,66
1588649327,66
1588649330,66
1588649333,66
1588649336,66
1588649339,66
1588649342,66
1588649345,66
1588649348,66
1588649351,66
1588649354,66
1588649357,66
1588649360,66
1588649363,66
1588649366,66
1588649369,66
1588649372,66
1588649375,66
1588649378,66
1588649381,66
1588649384,66
1588649387,66
1588649390,66
1588649393,66
1588649396,66
1588649399,66
1588649402,66
1588649405,66
1588649408,66
1588649411,66
1588649414,66
1588649417,66
1588649420,66
1588649423,66
1588649426,66
1588649429,66
1588649432,66
1588649435,66
1588649438,66
1588649441,66
1588649444,66
1588649447,66
1588649450,66
1588649453,66
1588649456,66
1588649459,66
1588649462,66
1588649465,66
1588649468,66
1588649471,66
1588649474,66
1588649477,66
1588649480,66
1588649483,66
1588649486,66
1588649489,66
1588649492,66
1588649495,66
1588649498,66
1588649501,66
1588649504,66
1588649507,66
1588649510,66
1588649513,66
1588649516,66
1588649519,66
1588649522,66
1588649525,66
1588649528,66
1588649531,66
1588649534,66
1588649537,66
1588649540,66
1588649543,66
1588649546,66
1588649549,66
1588649552,66
1588649555,66
1588649558,66
1588649561,66
1588649564,66
1588649567,66
1588649570,66
1588649573,66
1588649576,66
1588649579,66
1588649582,66
1588649585,66
1588649588,66
1588649591,66
1588649594,66
1588649597,66
1588649600,66
1588649603,66
1588649606,66
1588649609,66
1588649612,66
1588649615,66
1588649618,66
1588649621,66
1588649624,66
1588649627,66
1588649630,66
1588649633,66
1588649636,66
1588649639,66
1588649642,66
1588649645,66
1588649648,66
1588649651,66
1588649654,66
1588649657,66
1588649660,66
1588649663,66
1588649666,66
1588649669,66
1588649672,66
1588649675,66
1588649678,66
1588649681,66
1588649684,66
1588649687,66
1588649690,66
1588649693,66
1588649696,66
1588649699,66
1588649702,66
1588649705,66
1588649708,66
1588649711,66
1588649714,66
1588649717,66
1588649720,66
1588649723,66
1588649726,66
1588649729,66
1588649732,66
1588649735,66
1588649738,66
1588649741,66
1588649744,66
1588649747,66
1588649750,66
1588649753,66
1588649756,66
1588649759,66
1588649762,66
1588649765,66
1588649768,66
1588649771,66
1588649774,66
1588649777,66
1588649780,66
1588649783,66
1588649786,66
1588649789,66
1588649792,66
1588649795,66
1588649798,66
1588649801,66
1588649804,66
1588649807,66
1588649810,66
1588649813,66
1588649816,66
1588649819,66
1588649822,66
1588649825,66
1588649828,66
1588649831,66
1588649834,66
1588649837,66
1588649840,66
1588649843,66
1588649846,66
1588649849,66
1588649852,66
1588649855,66
1588649858,66
1588649861,66
1588649864,66
