t,value
1588647995,6
1588647998,6
1588648001,6
1588648004,6
1588648007,6
1588648010,6
1588648013,6
1588648016,6
1588648019,6
1588648022,6
1588648025,6
1588648028,6
1588648031,6
1588648034,6
1588648037,6
1588648040,6
1588648043,6
1588648046,6
1588648049,6
1588648052,6
1588648055,6
1588648058,6
1588648061,6
1588648064,6
1588648067,6
1588648070,6
1588648073,6
1588648076,6
1588648079,6
1588648082,6
1588648085,6
1588648088,6
1588648091,6
1588648094,6
1588648097,6
1588648100,6
1588648103,6
1588648106,6
1588648109,6
1588648112,6
1588648115,6
1588648118,6
1588648121,6
1588648124,6
1588648127,6
1588648130,6
1588648133,6
1588648136,6
1588648139,6
1588648142,6
1588648145,6
1588648148,6
1588648151,6
1588648154,6
1588648157,6
1588648160,6
1588648163,6
1588648166,6
1588648169,6
1588648172,6
1588648175,6
1588648178,6
1588648181,6
1588648184,6
1588648187,6
1588648190,6
1588648193,6
1588648196,6
1588648199,6
1588648202,6
1588648205,6
1588648208,6
1588648211,6
1588648214,6
1588648217,6
1588648220,6
1588648223,6
1588648226,6
1588648229,6
1588648232,6
1588648235,6
1588648238,6
1588648241,6
1588648244,6
1588648247,6
1588648250,6
1588648253,6
1588648256,6
1588648259,6
1588648262,6
1588648265,6
1588648268,6
1588648271,6
1588648274,6
1588648277,6
1588648280,6
1588648283,6
1588648286,6
1588648289,6
1588648292,6
1588648295,6
1588648298,6
1588648301,6
1588648304,6
1588648307,6
1588648310,6
1588648313,6
1588648316,6
1588648319,6
1588648322,6
1588648325,6
1588648328,6
1588648331,6
1588648334,6
1588648337,6
1588648340,6
1588648343,6
1588648346,6
1588648349,6
1588648352,6
1588648355,6
1588648358,6
1588648361,6
1588648364,6
1588648367,6
1588648370,6
1588648373,6
1588648376,6
1588648379,6
1588648382,6
1588648385,6
1588648388,6
1588648391,6
1588648394,6
1588648397,6
1588648400,6
1588648403,6
1588648406,6
1588648409,6
1588648412,6
1588648415,6
1588648418,6
1588648421,6
1588648424,6
1588648427,6
1588648430,6
1588648433,6
1588648436,6
1588648439,6
1588648442,6
1588648445,6
1588648448,6
1588648451,6
1588648454,6
1588648457,6
1588648460,6
1588648463,6
1588648466,6
1588648469,6
1588648472,6
1588648475,6
1588648478,6
1588648481,6
1588648484,6
1588648487,6
1588648490,6
1588648493,6
1588648496,6
1588648499,6
1588648502,6
1588648505,6
1588648508,6
1588648511,6
1588648514,6
1588648517,6
1588648520,6
1588648523,6
1588648526,6
1588648529,6
1588648532,6
1588648535,6
1588648538,6
1588648541,6
1588648544,6
1588648547,6
1588648550,6
1588648553,6
1588648556,6
