t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1588647995,31652,5473.404489,0.000000,0.000000,0.000000,events/second
1588647998,31652,3618.251646,0.000000,0.000000,0.000000,events/second
1588648001,31652,2696.283757,0.000000,0.000000,0.000000,events/second
1588648004,31652,2147.222821,0.000000,0.000000,0.000000,events/second
1588648007,31652,1784.321292,0.000000,0.000000,0.000000,events/second
1588648010,31652,1526.194241,0.000000,0.000000,0.000000,events/second
1588648013,31652,1333.106953,0.000000,0.000000,0.000000,events/second
1588648016,31652,1183.842218,0.000000,0.000000,0.000000,events/second
1588648019,31652,1064.210064,0.000000,0.000000,0.000000,events/second
1588648022,31652,966.854887,0.000000,0.000000,0.000000,events/second
1588648025,31652,885.617697,0.000000,0.000000,0.000000,events/second
1588648028,31652,817.041856,0.000000,0.000000,0.000000,events/second
1588648031,31652,758.303127,0.000000,0.000000,0.000000,events/second
1588648034,31652,707.486188,0.000000,0.000000,0.000000,events/second
1588648037,31652,663.021014,0.000000,0.000000,0.000000,events/second
1588648040,31652,623.765485,0.000000,0.000000,0.000000,events/second
1588648043,31652,588.974257,0.000000,0.000000,0.000000,events/second
1588648046,31652,557.872814,0.000000,0.000000,0.000000,events/second
1588648049,31652,529.792417,0.000000,0.000000,0.000000,events/second
1588648052,31652,504.489672,0.000000,0.000000,0.000000,events/second
1588648055,31652,481.464754,0.000000,0.000000,0.000000,events/second
1588648058,31652,460.465930,0.000000,0.000000,0.000000,events/second
1588648061,31652,441.200509,0.000000,0.000000,0.000000,events/second
1588648064,31652,423.498479,0.000000,0.000000,0.000000,events/second
1588648067,31652,407.165961,0.000000,0.000000,0.000000,events/second
1588648070,31652,392.025156,0.000000,0.000000,0.000000,events/second
1588648073,31652,377.994489,0.000000,0.000000,0.000000,events/second
1588648076,31652,364.915388,0.000000,0.000000,0.000000,events/second
1588648079,31652,352.708488,0.000000,0.000000,0.000000,events/second
1588648082,31652,341.300624,0.000000,0.000000,0.000000,events/second
1588648085,31652,330.619106,0.000000,0.000000,0.000000,events/second
1588648088,31652,320.555403,0.000000,0.000000,0.000000,events/second
1588648091,31652,311.107767,0.000000,0.000000,0.000000,events/second
1588648094,31652,302.208049,0.000000,0.000000,0.000000,events/second
1588648097,31652,293.791770,0.000000,0.000000,0.000000,events/second
1588648100,31652,285.830129,0.000000,0.000000,0.000000,events/second
1588648103,31652,278.290121,0.000000,0.000000,0.000000,events/second
1588648106,31652,271.137703,0.000000,0.000000,0.000000,events/second
1588648109,31652,264.350233,0.000000,0.000000,0.000000,events/second
1588648112,31652,257.879055,0.000000,0.000000,0.000000,events/second
1588648115,31652,251.725590,0.000000,0.000000,0.000000,events/second
1588648118,31652,245.863802,0.000000,0.000000,0.000000,events/second
1588648121,31652,240.258590,0.000000,0.000000,0.000000,events/second
1588648124,31652,234.916802,0.000000,0.000000,0.000000,events/second
1588648127,31652,229.797024,0.000000,0.000000,0.000000,events/second
1588648130,31652,224.898952,0.000000,0.000000,0.000000,events/second
1588648133,31652,220.208378,0.000000,0.000000,0.000000,events/second
1588648136,31652,215.701988,0.000000,0.000000,0.000000,events/second
1588648139,31652,211.378882,0.000000,0.000000,0.000000,events/second
1588648142,31652,207.233503,0.000000,0.000000,0.000000,events/second
1588648145,31652,203.238486,0.000000,0.000000,0.000000,events/second
1588648148,31652,199.398317,0.000000,0.000000,0.000000,events/second
1588648151,31652,195.699392,0.000000,0.000000,0.000000,events/second
1588648154,31652,192.135720,0.000000,0.000000,0.000000,events/second
1588648157,31652,188.695563,0.000000,0.000000,0.000000,events/second
1588648160,31652,185.383659,0.000000,0.000000,0.000000,events/second
1588648163,31652,182.179446,0.000000,0.000000,0.000000,events/second
1588648166,31652,179.091107,0.000000,0.000000,0.000000,events/second
1588648169,31652,176.098270,0.000000,0.000000,0.000000,events/second
1588648172,31652,173.212317,0.000000,0.000000,0.000000,events/second
1588648175,31652,170.413004,0.000000,0.000000,0.000000,events/second
1588648178,31652,167.704203,0.000000,0.000000,0.000000,events/second
1588648181,31652,165.082055,0.000000,0.000000,0.000000,events/second
1588648184,31652,162.535657,0.000000,0.000000,0.000000,events/second
1588648187,31652,160.069376,0.000000,0.000000,0.000000,events/second
1588648190,31652,157.677375,0.000000,0.000000,0.000000,events/second
1588648193,31652,155.356854,0.000000,0.000000,0.000000,events/second
1588648196,31652,153.100468,0.000000,0.000000,0.000000,events/second
1588648199,31652,150.912087,0.000000,0.000000,0.000000,events/second
1588648202,31652,148.782673,0.000000,0.000000,0.000000,events/second
1588648205,31652,146.713407,0.000000,0.000000,0.000000,events/second
1588648208,31652,144.701472,0.000000,0.000000,0.000000,events/second
1588648211,31652,142.743557,0.000000,0.000000,0.000000,events/second
1588648214,31652,140.840285,0.000000,0.000000,0.000000,events/second
1588648217,31652,138.982277,0.000000,0.000000,0.000000,events/second
1588648220,31652,137.177697,0.000000,0.000000,0.000000,events/second
1588648223,31652,135.416778,0.000000,0.000000,0.000000,events/second
1588648226,31652,133.699781,0.000000,0.000000,0.000000,events/second
1588648229,31652,132.028010,0.000000,0.000000,0.000000,events/second
1588648232,31652,130.395440,0.000000,0.000000,0.000000,events/second
1588648235,31652,128.802834,0.000000,0.000000,0.000000,events/second
1588648238,31652,127.249751,0.000000,0.000000,0.000000,events/second
1588648241,31652,125.735668,0.000000,0.000000,0.000000,events/second
1588648244,31652,124.251842,0.000000,0.000000,0.000000,events/second
1588648247,31652,122.806404,0.000000,0.000000,0.000000,events/second
1588648250,31652,121.394740,0.000000,0.000000,0.000000,events/second
1588648253,31652,120.014672,0.000000,0.000000,0.000000,events/second
1588648256,31652,118.662953,0.000000,0.000000,0.000000,events/second
1588648259,31652,117.344160,0.000000,0.000000,0.000000,events/second
1588648262,31652,116.054128,0.000000,0.000000,0.000000,events/second
1588648265,31652,114.790907,0.000000,0.000000,0.000000,events/second
1588648268,31652,113.554930,0.000000,0.000000,0.000000,events/second
1588648271,31652,112.345577,0.000000,0.000000,0.000000,events/second
1588648274,31652,111.161068,0.000000,0.000000,0.000000,events/second
1588648277,31652,110.002203,0.000000,0.000000,0.000000,events/second
1588648280,31652,108.866555,0.000000,0.000000,0.000000,events/second
1588648283,31652,107.754763,0.000000,0.000000,0.000000,events/second
1588648286,31652,106.666055,0.000000,0.000000,0.000000,events/second
1588648289,31652,105.598388,0.000000,0.000000,0.000000,events/second
1588648292,31652,104.551340,0.000000,0.000000,0.000000,events/second
1588648295,31652,103.527602,0.000000,0.000000,0.000000,events/second
1588648298,31652,102.519705,0.000000,0.000000,0.000000,events/second
1588648301,31652,101.534513,0.000000,0.000000,0.000000,events/second
1588648304,31652,100.565882,0.000000,0.000000,0.000000,events/second
1588648307,31652,99.616720,0.000000,0.000000,0.000000,events/second
1588648310,31652,98.684702,0.000000,0.000000,0.000000,events/second
1588648313,31652,97.769968,0.000000,0.000000,0.000000,events/second
1588648316,31652,96.872546,0.000000,0.000000,0.000000,events/second
1588648319,31652,95.991818,0.000000,0.000000,0.000000,events/second
1588648322,31652,95.126457,0.000000,0.000000,0.000000,events/second
1588648325,31652,94.275402,0.000000,0.000000,0.000000,events/second
1588648328,31652,93.440711,0.000000,0.000000,0.000000,events/second
1588648331,31652,92.620166,0.000000,0.000000,0.000000,events/second
1588648334,31652,91.814450,0.000000,0.000000,0.000000,events/second
1588648337,31652,91.022880,0.000000,0.000000,0.000000,events/second
1588648340,31652,90.244395,0.000000,0.000000,0.000000,events/second
1588648343,31652,89.478775,0.000000,0.000000,0.000000,events/second
1588648346,31652,88.726645,0.000000,0.000000,0.000000,events/second
1588648349,31652,87.986009,0.000000,0.000000,0.000000,events/second
