t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1588647995,126,21.777183,0.000000,0.000000,0.000000,events/second
1588647998,137,15.657218,0.000000,0.000000,0.000000,events/second
1588648001,139,11.838700,0.000000,0.000000,0.000000,events/second
1588648004,139,9.428239,0.000000,0.000000,0.000000,events/second
1588648007,139,7.835001,0.000000,0.000000,0.000000,events/second
1588648010,139,6.701654,0.000000,0.000000,0.000000,events/second
1588648013,139,5.853868,0.000000,0.000000,0.000000,events/second
1588648016,140,5.235880,0.000000,0.000000,0.000000,events/second
1588648019,143,4.807664,0.000000,0.000000,0.000000,events/second
1588648022,143,4.367885,0.000000,0.000000,0.000000,events/second
1588648025,143,4.000901,0.000000,0.000000,0.000000,events/second
1588648028,143,3.691116,0.000000,0.000000,0.000000,events/second
1588648031,143,3.425765,0.000000,0.000000,0.000000,events/second
1588648034,143,3.196204,0.000000,0.000000,0.000000,events/second
1588648037,145,3.037222,0.000000,0.000000,0.000000,events/second
1588648040,145,2.857398,0.000000,0.000000,0.000000,events/second
1588648043,145,2.698035,0.000000,0.000000,0.000000,events/second
1588648046,145,2.555566,0.000000,0.000000,0.000000,events/second
1588648049,145,2.426938,0.000000,0.000000,0.000000,events/second
1588648052,145,2.311031,0.000000,0.000000,0.000000,events/second
1588648055,145,2.205559,0.000000,0.000000,0.000000,events/second
1588648058,147,2.138461,0.000000,0.000000,0.000000,events/second
1588648061,147,2.048992,0.000000,0.000000,0.000000,events/second
1588648064,147,1.966785,0.000000,0.000000,0.000000,events/second
1588648067,147,1.890937,0.000000,0.000000,0.000000,events/second
1588648070,147,1.820621,0.000000,0.000000,0.000000,events/second
1588648073,147,1.755463,0.000000,0.000000,0.000000,events/second
1588648076,148,1.706252,0.000000,0.000000,0.000000,events/second
1588648079,149,1.660319,0.000000,0.000000,0.000000,events/second
1588648082,149,1.606619,0.000000,0.000000,0.000000,events/second
1588648085,149,1.556340,0.000000,0.000000,0.000000,events/second
1588648088,149,1.508967,0.000000,0.000000,0.000000,events/second
1588648091,149,1.464495,0.000000,0.000000,0.000000,events/second
1588648094,149,1.422601,0.000000,0.000000,0.000000,events/second
1588648097,151,1.401547,0.000000,0.000000,0.000000,events/second
1588648100,151,1.363565,0.000000,0.000000,0.000000,events/second
1588648103,151,1.327596,0.000000,0.000000,0.000000,events/second
1588648106,151,1.293477,0.000000,0.000000,0.000000,events/second
1588648109,151,1.261097,0.000000,0.000000,0.000000,events/second
1588648112,151,1.230227,0.000000,0.000000,0.000000,events/second
1588648115,151,1.200872,0.000000,0.000000,0.000000,events/second
1588648118,153,1.188443,0.000000,0.000000,0.000000,events/second
1588648121,153,1.161349,0.000000,0.000000,0.000000,events/second
1588648124,153,1.135529,0.000000,0.000000,0.000000,events/second
1588648127,153,1.110782,0.000000,0.000000,0.000000,events/second
1588648130,153,1.087106,0.000000,0.000000,0.000000,events/second
1588648133,153,1.064433,0.000000,0.000000,0.000000,events/second
1588648136,154,1.049465,0.000000,0.000000,0.000000,events/second
1588648139,155,1.035110,0.000000,0.000000,0.000000,events/second
1588648142,155,1.014811,0.000000,0.000000,0.000000,events/second
1588648145,155,0.995248,0.000000,0.000000,0.000000,events/second
1588648148,155,0.976443,0.000000,0.000000,0.000000,events/second
1588648151,155,0.958330,0.000000,0.000000,0.000000,events/second
1588648154,155,0.940879,0.000000,0.000000,0.000000,events/second
1588648157,157,0.935955,0.000000,0.000000,0.000000,events/second
1588648160,157,0.919528,0.000000,0.000000,0.000000,events/second
1588648163,157,0.903635,0.000000,0.000000,0.000000,events/second
1588648166,157,0.888317,0.000000,0.000000,0.000000,events/second
1588648169,157,0.873472,0.000000,0.000000,0.000000,events/second
1588648172,157,0.859157,0.000000,0.000000,0.000000,events/second
1588648175,157,0.845273,0.000000,0.000000,0.000000,events/second
1588648178,159,0.842433,0.000000,0.000000,0.000000,events/second
1588648181,159,0.829262,0.000000,0.000000,0.000000,events/second
1588648184,159,0.816470,0.000000,0.000000,0.000000,events/second
1588648187,159,0.804081,0.000000,0.000000,0.000000,events/second
1588648190,159,0.792066,0.000000,0.000000,0.000000,events/second
1588648193,159,0.780409,0.000000,0.000000,0.000000,events/second
1588648196,160,0.773911,0.000000,0.000000,0.000000,events/second
1588648199,161,0.767617,0.000000,0.000000,0.000000,events/second
1588648202,161,0.756786,0.000000,0.000000,0.000000,events/second
1588648205,161,0.746261,0.000000,0.000000,0.000000,events/second
1588648208,161,0.736027,0.000000,0.000000,0.000000,events/second
1588648211,161,0.726068,0.000000,0.000000,0.000000,events/second
1588648214,161,0.716387,0.000000,0.000000,0.000000,events/second
1588648217,163,0.715719,0.000000,0.000000,0.000000,events/second
1588648220,163,0.706425,0.000000,0.000000,0.000000,events/second
1588648223,163,0.697357,0.000000,0.000000,0.000000,events/second
1588648226,163,0.688515,0.000000,0.000000,0.000000,events/second
1588648229,163,0.679906,0.000000,0.000000,0.000000,events/second
1588648232,163,0.671499,0.000000,0.000000,0.000000,events/second
1588648235,163,0.663298,0.000000,0.000000,0.000000,events/second
1588648238,165,0.663340,0.000000,0.000000,0.000000,events/second
1588648241,165,0.655448,0.000000,0.000000,0.000000,events/second
1588648244,165,0.647713,0.000000,0.000000,0.000000,events/second
1588648247,165,0.640178,0.000000,0.000000,0.000000,events/second
1588648250,165,0.632819,0.000000,0.000000,0.000000,events/second
1588648253,165,0.625625,0.000000,0.000000,0.000000,events/second
1588648256,166,0.622328,0.000000,0.000000,0.000000,events/second
1588648259,167,0.619118,0.000000,0.000000,0.000000,events/second
1588648262,167,0.612312,0.000000,0.000000,0.000000,events/second
1588648265,167,0.605647,0.000000,0.000000,0.000000,events/second
1588648268,167,0.599126,0.000000,0.000000,0.000000,events/second
1588648271,167,0.592746,0.000000,0.000000,0.000000,events/second
1588648274,167,0.586496,0.000000,0.000000,0.000000,events/second
1588648277,169,0.587333,0.000000,0.000000,0.000000,events/second
1588648280,169,0.581269,0.000000,0.000000,0.000000,events/second
1588648283,169,0.575333,0.000000,0.000000,0.000000,events/second
1588648286,169,0.569520,0.000000,0.000000,0.000000,events/second
1588648289,169,0.563819,0.000000,0.000000,0.000000,events/second
1588648292,169,0.558229,0.000000,0.000000,0.000000,events/second
1588648295,169,0.552763,0.000000,0.000000,0.000000,events/second
1588648298,171,0.553860,0.000000,0.000000,0.000000,events/second
1588648301,171,0.548537,0.000000,0.000000,0.000000,events/second
1588648304,171,0.543304,0.000000,0.000000,0.000000,events/second
1588648307,171,0.538176,0.000000,0.000000,0.000000,events/second
1588648310,171,0.533141,0.000000,0.000000,0.000000,events/second
1588648313,171,0.528199,0.000000,0.000000,0.000000,events/second
1588648316,172,0.526412,0.000000,0.000000,0.000000,events/second
1588648319,173,0.524658,0.000000,0.000000,0.000000,events/second
1588648322,173,0.519929,0.000000,0.000000,0.000000,events/second
1588648325,173,0.515277,0.000000,0.000000,0.000000,events/second
1588648328,173,0.510715,0.000000,0.000000,0.000000,events/second
1588648331,173,0.506230,0.000000,0.000000,0.000000,events/second
1588648334,173,0.501826,0.000000,0.000000,0.000000,events/second
1588648337,175,0.503251,0.000000,0.000000,0.000000,events/second
1588648340,175,0.498947,0.000000,0.000000,0.000000,events/second
1588648343,175,0.494714,0.000000,0.000000,0.000000,events/second
1588648346,175,0.490556,0.000000,0.000000,0.000000,events/second
1588648349,175,0.486461,0.000000,0.000000,0.000000,events/second
1588648352,175,0.482438,0.000000,0.000000,0.000000,events/second
1588648355,175,0.478479,0.000000,0.000000,0.000000,events/second
1588648358,177,0.480013,0.000000,0.000000,0.000000,events/second
1588648361,177,0.476136,0.000000,0.000000,0.000000,events/second
1588648364,177,0.472326,0.000000,0.000000,0.000000,events/second
1588648367,177,0.468578,0.000000,0.000000,0.000000,events/second
1588648370,177,0.464885,0.000000,0.000000,0.000000,events/second
1588648373,177,0.461249,0.000000,0.000000,0.000000,events/second
1588648376,177,0.457671,0.000000,0.000000,0.000000,events/second
1588648379,179,0.459284,0.000000,0.000000,0.000000,events/second
1588648382,179,0.455774,0.000000,0.000000,0.000000,events/second
1588648385,179,0.452318,0.000000,0.000000,0.000000,events/second
1588648388,179,0.448914,0.000000,0.000000,0.000000,events/second
1588648391,179,0.445561,0.000000,0.000000,0.000000,events/second
1588648394,179,0.442261,0.000000,0.000000,0.000000,events/second
1588648397,181,0.443908,0.000000,0.000000,0.000000,events/second
1588648400,181,0.440668,0.000000,0.000000,0.000000,events/second
1588648403,181,0.437473,0.000000,0.000000,0.000000,events/second
1588648406,181,0.434324,0.000000,0.000000,0.000000,events/second
1588648409,181,0.431220,0.000000,0.000000,0.000000,events/second
1588648412,181,0.428160,0.000000,0.000000,0.000000,events/second
1588648415,181,0.425146,0.000000,0.000000,0.000000,events/second
1588648418,183,0.426834,0.000000,0.000000,0.000000,events/second
1588648421,183,0.423867,0.000000,0.000000,0.000000,events/second
1588648424,183,0.420943,0.000000,0.000000,0.000000,events/second
1588648427,183,0.418056,0.000000,0.000000,0.000000,events/second
1588648430,183,0.415213,0.000000,0.000000,0.000000,events/second
1588648433,183,0.412405,0.000000,0.000000,0.000000,events/second
1588648436,183,0.409632,0.000000,0.000000,0.000000,events/second
1588648439,185,0.411349,0.000000,0.000000,0.000000,events/second
1588648442,185,0.408624,0.000000,0.000000,0.000000,events/second
1588648445,185,0.405931,0.000000,0.000000,0.000000,events/second
1588648448,185,0.403280,0.000000,0.000000,0.000000,events/second
1588648451,185,0.400661,0.000000,0.000000,0.000000,events/second
1588648454,185,0.398076,0.000000,0.000000,0.000000,events/second
1588648457,187,0.399798,0.000000,0.000000,0.000000,events/second
1588648460,187,0.397248,0.000000,0.000000,0.000000,events/second
1588648463,187,0.394732,0.000000,0.000000,0.000000,events/second
1588648466,187,0.392246,0.000000,0.000000,0.000000,events/second
1588648469,187,0.389794,0.000000,0.000000,0.000000,events/second
1588648472,187,0.387374,0.000000,0.000000,0.000000,events/second
1588648475,187,0.384978,0.000000,0.000000,0.000000,events/second
1588648478,189,0.386706,0.000000,0.000000,0.000000,events/second
1588648481,189,0.384351,0.000000,0.000000,0.000000,events/second
1588648484,189,0.382018,0.000000,0.000000,0.000000,events/second
1588648487,189,0.379718,0.000000,0.000000,0.000000,events/second
1588648490,189,0.377440,0.000000,0.000000,0.000000,events/second
1588648493,189,0.375195,0.000000,0.000000,0.000000,events/second
1588648496,189,0.372974,0.000000,0.000000,0.000000,events/second
1588648499,191,0.374700,0.000000,0.000000,0.000000,events/second
1588648502,191,0.372509,0.000000,0.000000,0.000000,events/second
1588648505,191,0.370341,0.000000,0.000000,0.000000,events/second
1588648508,191,0.368199,0.000000,0.000000,0.000000,events/second
1588648511,191,0.366084,0.000000,0.000000,0.000000,events/second
1588648514,191,0.363989,0.000000,0.000000,0.000000,events/second
1588648517,193,0.365709,0.000000,0.000000,0.000000,events/second
1588648520,193,0.363643,0.000000,0.000000,0.000000,events/second
1588648523,193,0.361598,0.000000,0.000000,0.000000,events/second
1588648526,193,0.359580,0.000000,0.000000,0.000000,events/second
1588648529,193,0.357580,0.000000,0.000000,0.000000,events/second
1588648532,193,0.355601,0.000000,0.000000,0.000000,events/second
1588648535,193,0.353648,0.000000,0.000000,0.000000,events/second
1588648538,195,0.355361,0.000000,0.000000,0.000000,events/second
1588648541,195,0.353427,0.000000,0.000000,0.000000,events/second
1588648544,195,0.351515,0.000000,0.000000,0.000000,events/second
1588648547,195,0.349626,0.000000,0.000000,0.000000,events/second
1588648550,195,0.347753,0.000000,0.000000,0.000000,events/second
1588648553,195,0.345903,0.000000,0.000000,0.000000,events/second
1588648556,195,0.344072,0.000000,0.000000,0.000000,events/second
1588648559,197,0.345772,0.000000,0.000000,0.000000,events/second
1588648562,197,0.343961,0.000000,0.000000,0.000000,events/second
1588648565,197,0.342167,0.000000,0.000000,0.000000,events/second
1588648568,197,0.340395,0.000000,0.000000,0.000000,events/second
1588648571,197,0.338638,0.000000,0.000000,0.000000,events/second
1588648574,197,0.336903,0.000000,0.000000,0.000000,events/second
1588648577,199,0.338584,0.000000,0.000000,0.000000,events/second
1588648580,199,0.336867,0.000000,0.000000,0.000000,events/second
1588648583,199,0.335162,0.000000,0.000000,0.000000,events/second
1588648586,199,0.333478,0.000000,0.000000,0.000000,events/second
1588648589,199,0.331810,0.000000,0.000000,0.000000,events/second
1588648592,199,0.330158,0.000000,0.000000,0.000000,events/second
1588648595,199,0.328523,0.000000,0.000000,0.000000,events/second
1588648598,202,0.331832,0.000000,0.000000,0.000000,events/second
1588648601,202,0.330204,0.000000,0.000000,0.000000,events/second
1588648604,202,0.328595,0.000000,0.000000,0.000000,events/second
1588648607,202,0.326997,0.000000,0.000000,0.000000,events/second
1588648610,202,0.325418,0.000000,0.000000,0.000000,events/second
1588648613,202,0.323852,0.000000,0.000000,0.000000,events/second
1588648616,202,0.322302,0.000000,0.000000,0.000000,events/second
1588648619,204,0.323942,0.000000,0.000000,0.000000,events/second
1588648622,204,0.322406,0.000000,0.000000,0.000000,events/second
1588648625,204,0.320885,0.000000,0.000000,0.000000,events/second
1588648628,204,0.319380,0.000000,0.000000,0.000000,events/second
1588648631,206,0.321003,0.000000,0.000000,0.000000,events/second
1588648634,206,0.319507,0.000000,0.000000,0.000000,events/second
1588648637,208,0.321117,0.000000,0.000000,0.000000,events/second
1588648640,208,0.319636,0.000000,0.000000,0.000000,events/second
1588648643,208,0.318169,0.000000,0.000000,0.000000,events/second
1588648646,208,0.316717,0.000000,0.000000,0.000000,events/second
