t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1588647995,87,15.035602,0.000000,0.000000,0.000000,events/second
1588647998,98,11.200058,0.000000,0.000000,0.000000,events/second
1588648001,100,8.517073,0.000000,0.000000,0.000000,events/second
1588648004,100,6.782906,0.000000,0.000000,0.000000,events/second
1588648007,100,5.636704,0.000000,0.000000,0.000000,events/second
1588648010,100,4.821343,0.000000,0.000000,0.000000,events/second
1588648013,100,4.211424,0.000000,0.000000,0.000000,events/second
1588648016,101,3.777322,0.000000,0.000000,0.000000,events/second
1588648019,104,3.496490,0.000000,0.000000,0.000000,events/second
1588648022,104,3.176651,0.000000,0.000000,0.000000,events/second
1588648025,104,2.909751,0.000000,0.000000,0.000000,events/second
1588648028,104,2.684453,0.000000,0.000000,0.000000,events/second
1588648031,104,2.491469,0.000000,0.000000,0.000000,events/second
1588648034,104,2.324516,0.000000,0.000000,0.000000,events/second
1588648037,106,2.220317,0.000000,0.000000,0.000000,events/second
1588648040,106,2.088858,0.000000,0.000000,0.000000,events/second
1588648043,106,1.972359,0.000000,0.000000,0.000000,events/second
1588648046,106,1.868209,0.000000,0.000000,0.000000,events/second
1588648049,106,1.774177,0.000000,0.000000,0.000000,events/second
1588648052,106,1.689445,0.000000,0.000000,0.000000,events/second
1588648055,106,1.612341,0.000000,0.000000,0.000000,events/second
1588648058,108,1.571116,0.000000,0.000000,0.000000,events/second
1588648061,108,1.505383,0.000000,0.000000,0.000000,events/second
1588648064,108,1.444986,0.000000,0.000000,0.000000,events/second
1588648067,108,1.389262,0.000000,0.000000,0.000000,events/second
1588648070,108,1.337600,0.000000,0.000000,0.000000,events/second
1588648073,108,1.289729,0.000000,0.000000,0.000000,events/second
1588648076,109,1.256632,0.000000,0.000000,0.000000,events/second
1588648079,110,1.225740,0.000000,0.000000,0.000000,events/second
1588648082,110,1.186096,0.000000,0.000000,0.000000,events/second
1588648085,110,1.148976,0.000000,0.000000,0.000000,events/second
1588648088,110,1.114003,0.000000,0.000000,0.000000,events/second
1588648091,110,1.081171,0.000000,0.000000,0.000000,events/second
1588648094,110,1.050243,0.000000,0.000000,0.000000,events/second
1588648097,112,1.039559,0.000000,0.000000,0.000000,events/second
1588648100,112,1.011387,0.000000,0.000000,0.000000,events/second
1588648103,112,0.984708,0.000000,0.000000,0.000000,events/second
1588648106,112,0.959400,0.000000,0.000000,0.000000,events/second
1588648109,112,0.935384,0.000000,0.000000,0.000000,events/second
