t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1588647995,39,6.739639,0.000000,0.000000,0.000000,events/second
1588647998,39,4.457165,0.000000,0.000000,0.000000,events/second
1588648001,39,3.321668,0.000000,0.000000,0.000000,events/second
1588648004,39,2.645335,0.000000,0.000000,0.000000,events/second
1588648007,39,2.198320,0.000000,0.000000,0.000000,events/second
1588648010,39,1.880328,0.000000,0.000000,0.000000,events/second
1588648013,39,1.642459,0.000000,0.000000,0.000000,events/second
1588648016,39,1.458573,0.000000,0.000000,0.000000,events/second
1588648019,39,1.311186,0.000000,0.000000,0.000000,events/second
1588648022,39,1.191247,0.000000,0.000000,0.000000,events/second
1588648025,39,1.091158,0.000000,0.000000,0.000000,events/second
1588648028,39,1.006671,0.000000,0.000000,0.000000,events/second
1588648031,39,0.934302,0.000000,0.000000,0.000000,events/second
1588648034,39,0.871695,0.000000,0.000000,0.000000,events/second
1588648037,39,0.816910,0.000000,0.000000,0.000000,events/second
1588648040,39,0.768542,0.000000,0.000000,0.000000,events/second
1588648043,39,0.725680,0.000000,0.000000,0.000000,events/second
1588648046,39,0.687361,0.000000,0.000000,0.000000,events/second
1588648049,39,0.652764,0.000000,0.000000,0.000000,events/second
1588648052,39,0.621589,0.000000,0.000000,0.000000,events/second
1588648055,39,0.593220,0.000000,0.000000,0.000000,events/second
1588648058,39,0.567348,0.000000,0.000000,0.000000,events/second
1588648061,39,0.543611,0.000000,0.000000,0.000000,events/second
1588648064,39,0.521801,0.000000,0.000000,0.000000,events/second
1588648067,39,0.501678,0.000000,0.000000,0.000000,events/second
1588648070,39,0.483023,0.000000,0.000000,0.000000,events/second
1588648073,39,0.465736,0.000000,0.000000,0.000000,events/second
1588648076,39,0.449621,0.000000,0.000000,0.000000,events/second
1588648079,39,0.434581,0.000000,0.000000,0.000000,events/second
1588648082,39,0.420525,0.000000,0.000000,0.000000,events/second
1588648085,39,0.407365,0.000000,0.000000,0.000000,events/second
1588648088,39,0.394965,0.000000,0.000000,0.000000,events/second
1588648091,39,0.383325,0.000000,0.000000,0.000000,events/second
1588648094,39,0.372359,0.000000,0.000000,0.000000,events/second
1588648097,39,0.361989,0.000000,0.000000,0.000000,events/second
1588648100,39,0.352179,0.000000,0.000000,0.000000,events/second
1588648103,39,0.342889,0.000000,0.000000,0.000000,events/second
1588648106,39,0.334077,0.000000,0.000000,0.000000,events/second
1588648109,39,0.325714,0.000000,0.000000,0.000000,events/second
1588648112,39,0.317741,0.000000,0.000000,0.000000,events/second
1588648115,39,0.310159,0.000000,0.000000,0.000000,events/second
1588648118,39,0.302937,0.000000,0.000000,0.000000,events/second
1588648121,39,0.296030,0.000000,0.000000,0.000000,events/second
1588648124,39,0.289449,0.000000,0.000000,0.000000,events/second
1588648127,39,0.283141,0.000000,0.000000,0.000000,events/second
1588648130,39,0.277105,0.000000,0.000000,0.000000,events/second
1588648133,39,0.271326,0.000000,0.000000,0.000000,events/second
1588648136,39,0.265774,0.000000,0.000000,0.000000,events/second
1588648139,39,0.260447,0.000000,0.000000,0.000000,events/second
1588648142,39,0.255340,0.000000,0.000000,0.000000,events/second
1588648145,39,0.250417,0.000000,0.000000,0.000000,events/second
1588648148,39,0.245686,0.000000,0.000000,0.000000,events/second
1588648151,39,0.241128,0.000000,0.000000,0.000000,events/second
1588648154,39,0.236737,0.000000,0.000000,0.000000,events/second
