t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1588647995,40,6.912839,0.000000,0.000000,0.000000,events/second
1588647998,40,4.571839,0.000000,0.000000,0.000000,events/second
1588648001,40,3.407064,0.000000,0.000000,0.000000,events/second
1588648004,40,2.713307,0.000000,0.000000,0.000000,events/second
1588648007,40,2.254788,0.000000,0.000000,0.000000,events/second
1588648010,40,1.928612,0.000000,0.000000,0.000000,events/second
1588648013,40,1.684629,0.000000,0.000000,0.000000,events/second
1588648016,40,1.496018,0.000000,0.000000,0.000000,events/second
1588648019,40,1.344843,0.000000,0.000000,0.000000,events/second
1588648022,40,1.221822,0.000000,0.000000,0.000000,events/second
1588648025,40,1.119161,0.000000,0.000000,0.000000,events/second
1588648028,40,1.032505,0.000000,0.000000,0.000000,events/second
1588648031,40,0.958277,0.000000,0.000000,0.000000,events/second
1588648034,40,0.894062,0.000000,0.000000,0.000000,events/second
1588648037,40,0.837870,0.000000,0.000000,0.000000,events/second
1588648040,40,0.788260,0.000000,0.000000,0.000000,events/second
1588648043,40,0.744298,0.000000,0.000000,0.000000,events/second
1588648046,40,0.704995,0.000000,0.000000,0.000000,events/second
1588648049,40,0.669511,0.000000,0.000000,0.000000,events/second
1588648052,40,0.637535,0.000000,0.000000,0.000000,events/second
1588648055,40,0.608439,0.000000,0.000000,0.000000,events/second
1588648058,40,0.581902,0.000000,0.000000,0.000000,events/second
1588648061,40,0.557555,0.000000,0.000000,0.000000,events/second
1588648064,40,0.535186,0.000000,0.000000,0.000000,events/second
1588648067,40,0.514547,0.000000,0.000000,0.000000,events/second
1588648070,40,0.495413,0.000000,0.000000,0.000000,events/second
1588648073,40,0.477682,0.000000,0.000000,0.000000,events/second
1588648076,40,0.461154,0.000000,0.000000,0.000000,events/second
1588648079,40,0.445728,0.000000,0.000000,0.000000,events/second
1588648082,40,0.431311,0.000000,0.000000,0.000000,events/second
1588648085,40,0.417813,0.000000,0.000000,0.000000,events/second
1588648088,40,0.405096,0.000000,0.000000,0.000000,events/second
1588648091,40,0.393157,0.000000,0.000000,0.000000,events/second
1588648094,40,0.381910,0.000000,0.000000,0.000000,events/second
1588648097,40,0.371274,0.000000,0.000000,0.000000,events/second
1588648100,40,0.361212,0.000000,0.000000,0.000000,events/second
1588648103,40,0.351684,0.000000,0.000000,0.000000,events/second
1588648106,40,0.342646,0.000000,0.000000,0.000000,events/second
1588648109,40,0.334068,0.000000,0.000000,0.000000,events/second
1588648112,40,0.325890,0.000000,0.000000,0.000000,events/second
1588648115,40,0.318114,0.000000,0.000000,0.000000,events/second
1588648118,40,0.310706,0.000000,0.000000,0.000000,events/second
1588648121,40,0.303623,0.000000,0.000000,0.000000,events/second
1588648124,40,0.296872,0.000000,0.000000,0.000000,events/second
1588648127,40,0.290402,0.000000,0.000000,0.000000,events/second
1588648130,40,0.284212,0.000000,0.000000,0.000000,events/second
1588648133,40,0.278285,0.000000,0.000000,0.000000,events/second
1588648136,40,0.272590,0.000000,0.000000,0.000000,events/second
1588648139,40,0.267127,0.000000,0.000000,0.000000,events/second
1588648142,40,0.261888,0.000000,0.000000,0.000000,events/second
1588648145,40,0.256840,0.000000,0.000000,0.000000,events/second
1588648148,40,0.251987,0.000000,0.000000,0.000000,events/second
1588648151,40,0.247312,0.000000,0.000000,0.000000,events/second
1588648154,40,0.242809,0.000000,0.000000,0.000000,events/second
1588648157,40,0.238461,0.000000,0.000000,0.000000,events/second
1588648160,40,0.234276,0.000000,0.000000,0.000000,events/second
1588648163,40,0.230227,0.000000,0.000000,0.000000,events/second
1588648166,40,0.226324,0.000000,0.000000,0.000000,events/second
1588648169,40,0.222542,0.000000,0.000000,0.000000,events/second
1588648172,40,0.218895,0.000000,0.000000,0.000000,events/second
1588648175,40,0.215357,0.000000,0.000000,0.000000,events/second
1588648178,40,0.211934,0.000000,0.000000,0.000000,events/second
1588648181,40,0.208620,0.000000,0.000000,0.000000,events/second
1588648184,40,0.205402,0.000000,0.000000,0.000000,events/second
1588648187,40,0.202286,0.000000,0.000000,0.000000,events/second
1588648190,40,0.199263,0.000000,0.000000,0.000000,events/second
1588648193,40,0.196330,0.000000,0.000000,0.000000,events/second
1588648196,40,0.193479,0.000000,0.000000,0.000000,events/second
1588648199,40,0.190713,0.000000,0.000000,0.000000,events/second
1588648202,40,0.188022,0.000000,0.000000,0.000000,events/second
1588648205,40,0.185407,0.000000,0.000000,0.000000,events/second
1588648208,40,0.182865,0.000000,0.000000,0.000000,events/second
1588648211,40,0.180390,0.000000,0.000000,0.000000,events/second
1588648214,40,0.177985,0.000000,0.000000,0.000000,events/second
1588648217,40,0.175637,0.000000,0.000000,0.000000,events/second
1588648220,40,0.173357,0.000000,0.000000,0.000000,events/second
1588648223,40,0.171131,0.000000,0.000000,0.000000,events/second
1588648226,40,0.168961,0.000000,0.000000,0.000000,events/second
1588648229,40,0.166849,0.000000,0.000000,0.000000,events/second
1588648232,40,0.164786,0.000000,0.000000,0.000000,events/second
1588648235,40,0.162773,0.000000,0.000000,0.000000,events/second
1588648238,40,0.160810,0.000000,0.000000,0.000000,events/second
1588648241,40,0.158897,0.000000,0.000000,0.000000,events/second
1588648244,40,0.157022,0.000000,0.000000,0.000000,events/second
1588648247,40,0.155195,0.000000,0.000000,0.000000,events/second
1588648250,40,0.153411,0.000000,0.000000,0.000000,events/second
1588648253,40,0.151667,0.000000,0.000000,0.000000,events/second
1588648256,40,0.149959,0.000000,0.000000,0.000000,events/second
1588648259,40,0.148292,0.000000,0.000000,0.000000,events/second
1588648262,40,0.146662,0.000000,0.000000,0.000000,events/second
1588648265,40,0.145066,0.000000,0.000000,0.000000,events/second
1588648268,40,0.143504,0.000000,0.000000,0.000000,events/second
1588648271,40,0.141975,0.000000,0.000000,0.000000,events/second
1588648274,40,0.140479,0.000000,0.000000,0.000000,events/second
1588648277,40,0.139014,0.000000,0.000000,0.000000,events/second
1588648280,40,0.137579,0.000000,0.000000,0.000000,events/second
1588648283,40,0.136174,0.000000,0.000000,0.000000,events/second
1588648286,40,0.134798,0.000000,0.000000,0.000000,events/second
1588648289,40,0.133449,0.000000,0.000000,0.000000,events/second
1588648292,40,0.132126,0.000000,0.000000,0.000000,events/second
1588648295,40,0.130832,0.000000,0.000000,0.000000,events/second
1588648298,40,0.129558,0.000000,0.000000,0.000000,events/second
1588648301,40,0.128313,0.000000,0.000000,0.000000,events/second
1588648304,40,0.127089,0.000000,0.000000,0.000000,events/second
1588648307,40,0.125890,0.000000,0.000000,0.000000,events/second
1588648310,40,0.124712,0.000000,0.000000,0.000000,events/second
1588648313,40,0.123556,0.000000,0.000000,0.000000,events/second
1588648316,40,0.122422,0.000000,0.000000,0.000000,events/second
1588648319,40,0.121309,0.000000,0.000000,0.000000,events/second
1588648322,40,0.120215,0.000000,0.000000,0.000000,events/second
1588648325,40,0.119140,0.000000,0.000000,0.000000,events/second
1588648328,40,0.118085,0.000000,0.000000,0.000000,events/second
1588648331,40,0.117048,0.000000,0.000000,0.000000,events/second
1588648334,40,0.116030,0.000000,0.000000,0.000000,events/second
1588648337,40,0.115029,0.000000,0.000000,0.000000,events/second
1588648340,40,0.114045,0.000000,0.000000,0.000000,events/second
1588648343,40,0.113078,0.000000,0.000000,0.000000,events/second
1588648346,40,0.112127,0.000000,0.000000,0.000000,events/second
1588648349,40,0.111191,0.000000,0.000000,0.000000,events/second
1588648352,40,0.110272,0.000000,0.000000,0.000000,events/second
1588648355,40,0.109367,0.000000,0.000000,0.000000,events/second
1588648358,40,0.108478,0.000000,0.000000,0.000000,events/second
1588648361,40,0.107602,0.000000,0.000000,0.000000,events/second
1588648364,40,0.106741,0.000000,0.000000,0.000000,events/second
