t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1588647995,2,0.345465,0.000000,0.000000,0.000000,events/second
1588647998,2,0.228537,0.000000,0.000000,0.000000,events/second
1588648001,2,0.170324,0.000000,0.000000,0.000000,events/second
1588648004,2,0.135647,0.000000,0.000000,0.000000,events/second
1588648007,2,0.112727,0.000000,0.000000,0.000000,events/second
1588648010,2,0.096421,0.000000,0.000000,0.000000,events/second
1588648013,2,0.084225,0.000000,0.000000,0.000000,events/second
1588648016,2,0.074796,0.000000,0.000000,0.000000,events/second
1588648019,2,0.067238,0.000000,0.000000,0.000000,events/second
1588648022,2,0.061087,0.000000,0.000000,0.000000,events/second
1588648025,2,0.055955,0.000000,0.000000,0.000000,events/second
1588648028,2,0.051623,0.000000,0.000000,0.000000,events/second
1588648031,2,0.047912,0.000000,0.000000,0.000000,events/second
1588648034,2,0.044701,0.000000,0.000000,0.000000,events/second
1588648037,2,0.041892,0.000000,0.000000,0.000000,events/second
1588648040,2,0.039411,0.000000,0.000000,0.000000,events/second
1588648043,2,0.037214,0.000000,0.000000,0.000000,events/second
1588648046,2,0.035249,0.000000,0.000000,0.000000,events/second
1588648049,2,0.033474,0.000000,0.000000,0.000000,events/second
1588648052,2,0.031876,0.000000,0.000000,0.000000,events/second
1588648055,2,0.030421,0.000000,0.000000,0.000000,events/second
1588648058,2,0.029094,0.000000,0.000000,0.000000,events/second
1588648061,2,0.027877,0.000000,0.000000,0.000000,events/second
1588648064,2,0.026759,0.000000,0.000000,0.000000,events/second
1588648067,2,0.025727,0.000000,0.000000,0.000000,events/second
1588648070,2,0.024770,0.000000,0.000000,0.000000,events/second
1588648073,2,0.023884,0.000000,0.000000,0.000000,events/second
1588648076,2,0.023057,0.000000,0.000000,0.000000,events/second
1588648079,2,0.022286,0.000000,0.000000,0.000000,events/second
1588648082,2,0.021565,0.000000,0.000000,0.000000,events/second
1588648085,2,0.020890,0.000000,0.000000,0.000000,events/second
1588648088,2,0.020254,0.000000,0.000000,0.000000,events/second
1588648091,2,0.019657,0.000000,0.000000,0.000000,events/second
1588648094,2,0.019095,0.000000,0.000000,0.000000,events/second
1588648097,2,0.018563,0.000000,0.000000,0.000000,events/second
1588648100,2,0.018060,0.000000,0.000000,0.000000,events/second
1588648103,2,0.017584,0.000000,0.000000,0.000000,events/second
1588648106,2,0.017132,0.000000,0.000000,0.000000,events/second
1588648109,2,0.016703,0.000000,0.000000,0.000000,events/second
1588648112,2,0.016294,0.000000,0.000000,0.000000,events/second
1588648115,2,0.015905,0.000000,0.000000,0.000000,events/second
