t,value
1588647995,526
1588647998,614
1588648001,614
1588648004,614
1588648007,614
1588648010,614
1588648013,614
1588648016,614
1588648019,614
1588648022,614
1588648025,614
1588648028,614
1588648031,614
1588648034,614
1588648037,614
1588648040,614
1588648043,614
1588648046,614
1588648049,614
1588648052,614
1588648055,614
1588648058,614
1588648061,614
1588648064,614
1588648067,614
1588648070,614
1588648073,614
1588648076,614
1588648079,614
1588648082,614
1588648085,614
1588648088,614
1588648091,614
1588648094,614
1588648097,614
1588648100,614
1588648103,614
1588648106,614
1588648109,614
1588648112,614
1588648115,614
1588648118,614
1588648121,614
1588648124,614
1588648127,614
1588648130,614
1588648133,614
1588648136,614
1588648139,614
1588648142,614
1588648145,614
1588648148,614
1588648151,614
1588648154,614
1588648157,614
1588648160,614
1588648163,614
1588648166,614
1588648169,614
1588648172,614
1588648175,614
1588648178,614
1588648181,614
1588648184,614
1588648187,614
1588648190,614
1588648193,614
1588648196,614
1588648199,614
1588648202,614
1588648205,614
1588648208,614
1588648211,614
1588648214,614
1588648217,614
1588648220,614
1588648223,614
1588648226,614
1588648229,614
1588648232,614
1588648235,614
1588648238,614
1588648241,614
1588648244,614
1588648247,614
1588648250,614
1588648253,614
1588648256,614
1588648259,614
1588648262,614
1588648265,614
1588648268,614
1588648271,614
1588648274,614
1588648277,614
1588648280,614
1588648283,614
1588648286,614
1588648289,614
1588648292,614
1588648295,614
1588648298,614
1588648301,614
1588648304,614
1588648307,614
1588648310,614
1588648313,614
1588648316,614
1588648319,614
1588648322,614
1588648325,614
1588648328,614
1588648331,614
1588648334,614
1588648337,614
1588648340,614
1588648343,614
1588648346,614
1588648349,614
1588648352,614
1588648355,614
1588648358,614
1588648361,614
1588648364,614
1588648367,614
1588648370,614
1588648373,614
1588648376,614
1588648379,614
1588648382,614
1588648385,614
1588648388,614
1588648391,614
1588648394,614
1588648397,614
1588648400,614
1588648403,614
1588648406,614
1588648409,614
1588648412,614
1588648415,614
1588648418,614
1588648421,614
1588648424,614
1588648427,614
1588648430,614
1588648433,614
1588648436,614
1588648439,614
1588648442,614
1588648445,614
1588648448,614
1588648451,614
1588648454,614
1588648457,614
1588648460,614
1588648463,614
1588648466,614
1588648469,614
1588648472,614
1588648475,614
1588648478,614
1588648481,614
1588648484,614
1588648487,614
1588648490,614
1588648493,614
1588648496,614
1588648499,614
1588648502,614
1588648505,614
1588648508,614
1588648511,614
1588648514,614
1588648517,614
1588648520,614
1588648523,614
1588648526,614
1588648529,614
1588648532,614
1588648535,614
1588648538,614
1588648541,614
1588648544,614
1588648547,614
1588648550,614
1588648553,614
1588648556,614
1588648559,614
1588648562,614
1588648565,614
1588648568,614
1588648571,614
1588648574,614
1588648577,614
1588648580,614
1588648583,614
1588648586,614
1588648589,614
1588648592,614
1588648595,614
1588648598,614
1588648601,614
1588648604,614
1588648607,614
1588648610,614
1588648613,614
1588648616,614
1588648619,614
1588648622,614
1588648625,614
1588648628,614
1588648631,614
1588648634,614
1588648637,614
1588648640,614
1588648643,614
1588648646,614
1588648649,614
1588648652,614
1588648655,614
1588648658,614
1588648661,614
1588648664,614
1588648667,614
1588648670,614
1588648673,614
1588648676,614
1588648679,614
1588648682,614
1588648685,614
1588648688,614
1588648691,614
1588648694,614
1588648697,614
1588648700,614
1588648703,614
1588648706,614
1588648709,614
1588648712,614
1588648715,614
1588648718,614
1588648721,614
1588648724,614
1588648727,614
1588648730,614
1588648733,614
1588648736,614
1588648739,614
1588648742,614
1588648745,614
1588648748,614
1588648751,614
1588648754,614
1588648757,614
1588648760,614
1588648763,614
1588648766,614
1588648769,614
1588648772,614
1588648775,614
1588648778,614
1588648781,614
1588648784,614
1588648787,614
1588648790,614
1588648793,614
1588648796,614
1588648799,614
1588648802,614
1588648805,614
1588648808,614
1588648811,614
1588648814,614
1588648817,614
1588648820,614
1588648823,614
1588648826,614
1588648829,614
1588648832,614
1588648835,614
1588648838,614
1588648841,614
1588648844,614
