t,value
1588647995,10240
1588647998,10240
1588648001,10240
1588648004,10240
1588648007,10240
1588648010,10240
1588648013,10240
1588648016,10240
1588648019,10240
1588648022,10240
1588648025,10240
1588648028,10240
1588648031,10240
1588648034,10240
1588648037,10240
1588648040,10240
1588648043,10240
1588648046,10240
1588648049,10240
1588648052,10240
1588648055,10240
1588648058,10240
1588648061,10240
1588648064,10240
1588648067,10240
1588648070,10240
1588648073,10240
1588648076,10240
1588648079,10240
1588648082,10240
1588648085,10240
1588648088,10240
1588648091,10240
1588648094,10240
1588648097,10240
1588648100,10240
1588648103,10240
1588648106,10240
1588648109,10240
1588648112,10240
1588648115,10240
1588648118,10240
1588648121,10240
1588648124,10240
1588648127,10240
1588648130,10240
1588648133,10240
1588648136,10240
1588648139,10240
1588648142,10240
1588648145,10240
1588648148,10240
1588648151,10240
1588648154,10240
1588648157,10240
1588648160,10240
1588648163,10240
1588648166,10240
1588648169,10240
1588648172,10240
1588648175,10240
1588648178,10240
1588648181,10240
1588648184,10240
1588648187,10240
1588648190,10240
1588648193,10240
1588648196,10240
1588648199,10240
1588648202,10240
1588648205,10240
1588648208,10240
1588648211,10240
1588648214,10240
1588648217,10240
1588648220,10240
1588648223,10240
1588648226,10240
1588648229,10240
1588648232,10240
1588648235,10240
1588648238,10240
1588648241,10240
1588648244,10240
1588648247,10240
1588648250,10240
1588648253,10240
1588648256,10240
1588648259,10240
1588648262,10240
1588648265,10240
1588648268,10240
1588648271,10240
1588648274,10240
1588648277,10240
1588648280,10240
1588648283,10240
1588648286,10240
1588648289,10240
1588648292,10240
1588648295,10240
1588648298,10240
1588648301,10240
1588648304,10240
1588648307,10240
1588648310,10240
1588648313,10240
1588648316,10240
1588648319,10240
1588648322,10240
1588648325,10240
1588648328,10240
1588648331,10240
1588648334,10240
1588648337,10240
1588648340,10240
1588648343,10240
1588648346,10240
1588648349,10240
1588648352,10240
1588648355,10240
1588648358,10240
1588648361,10240
1588648364,10240
1588648367,10240
1588648370,10240
1588648373,10240
1588648376,10240
1588648379,10240
1588648382,10240
1588648385,10240
1588648388,10240
1588648391,10240
1588648394,10240
1588648397,10240
1588648400,10240
1588648403,10240
1588648406,10240
1588648409,10240
1588648412,10240
1588648415,10240
1588648418,10240
1588648421,10240
1588648424,10240
1588648427,10240
1588648430,10240
1588648433,10240
1588648436,10240
1588648439,10240
1588648442,10240
1588648445,10240
1588648448,10240
1588648451,10240
1588648454,10240
1588648457,10240
1588648460,10240
1588648463,10240
1588648466,10240
1588648469,10240
1588648472,10240
1588648475,10240
1588648478,10240
1588648481,10240
1588648484,10240
1588648487,10240
1588648490,10240
1588648493,10240
1588648496,10240
1588648499,10240
1588648502,10240
1588648505,10240
1588648508,10240
1588648511,10240
1588648514,10240
1588648517,10240
1588648520,10240
1588648523,10240
1588648526,10240
1588648529,10240
1588648532,10240
1588648535,10240
1588648538,10240
1588648541,10240
1588648544,10240
1588648547,10240
1588648550,10240
1588648553,10240
1588648556,10240
1588648559,10240
1588648562,10240
1588648565,10240
1588648568,10240
1588648571,10240
1588648574,10240
1588648577,10240
1588648580,10240
1588648583,10240
1588648586,10240
1588648589,10240
1588648592,10240
1588648595,10240
1588648598,10240
1588648601,10240
1588648604,10240
1588648607,10240
1588648610,10240
1588648613,10240
1588648616,10240
1588648619,10240
1588648622,10240
1588648625,10240
