t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1588647995,9,2.950806,0.000000,0.000000,0.000000,events/second
1588647998,9,1.498194,0.000000,0.000000,0.000000,events/second
1588648001,9,1.000233,0.000000,0.000000,0.000000,events/second
1588648004,9,0.750016,0.000000,0.000000,0.000000,events/second
1588648007,9,0.600106,0.000000,0.000000,0.000000,events/second
1588648010,9,0.500060,0.000000,0.000000,0.000000,events/second
1588648013,9,0.428541,0.000000,0.000000,0.000000,events/second
1588648016,9,0.375079,0.000000,0.000000,0.000000,events/second
1588648019,9,0.333327,0.000000,0.000000,0.000000,events/second
1588648022,9,0.300048,0.000000,0.000000,0.000000,events/second
1588648025,9,0.272741,0.000000,0.000000,0.000000,events/second
1588648028,9,0.250014,0.000000,0.000000,0.000000,events/second
1588648031,9,0.230776,0.000000,0.000000,0.000000,events/second
1588648034,9,0.214302,0.000000,0.000000,0.000000,events/second
1588648037,9,0.200012,0.000000,0.000000,0.000000,events/second
1588648040,9,0.187491,0.000000,0.000000,0.000000,events/second
1588648043,9,0.176473,0.000000,0.000000,0.000000,events/second
1588648046,9,0.166680,0.000000,0.000000,0.000000,events/second
1588648049,9,0.157888,0.000000,0.000000,0.000000,events/second
1588648052,9,0.150003,0.000000,0.000000,0.000000,events/second
1588648055,9,0.142859,0.000000,0.000000,0.000000,events/second
1588648058,9,0.136369,0.000000,0.000000,0.000000,events/second
1588648061,9,0.130436,0.000000,0.000000,0.000000,events/second
1588648064,9,0.125004,0.000000,0.000000,0.000000,events/second
1588648067,9,0.120007,0.000000,0.000000,0.000000,events/second
1588648070,9,0.115387,0.000000,0.000000,0.000000,events/second
1588648073,9,0.111118,0.000000,0.000000,0.000000,events/second
1588648076,9,0.107148,0.000000,0.000000,0.000000,events/second
1588648079,9,0.103450,0.000000,0.000000,0.000000,events/second
1588648082,9,0.100003,0.000000,0.000000,0.000000,events/second
1588648085,9,0.096781,0.000000,0.000000,0.000000,events/second
1588648088,9,0.093751,0.000000,0.000000,0.000000,events/second
1588648091,9,0.090911,0.000000,0.000000,0.000000,events/second
1588648094,9,0.088240,0.000000,0.000000,0.000000,events/second
1588648097,9,0.085719,0.000000,0.000000,0.000000,events/second
1588648100,9,0.083337,0.000000,0.000000,0.000000,events/second
1588648103,9,0.081084,0.000000,0.000000,0.000000,events/second
1588648106,9,0.078950,0.000000,0.000000,0.000000,events/second
1588648109,9,0.076927,0.000000,0.000000,0.000000,events/second
1588648112,10,0.083335,0.000000,0.000000,0.000000,events/second
1588648115,10,0.081302,0.000000,0.000000,0.000000,events/second
1588648118,10,0.079368,0.000000,0.000000,0.000000,events/second
1588648121,10,0.077520,0.000000,0.000000,0.000000,events/second
1588648124,10,0.075760,0.000000,0.000000,0.000000,events/second
1588648127,10,0.074076,0.000000,0.000000,0.000000,events/second
1588648130,10,0.072465,0.000000,0.000000,0.000000,events/second
1588648133,10,0.070925,0.000000,0.000000,0.000000,events/second
1588648136,10,0.069445,0.000000,0.000000,0.000000,events/second
1588648139,10,0.068028,0.000000,0.000000,0.000000,events/second
1588648142,10,0.066669,0.000000,0.000000,0.000000,events/second
1588648145,10,0.065361,0.000000,0.000000,0.000000,events/second
1588648148,10,0.064104,0.000000,0.000000,0.000000,events/second
1588648151,10,0.062895,0.000000,0.000000,0.000000,events/second
1588648154,10,0.061730,0.000000,0.000000,0.000000,events/second
1588648157,10,0.060606,0.000000,0.000000,0.000000,events/second
1588648160,10,0.059525,0.000000,0.000000,0.000000,events/second
1588648163,10,0.058480,0.000000,0.000000,0.000000,events/second
1588648166,10,0.057473,0.000000,0.000000,0.000000,events/second
1588648169,10,0.056498,0.000000,0.000000,0.000000,events/second
1588648172,10,0.055558,0.000000,0.000000,0.000000,events/second
1588648175,10,0.054646,0.000000,0.000000,0.000000,events/second
1588648178,10,0.053765,0.000000,0.000000,0.000000,events/second
1588648181,10,0.052912,0.000000,0.000000,0.000000,events/second
1588648184,10,0.052084,0.000000,0.000000,0.000000,events/second
1588648187,10,0.051283,0.000000,0.000000,0.000000,events/second
1588648190,10,0.050506,0.000000,0.000000,0.000000,events/second
1588648193,10,0.049752,0.000000,0.000000,0.000000,events/second
1588648196,10,0.049020,0.000000,0.000000,0.000000,events/second
1588648199,10,0.048310,0.000000,0.000000,0.000000,events/second
1588648202,10,0.047619,0.000000,0.000000,0.000000,events/second
1588648205,10,0.046949,0.000000,0.000000,0.000000,events/second
1588648208,10,0.046297,0.000000,0.000000,0.000000,events/second
1588648211,10,0.045662,0.000000,0.000000,0.000000,events/second
1588648214,10,0.045046,0.000000,0.000000,0.000000,events/second
1588648217,10,0.044445,0.000000,0.000000,0.000000,events/second
1588648220,10,0.043861,0.000000,0.000000,0.000000,events/second
1588648223,10,0.043291,0.000000,0.000000,0.000000,events/second
1588648226,10,0.042735,0.000000,0.000000,0.000000,events/second
1588648229,10,0.042195,0.000000,0.000000,0.000000,events/second
1588648232,10,0.041667,0.000000,0.000000,0.000000,events/second
1588648235,10,0.041153,0.000000,0.000000,0.000000,events/second
1588648238,10,0.040651,0.000000,0.000000,0.000000,events/second
1588648241,10,0.040162,0.000000,0.000000,0.000000,events/second
1588648244,10,0.039683,0.000000,0.000000,0.000000,events/second
1588648247,10,0.039216,0.000000,0.000000,0.000000,events/second
1588648250,10,0.038760,0.000000,0.000000,0.000000,events/second
1588648253,10,0.038315,0.000000,0.000000,0.000000,events/second
1588648256,10,0.037879,0.000000,0.000000,0.000000,events/second
1588648259,10,0.037454,0.000000,0.000000,0.000000,events/second
1588648262,10,0.037038,0.000000,0.000000,0.000000,events/second
1588648265,10,0.036631,0.000000,0.000000,0.000000,events/second
1588648268,10,0.036232,0.000000,0.000000,0.000000,events/second
1588648271,10,0.035843,0.000000,0.000000,0.000000,events/second
1588648274,10,0.035461,0.000000,0.000000,0.000000,events/second
1588648277,10,0.035088,0.000000,0.000000,0.000000,events/second
1588648280,10,0.034722,0.000000,0.000000,0.000000,events/second
1588648283,10,0.034364,0.000000,0.000000,0.000000,events/second
1588648286,10,0.034014,0.000000,0.000000,0.000000,events/second
1588648289,10,0.033670,0.000000,0.000000,0.000000,events/second
1588648292,10,0.033333,0.000000,0.000000,0.000000,events/second
1588648295,10,0.033004,0.000000,0.000000,0.000000,events/second
1588648298,10,0.032680,0.000000,0.000000,0.000000,events/second
