t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1588647995,48,15.728105,0.000000,0.000000,0.000000,events/second
1588647998,48,7.989457,0.000000,0.000000,0.000000,events/second
1588648001,48,5.334229,0.000000,0.000000,0.000000,events/second
1588648004,48,3.999890,0.000000,0.000000,0.000000,events/second
1588648007,48,3.200446,0.000000,0.000000,0.000000,events/second
1588648010,48,2.666899,0.000000,0.000000,0.000000,events/second
1588648013,48,2.285490,0.000000,0.000000,0.000000,events/second
1588648016,48,2.000377,0.000000,0.000000,0.000000,events/second
1588648019,48,1.777705,0.000000,0.000000,0.000000,events/second
1588648022,48,1.600226,0.000000,0.000000,0.000000,events/second
1588648025,48,1.454594,0.000000,0.000000,0.000000,events/second
1588648028,48,1.333388,0.000000,0.000000,0.000000,events/second
1588648031,48,1.230787,0.000000,0.000000,0.000000,events/second
1588648034,48,1.142930,0.000000,0.000000,0.000000,events/second
1588648037,48,1.066716,0.000000,0.000000,0.000000,events/second
1588648040,48,0.999941,0.000000,0.000000,0.000000,events/second
1588648043,48,0.941181,0.000000,0.000000,0.000000,events/second
1588648046,48,0.888953,0.000000,0.000000,0.000000,events/second
1588648049,48,0.842062,0.000000,0.000000,0.000000,events/second
1588648052,48,0.800007,0.000000,0.000000,0.000000,events/second
1588648055,48,0.761906,0.000000,0.000000,0.000000,events/second
1588648058,48,0.727294,0.000000,0.000000,0.000000,events/second
1588648061,48,0.695651,0.000000,0.000000,0.000000,events/second
1588648064,48,0.666684,0.000000,0.000000,0.000000,events/second
1588648067,48,0.640035,0.000000,0.000000,0.000000,events/second
1588648070,48,0.615393,0.000000,0.000000,0.000000,events/second
1588648073,48,0.592625,0.000000,0.000000,0.000000,events/second
1588648076,48,0.571450,0.000000,0.000000,0.000000,events/second
1588648079,48,0.551732,0.000000,0.000000,0.000000,events/second
1588648082,48,0.533344,0.000000,0.000000,0.000000,events/second
1588648085,48,0.516160,0.000000,0.000000,0.000000,events/second
1588648088,48,0.500000,0.000000,0.000000,0.000000,events/second
1588648091,48,0.484856,0.000000,0.000000,0.000000,events/second
1588648094,48,0.470613,0.000000,0.000000,0.000000,events/second
1588648097,48,0.457165,0.000000,0.000000,0.000000,events/second
1588648100,48,0.444460,0.000000,0.000000,0.000000,events/second
1588648103,48,0.432447,0.000000,0.000000,0.000000,events/second
1588648106,48,0.421066,0.000000,0.000000,0.000000,events/second
1588648109,48,0.410278,0.000000,0.000000,0.000000,events/second
1588648112,60,0.500007,0.000000,0.000000,0.000000,events/second
1588648115,60,0.487809,0.000000,0.000000,0.000000,events/second
1588648118,60,0.476203,0.000000,0.000000,0.000000,events/second
1588648121,60,0.465116,0.000000,0.000000,0.000000,events/second
1588648124,60,0.454560,0.000000,0.000000,0.000000,events/second
1588648127,60,0.444452,0.000000,0.000000,0.000000,events/second
1588648130,60,0.434789,0.000000,0.000000,0.000000,events/second
1588648133,60,0.425546,0.000000,0.000000,0.000000,events/second
1588648136,60,0.416671,0.000000,0.000000,0.000000,events/second
1588648139,60,0.408165,0.000000,0.000000,0.000000,events/second
1588648142,60,0.400015,0.000000,0.000000,0.000000,events/second
1588648145,60,0.392164,0.000000,0.000000,0.000000,events/second
1588648148,60,0.384624,0.000000,0.000000,0.000000,events/second
1588648151,60,0.377367,0.000000,0.000000,0.000000,events/second
1588648154,60,0.370379,0.000000,0.000000,0.000000,events/second
1588648157,60,0.363636,0.000000,0.000000,0.000000,events/second
1588648160,60,0.357149,0.000000,0.000000,0.000000,events/second
1588648163,60,0.350878,0.000000,0.000000,0.000000,events/second
1588648166,60,0.344836,0.000000,0.000000,0.000000,events/second
1588648169,60,0.338985,0.000000,0.000000,0.000000,events/second
1588648172,60,0.333344,0.000000,0.000000,0.000000,events/second
1588648175,60,0.327877,0.000000,0.000000,0.000000,events/second
1588648178,60,0.322588,0.000000,0.000000,0.000000,events/second
1588648181,60,0.317471,0.000000,0.000000,0.000000,events/second
1588648184,60,0.312504,0.000000,0.000000,0.000000,events/second
1588648187,60,0.307695,0.000000,0.000000,0.000000,events/second
1588648190,60,0.303034,0.000000,0.000000,0.000000,events/second
1588648193,60,0.298513,0.000000,0.000000,0.000000,events/second
1588648196,60,0.294119,0.000000,0.000000,0.000000,events/second
1588648199,60,0.289860,0.000000,0.000000,0.000000,events/second
1588648202,60,0.285716,0.000000,0.000000,0.000000,events/second
1588648205,60,0.281691,0.000000,0.000000,0.000000,events/second
1588648208,60,0.277779,0.000000,0.000000,0.000000,events/second
1588648211,60,0.273974,0.000000,0.000000,0.000000,events/second
1588648214,60,0.270275,0.000000,0.000000,0.000000,events/second
1588648217,60,0.266667,0.000000,0.000000,0.000000,events/second
1588648220,60,0.263163,0.000000,0.000000,0.000000,events/second
1588648223,60,0.259744,0.000000,0.000000,0.000000,events/second
1588648226,60,0.256412,0.000000,0.000000,0.000000,events/second
1588648229,60,0.253169,0.000000,0.000000,0.000000,events/second
1588648232,60,0.250003,0.000000,0.000000,0.000000,events/second
1588648235,60,0.246915,0.000000,0.000000,0.000000,events/second
1588648238,60,0.243905,0.000000,0.000000,0.000000,events/second
1588648241,60,0.240970,0.000000,0.000000,0.000000,events/second
1588648244,60,0.238096,0.000000,0.000000,0.000000,events/second
1588648247,60,0.235296,0.000000,0.000000,0.000000,events/second
1588648250,60,0.232562,0.000000,0.000000,0.000000,events/second
1588648253,60,0.229891,0.000000,0.000000,0.000000,events/second
1588648256,60,0.227275,0.000000,0.000000,0.000000,events/second
1588648259,60,0.224723,0.000000,0.000000,0.000000,events/second
