t,value
1588647995,536870912
1588647998,536870912
1588648001,536870912
1588648004,536870912
1588648007,536870912
1588648010,536870912
1588648013,536870912
1588648016,536870912
1588648019,536870912
1588648022,536870912
1588648025,536870912
1588648028,536870912
1588648031,536870912
1588648034,536870912
1588648037,536870912
1588648040,536870912
1588648043,536870912
1588648046,536870912
1588648049,536870912
1588648052,536870912
1588648055,536870912
1588648058,536870912
1588648061,536870912
1588648064,536870912
1588648067,536870912
1588648070,536870912
1588648073,536870912
1588648076,536870912
1588648079,536870912
1588648082,536870912
1588648085,536870912
1588648088,536870912
1588648091,536870912
1588648094,536870912
1588648097,536870912
1588648100,536870912
1588648103,536870912
1588648106,536870912
1588648109,536870912
1588648112,536870912
1588648115,536870912
1588648118,536870912
1588648121,536870912
1588648124,536870912
1588648127,536870912
1588648130,536870912
1588648133,536870912
1588648136,536870912
1588648139,536870912
1588648142,536870912
1588648145,536870912
1588648148,536870912
1588648151,536870912
1588648154,536870912
1588648157,536870912
1588648160,536870912
1588648163,536870912
1588648166,536870912
1588648169,536870912
1588648172,536870912
1588648175,536870912
1588648178,536870912
1588648181,536870912
1588648184,536870912
1588648187,536870912
1588648190,536870912
1588648193,536870912
1588648196,536870912
1588648199,536870912
1588648202,536870912
1588648205,536870912
1588648208,536870912
1588648211,536870912
1588648214,536870912
1588648217,536870912
1588648220,536870912
1588648223,536870912
1588648226,536870912
1588648229,536870912
1588648232,536870912
1588648235,536870912
1588648238,536870912
1588648241,536870912
1588648244,536870912
1588648247,536870912
1588648250,536870912
1588648253,536870912
1588648256,536870912
1588648259,536870912
1588648262,536870912
1588648265,536870912
1588648268,536870912
1588648271,536870912
1588648274,536870912
1588648277,536870912
1588648280,536870912
1588648283,536870912
1588648286,536870912
1588648289,536870912
1588648292,536870912
1588648295,536870912
1588648298,536870912
1588648301,536870912
1588648304,536870912
1588648307,536870912
1588648310,536870912
1588648313,536870912
1588648316,536870912
1588648319,536870912
1588648322,536870912
1588648325,536870912
1588648328,536870912
1588648331,536870912
1588648334,536870912
1588648337,536870912
1588648340,536870912
1588648343,536870912
1588648346,536870912
1588648349,536870912
1588648352,536870912
1588648355,536870912
1588648358,536870912
1588648361,536870912
1588648364,536870912
1588648367,536870912
1588648370,536870912
1588648373,536870912
1588648376,536870912
1588648379,536870912
1588648382,536870912
1588648385,536870912
1588648388,536870912
1588648391,536870912
1588648394,536870912
1588648397,536870912
1588648400,536870912
1588648403,536870912
1588648406,536870912
1588648409,536870912
1588648412,536870912
1588648415,536870912
1588648418,536870912
1588648421,536870912
1588648424,536870912
1588648427,536870912
1588648430,536870912
1588648433,536870912
1588648436,536870912
1588648439,536870912
1588648442,536870912
1588648445,536870912
1588648448,536870912
1588648451,536870912
1588648454,536870912
1588648457,536870912
1588648460,536870912
1588648463,536870912
1588648466,536870912
1588648469,536870912
1588648472,536870912
1588648475,536870912
1588648478,536870912
1588648481,536870912
1588648484,536870912
1588648487,536870912
1588648490,536870912
1588648493,536870912
1588648496,536870912
1588648499,536870912
1588648502,536870912
1588648505,536870912
1588648508,536870912
1588648511,536870912
1588648514,536870912
1588648517,536870912
1588648520,536870912
1588648523,536870912
1588648526,536870912
1588648529,536870912
1588648532,536870912
1588648535,536870912
1588648538,536870912
1588648541,536870912
1588648544,536870912
1588648547,536870912
1588648550,536870912
1588648553,536870912
1588648556,536870912
1588648559,536870912
1588648562,536870912
1588648565,536870912
1588648568,536870912
1588648571,536870912
1588648574,536870912
1588648577,536870912
1588648580,536870912
1588648583,536870912
1588648586,536870912
1588648589,536870912
1588648592,536870912
1588648595,536870912
1588648598,536870912
1588648601,536870912
1588648604,536870912
1588648607,536870912
1588648610,536870912
1588648613,536870912
1588648616,536870912
1588648619,536870912
1588648622,536870912
1588648625,536870912
1588648628,536870912
1588648631,536870912
1588648634,536870912
1588648637,536870912
1588648640,536870912
1588648643,536870912
1588648646,536870912
1588648649,536870912
1588648652,536870912
1588648655,536870912
1588648658,536870912
1588648661,536870912
1588648664,536870912
1588648667,536870912
1588648670,536870912
1588648673,536870912
1588648676,536870912
1588648679,536870912
1588648682,536870912
1588648685,536870912
1588648688,536870912
1588648691,536870912
1588648694,536870912
1588648697,536870912
1588648700,536870912
1588648703,536870912
1588648706,536870912
1588648709,536870912
1588648712,536870912
1588648715,536870912
1588648718,536870912
1588648721,536870912
1588648724,536870912
1588648727,536870912
1588648730,536870912
1588648733,536870912
1588648736,536870912
1588648739,536870912
1588648742,536870912
1588648745,536870912
1588648748,536870912
1588648751,536870912
1588648754,536870912
1588648757,536870912
1588648760,536870912
1588648763,536870912
1588648766,536870912
1588648769,536870912
1588648772,536870912
1588648775,536870912
1588648778,536870912
1588648781,536870912
1588648784,536870912
1588648787,536870912
1588648790,536870912
1588648793,536870912
1588648796,536870912
1588648799,536870912
1588648802,536870912
1588648805,536870912
1588648808,536870912
1588648811,536870912
1588648814,536870912
1588648817,536870912
1588648820,536870912
1588648823,536870912
1588648826,536870912
1588648829,536870912
1588648832,536870912
1588648835,536870912
1588648838,536870912
1588648841,536870912
1588648844,536870912
1588648847,536870912
1588648850,536870912
1588648853,536870912
1588648856,536870912
1588648859,536870912
1588648862,536870912
1588648865,536870912
1588648868,536870912
1588648871,536870912
1588648874,536870912
1588648877,536870912
1588648880,536870912
1588648883,536870912
1588648886,536870912
1588648889,536870912
1588648892,536870912
1588648895,536870912
1588648898,536870912
1588648901,536870912
1588648904,536870912
1588648907,536870912
1588648910,536870912
1588648913,536870912
1588648916,536870912
1588648919,536870912
1588648922,536870912
1588648925,536870912
1588648928,536870912
1588648931,536870912
1588648934,536870912
1588648937,536870912
1588648940,536870912
1588648943,536870912
1588648946,536870912
1588648949,536870912
1588648952,536870912
1588648955,536870912
1588648958,536870912
1588648961,536870912
1588648964,536870912
1588648967,536870912
1588648970,536870912
1588648973,536870912
1588648976,536870912
1588648979,536870912
1588648982,536870912
1588648985,536870912
1588648988,536870912
1588648991,536870912
1588648994,536870912
1588648997,536870912
1588649000,536870912
1588649003,536870912
1588649006,536870912
1588649009,536870912
1588649012,536870912
1588649015,536870912
1588649018,536870912
1588649021,536870912
1588649024,536870912
1588649027,536870912
1588649030,536870912
1588649033,536870912
1588649036,536870912
1588649039,536870912
1588649042,536870912
1588649045,536870912
1588649048,536870912
1588649051,536870912
1588649054,536870912
1588649057,536870912
1588649060,536870912
1588649063,536870912
1588649066,536870912
1588649069,536870912
1588649072,536870912
1588649075,536870912
1588649078,536870912
1588649081,536870912
1588649084,536870912
1588649087,536870912
1588649090,536870912
1588649093,536870912
1588649096,536870912
1588649099,536870912
1588649102,536870912
1588649105,536870912
1588649108,536870912
1588649111,536870912
1588649114,536870912
1588649117,536870912
1588649120,536870912
1588649123,536870912
1588649126,536870912
1588649129,536870912
1588649132,536870912
1588649135,536870912
1588649138,536870912
1588649141,536870912
1588649144,536870912
1588649147,536870912
1588649150,536870912
1588649153,536870912
1588649156,536870912
1588649159,536870912
1588649162,536870912
1588649165,536870912
1588649168,536870912
1588649171,536870912
1588649174,536870912
1588649177,536870912
1588649180,536870912
1588649183,536870912
1588649186,536870912
1588649189,536870912
1588649192,536870912
1588649195,536870912
1588649198,536870912
1588649201,536870912
1588649204,536870912
1588649207,536870912
1588649210,536870912
1588649213,536870912
1588649216,536870912
1588649219,536870912
1588649222,536870912
1588649225,536870912
1588649228,536870912
1588649231,536870912
1588649234,536870912
1588649237,536870912
1588649240,536870912
1588649243,536870912
1588649246,536870912
1588649249,536870912
1588649252,536870912
1588649255,536870912
1588649258,536870912
1588649261,536870912
1588649264,536870912
1588649267,536870912
1588649270,536870912
1588649273,536870912
1588649276,536870912
1588649279,536870912
1588649282,536870912
1588649285,536870912
1588649288,536870912
1588649291,536870912
1588649294,536870912
1588649297,536870912
1588649300,536870912
1588649303,536870912
1588649306,536870912
1588649309,536870912
1588649312,536870912
1588649315,536870912
1588649318,536870912
1588649321,536870912
1588649324,536870912
1588649327,536870912
1588649330,536870912
1588649333,536870912
1588649336,536870912
1588649339,536870912
1588649342,536870912
1588649345,536870912
1588649348,536870912
1588649351,536870912
1588649354,536870912
1588649357,536870912
1588649360,536870912
1588649363,536870912
1588649366,536870912
1588649369,536870912
1588649372,536870912
1588649375,536870912
1588649378,536870912
1588649381,536870912
1588649384,536870912
1588649387,536870912
1588649390,536870912
1588649393,536870912
1588649396,536870912
1588649399,536870912
1588649402,536870912
1588649405,536870912
1588649408,536870912
1588649411,536870912
1588649414,536870912
1588649417,536870912
1588649420,536870912
1588649423,536870912
1588649426,536870912
1588649429,536870912
1588649432,536870912
1588649435,536870912
1588649438,536870912
1588649441,536870912
1588649444,536870912
1588649447,536870912
1588649450,536870912
1588649453,536870912
1588649456,536870912
1588649459,536870912
1588649462,536870912
1588649465,536870912
1588649468,536870912
1588649471,536870912
1588649474,536870912
1588649477,536870912
1588649480,536870912
1588649483,536870912
1588649486,536870912
1588649489,536870912
1588649492,536870912
1588649495,536870912
1588649498,536870912
1588649501,536870912
1588649504,536870912
1588649507,536870912
1588649510,536870912
1588649513,536870912
1588649516,536870912
1588649519,536870912
1588649522,536870912
1588649525,536870912
1588649528,536870912
1588649531,536870912
1588649534,536870912
1588649537,536870912
1588649540,536870912
1588649543,536870912
1588649546,536870912
1588649549,536870912
1588649552,536870912
1588649555,536870912
1588649558,536870912
1588649561,536870912
1588649564,536870912
1588649567,536870912
1588649570,536870912
1588649573,536870912
1588649576,536870912
1588649579,536870912
1588649582,536870912
1588649585,536870912
1588649588,536870912
1588649591,536870912
1588649594,536870912
1588649597,536870912
1588649600,536870912
1588649603,536870912
1588649606,536870912
1588649609,536870912
1588649612,536870912
1588649615,536870912
1588649618,536870912
1588649621,536870912
1588649624,536870912
1588649627,536870912
1588649630,536870912
1588649633,536870912
1588649636,536870912
1588649639,536870912
1588649642,536870912
1588649645,536870912
1588649648,536870912
1588649651,536870912
1588649654,536870912
1588649657,536870912
1588649660,536870912
1588649663,536870912
1588649666,536870912
1588649669,536870912
1588649672,536870912
1588649675,536870912
1588649678,536870912
1588649681,536870912
1588649684,536870912
1588649687,536870912
1588649690,536870912
1588649693,536870912
1588649696,536870912
1588649699,536870912
1588649702,536870912
1588649705,536870912
1588649708,536870912
1588649711,536870912
1588649714,536870912
1588649717,536870912
1588649720,536870912
1588649723,536870912
1588649726,536870912
1588649729,536870912
1588649732,536870912
1588649735,536870912
1588649738,536870912
1588649741,536870912
1588649744,536870912
1588649747,536870912
1588649750,536870912
1588649753,536870912
1588649756,536870912
1588649759,536870912
1588649762,536870912
1588649765,536870912
1588649768,536870912
1588649771,536870912
1588649774,536870912
1588649777,536870912
1588649780,536870912
1588649783,536870912
1588649786,536870912
1588649789,536870912
1588649792,536870912
1588649795,536870912
1588649798,536870912
1588649801,536870912
1588649804,536870912
1588649807,536870912
1588649810,536870912
1588649813,536870912
1588649816,536870912
1588649819,536870912
1588649822,536870912
1588649825,536870912
1588649828,536870912
1588649831,536870912
1588649834,536870912
1588649837,536870912
1588649840,536870912
1588649843,536870912
1588649846,536870912
1588649849,536870912
1588649852,536870912
1588649855,536870912
1588649858,536870912
1588649861,536870912
1588649864,536870912
1588649867,536870912
1588649870,536870912
1588649873,536870912
1588649876,536870912
1588649879,536870912
1588649882,536870912
1588649885,536870912
1588649888,536870912
1588649891,536870912
1588649894,536870912
1588649897,536870912
1588649900,536870912
1588649903,536870912
1588649906,536870912
1588649909,536870912
1588649912,536870912
1588649915,536870912
1588649918,536870912
1588649921,536870912
1588649924,536870912
1588649927,536870912
1588649930,536870912
1588649933,536870912
1588649936,536870912
1588649939,536870912
1588649942,536870912
1588649945,536870912
1588649948,536870912
1588649951,536870912
1588649954,536870912
1588649957,536870912
1588649960,536870912
1588649963,536870912
1588649966,536870912
1588649969,536870912
1588649972,536870912
1588649975,536870912
1588649978,536870912
1588649981,536870912
1588649984,536870912
1588649987,536870912
1588649990,536870912
1588649993,536870912
1588649996,536870912
1588649999,536870912
1588650002,536870912
1588650005,536870912
1588650008,536870912
1588650011,536870912
1588650014,536870912
1588650017,536870912
1588650020,536870912
1588650023,536870912
1588650026,536870912
1588650029,536870912
1588650032,536870912
1588650035,536870912
1588650038,536870912
1588650041,536870912
1588650044,536870912
1588650047,536870912
1588650050,536870912
1588650053,536870912
1588650056,536870912
1588650059,536870912
1588650062,536870912
1588650065,536870912
1588650068,536870912
1588650071,536870912
1588650074,536870912
1588650077,536870912
1588650080,536870912
1588650083,536870912
1588650086,536870912
1588650089,536870912
1588650092,536870912
1588650095,536870912
1588650098,536870912
1588650101,536870912
1588650104,536870912
1588650107,536870912
1588650110,536870912
1588650113,536870912
1588650116,536870912
1588650119,536870912
1588650122,536870912
1588650125,536870912
1588650128,536870912
1588650131,536870912
1588650134,536870912
1588650137,536870912
1588650140,536870912
1588650143,536870912
1588650146,536870912
1588650149,536870912
1588650152,536870912
1588650155,536870912
1588650158,536870912
1588650161,536870912
1588650164,536870912
1588650167,536870912
1588650170,536870912
1588650173,536870912
1588650176,536870912
1588650179,536870912
1588650182,536870912
1588650185,536870912
1588650188,536870912
1588650191,536870912
1588650194,536870912
1588650197,536870912
1588650200,536870912
1588650203,536870912
1588650206,536870912
1588650209,536870912
1588650212,536870912
1588650215,536870912
1588650218,536870912
1588650221,536870912
1588650224,536870912
1588650227,536870912
1588650230,536870912
1588650233,536870912
1588650236,536870912
1588650239,536870912
1588650242,536870912
1588650245,536870912
1588650248,536870912
1588650251,536870912
1588650254,536870912
1588650257,536870912
1588650260,536870912
1588650263,536870912
1588650266,536870912
1588650269,536870912
1588650272,536870912
1588650275,536870912
1588650278,536870912
1588650281,536870912
1588650284,536870912
1588650287,536870912
1588650290,536870912
1588650293,536870912
1588650296,536870912
1588650299,536870912
1588650302,536870912
1588650305,536870912
1588650308,536870912
1588650311,536870912
1588650314,536870912
1588650317,536870912
1588650320,536870912
1588650323,536870912
1588650326,536870912
1588650329,536870912
1588650332,536870912
1588650335,536870912
1588650338,536870912
1588650341,536870912
1588650344,536870912
1588650347,536870912
1588650350,536870912
1588650353,536870912
1588650356,536870912
1588650359,536870912
1588650362,536870912
1588650365,536870912
1588650368,536870912
1588650371,536870912
1588650374,536870912
1588650377,536870912
1588650380,536870912
1588650383,536870912
1588650386,536870912
1588650389,536870912
1588650392,536870912
1588650395,536870912
1588650398,536870912
1588650401,536870912
1588650404,536870912
1588650407,536870912
1588650410,536870912
1588650413,536870912
1588650416,536870912
1588650419,536870912
1588650422,536870912
1588650425,536870912
1588650428,536870912
1588650431,536870912
1588650434,536870912
1588650437,536870912
1588650440,536870912
1588650443,536870912
1588650446,536870912
1588650449,536870912
1588650452,536870912
1588650455,536870912
1588650458,536870912
1588650461,536870912
1588650464,536870912
1588650467,536870912
1588650470,536870912
1588650473,536870912
1588650476,536870912
1588650479,536870912
1588650482,536870912
1588650485,536870912
1588650488,536870912
1588650491,536870912
1588650494,536870912
1588650497,536870912
1588650500,536870912
1588650503,536870912
1588650506,536870912
1588650509,536870912
1588650512,536870912
1588650515,536870912
1588650518,536870912
1588650521,536870912
1588650524,536870912
1588650527,536870912
1588650530,536870912
1588650533,536870912
1588650536,536870912
1588650539,536870912
1588650542,536870912
1588650545,536870912
1588650548,536870912
1588650551,536870912
1588650554,536870912
1588650557,536870912
1588650560,536870912
1588650563,536870912
1588650566,536870912
1588650569,536870912
1588650572,536870912
1588650575,536870912
1588650578,536870912
1588650581,536870912
1588650584,536870912
1588650587,536870912
1588650590,536870912
1588650593,536870912
1588650596,536870912
1588650599,536870912
1588650602,536870912
1588650605,536870912
1588650608,536870912
1588650611,536870912
1588650614,536870912
1588650617,536870912
1588650620,536870912
1588650623,536870912
1588650626,536870912
1588650629,536870912
1588650632,536870912
1588650635,536870912
1588650638,536870912
1588650641,536870912
1588650644,536870912
1588650647,536870912
1588650650,536870912
1588650653,536870912
1588650656,536870912
1588650659,536870912
1588650662,536870912
1588650665,536870912
1588650668,536870912
1588650671,536870912
1588650674,536870912
1588650677,536870912
1588650680,536870912
1588650683,536870912
1588650686,536870912
1588650689,536870912
1588650692,536870912
1588650695,536870912
1588650698,536870912
1588650701,536870912
1588650704,536870912
1588650707,536870912
1588650710,536870912
1588650713,536870912
1588650716,536870912
1588650719,536870912
1588650722,536870912
1588650725,536870912
1588650728,536870912
1588650731,536870912
1588650734,536870912
1588650737,536870912
1588650740,536870912
1588650743,536870912
1588650746,536870912
1588650749,536870912
1588650752,536870912
1588650755,536870912
1588650758,536870912
1588650761,536870912
1588650764,536870912
1588650767,536870912
1588650770,536870912
1588650773,536870912
1588650776,536870912
1588650779,536870912
1588650782,536870912
1588650785,536870912
1588650788,536870912
1588650791,536870912
1588650794,536870912
1588650797,536870912
1588650800,536870912
1588650803,536870912
1588650806,536870912
1588650809,536870912
1588650812,536870912
1588650815,536870912
1588650818,536870912
1588650821,536870912
1588650824,536870912
1588650827,536870912
1588650830,536870912
1588650833,536870912
1588650836,536870912
1588650839,536870912
1588650842,536870912
1588650845,536870912
1588650848,536870912
1588650851,536870912
1588650854,536870912
1588650857,536870912
1588650860,536870912
1588650863,536870912
1588650866,536870912
1588650869,536870912
1588650872,536870912
1588650875,536870912
1588650878,536870912
1588650881,536870912
1588650884,536870912
1588650887,536870912
1588650890,536870912
1588650893,536870912
1588650896,536870912
1588650899,536870912
1588650902,536870912
1588650905,536870912
1588650908,536870912
1588650911,536870912
1588650914,536870912
1588650917,536870912
1588650920,536870912
1588650923,536870912
1588650926,536870912
1588650929,536870912
1588650932,536870912
1588650935,536870912
1588650938,536870912
1588650941,536870912
1588650944,536870912
1588650947,536870912
1588650950,536870912
1588650953,536870912
1588650956,536870912
1588650959,536870912
1588650962,536870912
1588650965,536870912
1588650968,536870912
1588650971,536870912
1588650974,536870912
1588650977,536870912
1588650980,536870912
1588650983,536870912
1588650986,536870912
1588650989,536870912
1588650992,536870912
1588650995,536870912
1588650998,536870912
1588651001,536870912
1588651004,536870912
1588651007,536870912
1588651010,536870912
1588651013,536870912
1588651016,536870912
1588651019,536870912
1588651022,536870912
1588651025,536870912
1588651028,536870912
1588651031,536870912
1588651034,536870912
1588651037,536870912
1588651040,536870912
1588651043,536870912
1588651046,536870912
1588651049,536870912
1588651052,536870912
1588651055,536870912
1588651058,536870912
1588651061,536870912
1588651064,536870912
1588651067,536870912
1588651070,536870912
1588651073,536870912
1588651076,536870912
1588651079,536870912
1588651082,536870912
1588651085,536870912
1588651088,536870912
1588651091,536870912
1588651094,536870912
1588651097,536870912
1588651100,536870912
1588651103,536870912
1588651106,536870912
1588651109,536870912
1588651112,536870912
1588651115,536870912
1588651118,536870912
1588651121,536870912
1588651124,536870912
1588651127,536870912
1588651130,536870912
1588651133,536870912
1588651136,536870912
1588651139,536870912
1588651142,536870912
1588651145,536870912
1588651148,536870912
1588651151,536870912
1588651154,536870912
1588651157,536870912
1588651160,536870912
1588651163,536870912
1588651166,536870912
1588651169,536870912
1588651172,536870912
1588651175,536870912
1588651178,536870912
1588651181,536870912
1588651184,536870912
1588651187,536870912
1588651190,536870912
1588651193,536870912
1588651196,536870912
1588651199,536870912
1588651202,536870912
