t,value
1588647995,1073741824
1588647998,1073741824
1588648001,1073741824
1588648004,1073741824
1588648007,1073741824
1588648010,1073741824
1588648013,1073741824
1588648016,1073741824
1588648019,1073741824
1588648022,1073741824
1588648025,1073741824
1588648028,1073741824
1588648031,1073741824
1588648034,1073741824
1588648037,1073741824
1588648040,1073741824
1588648043,1073741824
1588648046,1073741824
1588648049,1073741824
1588648052,1073741824
1588648055,1073741824
1588648058,1073741824
1588648061,1073741824
1588648064,1073741824
1588648067,1073741824
1588648070,1073741824
1588648073,1073741824
1588648076,1073741824
1588648079,1073741824
1588648082,1073741824
1588648085,1073741824
1588648088,1073741824
1588648091,1073741824
1588648094,1073741824
1588648097,1073741824
1588648100,1073741824
1588648103,1073741824
1588648106,1073741824
1588648109,1073741824
1588648112,1073741824
1588648115,1073741824
1588648118,1073741824
1588648121,1073741824
1588648124,1073741824
1588648127,1073741824
1588648130,1073741824
1588648133,1073741824
1588648136,1073741824
1588648139,1073741824
1588648142,1073741824
1588648145,1073741824
1588648148,1073741824
1588648151,1073741824
1588648154,1073741824
1588648157,1073741824
1588648160,1073741824
1588648163,1073741824
1588648166,1073741824
1588648169,1073741824
1588648172,1073741824
1588648175,1073741824
1588648178,1073741824
1588648181,1073741824
1588648184,1073741824
1588648187,1073741824
1588648190,1073741824
1588648193,1073741824
1588648196,1073741824
1588648199,1073741824
1588648202,1073741824
1588648205,1073741824
1588648208,1073741824
1588648211,1073741824
1588648214,1073741824
1588648217,1073741824
1588648220,1073741824
1588648223,1073741824
1588648226,1073741824
1588648229,1073741824
1588648232,1073741824
1588648235,1073741824
1588648238,1073741824
1588648241,1073741824
1588648244,1073741824
1588648247,1073741824
1588648250,1073741824
1588648253,1073741824
1588648256,1073741824
1588648259,1073741824
1588648262,1073741824
1588648265,1073741824
1588648268,1073741824
1588648271,1073741824
1588648274,1073741824
1588648277,1073741824
1588648280,1073741824
1588648283,1073741824
1588648286,1073741824
1588648289,1073741824
1588648292,1073741824
1588648295,1073741824
1588648298,1073741824
1588648301,1073741824
1588648304,1073741824
1588648307,1073741824
1588648310,1073741824
1588648313,1073741824
1588648316,1073741824
1588648319,1073741824
1588648322,1073741824
1588648325,1073741824
1588648328,1073741824
1588648331,1073741824
1588648334,1073741824
1588648337,1073741824
1588648340,1073741824
1588648343,1073741824
1588648346,1073741824
1588648349,1073741824
1588648352,1073741824
1588648355,1073741824
1588648358,1073741824
1588648361,1073741824
1588648364,1073741824
1588648367,1073741824
1588648370,1073741824
1588648373,1073741824
1588648376,1073741824
1588648379,1073741824
1588648382,1073741824
1588648385,1073741824
1588648388,1073741824
1588648391,1073741824
1588648394,1073741824
1588648397,1073741824
1588648400,1073741824
1588648403,1073741824
1588648406,1073741824
1588648409,1073741824
1588648412,1073741824
1588648415,1073741824
1588648418,1073741824
1588648421,1073741824
1588648424,1073741824
1588648427,1073741824
1588648430,1073741824
1588648433,1073741824
1588648436,1073741824
1588648439,1073741824
1588648442,1073741824
1588648445,1073741824
1588648448,1073741824
1588648451,1073741824
1588648454,1073741824
1588648457,1073741824
1588648460,1073741824
1588648463,1073741824
1588648466,1073741824
1588648469,1073741824
1588648472,1073741824
1588648475,1073741824
1588648478,1073741824
1588648481,1073741824
1588648484,1073741824
1588648487,1073741824
1588648490,1073741824
1588648493,1073741824
1588648496,1073741824
1588648499,1073741824
1588648502,1073741824
1588648505,1073741824
1588648508,1073741824
1588648511,1073741824
1588648514,1073741824
1588648517,1073741824
1588648520,1073741824
1588648523,1073741824
1588648526,1073741824
1588648529,1073741824
1588648532,1073741824
1588648535,1073741824
1588648538,1073741824
1588648541,1073741824
1588648544,1073741824
1588648547,1073741824
1588648550,1073741824
1588648553,1073741824
1588648556,1073741824
1588648559,1073741824
1588648562,1073741824
1588648565,1073741824
1588648568,1073741824
1588648571,1073741824
1588648574,1073741824
1588648577,1073741824
1588648580,1073741824
1588648583,1073741824
1588648586,1073741824
1588648589,1073741824
1588648592,1073741824
1588648595,1073741824
1588648598,1073741824
1588648601,1073741824
1588648604,1073741824
1588648607,1073741824
1588648610,1073741824
1588648613,1073741824
1588648616,1073741824
1588648619,1073741824
1588648622,1073741824
1588648625,1073741824
1588648628,1073741824
1588648631,1073741824
1588648634,1073741824
1588648637,1073741824
1588648640,1073741824
1588648643,1073741824
1588648646,1073741824
1588648649,1073741824
1588648652,1073741824
1588648655,1073741824
1588648658,1073741824
1588648661,1073741824
1588648664,1073741824
1588648667,1073741824
1588648670,1073741824
1588648673,1073741824
1588648676,1073741824
1588648679,1073741824
1588648682,1073741824
1588648685,1073741824
1588648688,1073741824
1588648691,1073741824
1588648694,1073741824
1588648697,1073741824
1588648700,1073741824
1588648703,1073741824
1588648706,1073741824
1588648709,1073741824
1588648712,1073741824
1588648715,1073741824
1588648718,1073741824
1588648721,1073741824
1588648724,1073741824
1588648727,1073741824
1588648730,1073741824
1588648733,1073741824
1588648736,1073741824
1588648739,1073741824
1588648742,1073741824
1588648745,1073741824
1588648748,1073741824
1588648751,1073741824
1588648754,1073741824
1588648757,1073741824
1588648760,1073741824
1588648763,1073741824
1588648766,1073741824
1588648769,1073741824
1588648772,1073741824
1588648775,1073741824
1588648778,1073741824
1588648781,1073741824
1588648784,1073741824
1588648787,1073741824
1588648790,1073741824
1588648793,1073741824
1588648796,1073741824
1588648799,1073741824
1588648802,1073741824
1588648805,1073741824
1588648808,1073741824
1588648811,1073741824
1588648814,1073741824
1588648817,1073741824
1588648820,1073741824
1588648823,1073741824
1588648826,1073741824
1588648829,1073741824
1588648832,1073741824
1588648835,1073741824
1588648838,1073741824
1588648841,1073741824
1588648844,1073741824
1588648847,1073741824
1588648850,1073741824
1588648853,1073741824
1588648856,1073741824
1588648859,1073741824
1588648862,1073741824
1588648865,1073741824
1588648868,1073741824
1588648871,1073741824
1588648874,1073741824
1588648877,1073741824
1588648880,1073741824
1588648883,1073741824
1588648886,1073741824
1588648889,1073741824
1588648892,1073741824
1588648895,1073741824
1588648898,1073741824
1588648901,1073741824
1588648904,1073741824
1588648907,1073741824
1588648910,1073741824
1588648913,1073741824
1588648916,1073741824
1588648919,1073741824
1588648922,1073741824
1588648925,1073741824
1588648928,1073741824
1588648931,1073741824
1588648934,1073741824
1588648937,1073741824
1588648940,1073741824
1588648943,1073741824
1588648946,1073741824
1588648949,1073741824
1588648952,1073741824
1588648955,1073741824
1588648958,1073741824
1588648961,1073741824
1588648964,1073741824
1588648967,1073741824
1588648970,1073741824
1588648973,1073741824
1588648976,1073741824
1588648979,1073741824
1588648982,1073741824
1588648985,1073741824
1588648988,1073741824
1588648991,1073741824
