t,value
1588647995,128122896
1588647998,227737616
1588648001,267583504
1588648004,268632080
1588648007,270729232
1588648010,271777808
1588648013,272826384
1588648016,277020688
1588648019,283312144
1588648022,283312144
1588648025,284360720
1588648028,285409296
1588648031,285409296
1588648034,286457872
1588648037,289603600
1588648040,290652176
1588648043,291700752
1588648046,291700752
1588648049,292749328
1588648052,314769424
1588648055,316866576
1588648058,318963728
1588648061,320012304
1588648064,320012304
1588648067,321060880
1588648070,322109456
1588648073,322109456
1588648076,326303760
1588648079,327352336
1588648082,327352336
1588648085,328400912
1588648088,328400912
1588648091,329449488
1588648094,330498064
1588648097,333643792
1588648100,334692368
1588648103,334692368
1588648106,335740944
1588648109,336789520
1588648112,67390976
1588648115,69488128
1588648118,74731008
1588648121,74731008
1588648124,75779584
1588648127,75779584
1588648130,76828160
1588648133,77876736
1588648136,82071040
1588648139,83119616
1588648142,83119616
1588648145,84168192
1588648148,84168192
1588648151,85216768
1588648154,86265344
1588648157,95702528
1588648160,96751104
1588648163,96751104
1588648166,97799680
1588648169,97799680
1588648172,118771200
1588648175,119819776
1588648178,121916928
1588648181,122965504
1588648184,122965504
1588648187,124014080
1588648190,125062656
1588648193,125062656
1588648196,128208384
1588648199,129256960
1588648202,129256960
1588648205,130305536
1588648208,130305536
1588648211,131354112
1588648214,132402688
1588648217,135548416
1588648220,136596992
1588648223,136596992
1588648226,137645568
1588648229,138694144
1588648232,159665664
1588648235,159665664
1588648238,163859968
1588648241,163859968
1588648244,164908544
1588648247,164908544
1588648250,165957120
1588648253,167005696
1588648256,169102848
1588648259,170151424
1588648262,171200000
1588648265,171200000
1588648268,172248576
1588648271,173297152
1588648274,174345728
1588648277,177491456
1588648280,177491456
1588648283,178540032
1588648286,178540032
1588648289,179588608
1588648292,199511552
1588648295,200560128
1588648298,203705856
1588648301,204754432
1588648304,205803008
1588648307,205803008
1588648310,206851584
1588648313,207900160
1588648316,211045888
1588648319,212094464
1588648322,212094464
1588648325,213143040
1588648328,213143040
1588648331,214191616
1588648334,215240192
1588648337,218385920
1588648340,218385920
1588648343,219434496
1588648346,220483072
1588648349,220483072
1588648352,240406016
1588648355,241454592
1588648358,244600320
1588648361,245648896
1588648364,245648896
1588648367,246697472
1588648370,246697472
1588648373,247746048
1588648376,248794624
1588648379,250891776
1588648382,251940352
1588648385,252988928
1588648388,252988928
1588648391,254037504
1588648394,255086080
1588648397,257183232
1588648400,258231808
1588648403,259280384
1588648406,260328960
1588648409,260328960
1588648412,280251904
1588648415,281300480
1588648418,284446208
1588648421,284446208
1588648424,285494784
1588648427,286543360
1588648430,286543360
1588648433,287591936
1588648436,287591936
1588648439,291786240
1588648442,292834816
1588648445,293883392
1588648448,295980544
1588648451,295980544
1588648454,297029120
1588648457,299126272
1588648460,300174848
1588648463,301223424
1588648466,302272000
1588648469,303320576
1588648472,324292096
1588648475,325340672
1588648478,328486400
1588648481,329534976
1588648484,331632128
1588648487,332680704
1588648490,334777856
1588648493,335826432
1588648496,335826432
1588648499,338972160
1588648502,340020736
1588648505,341069312
1588648508,343166464
1588648511,344215040
1588648514,345263616
1588648517,348409344
1588648520,71115864
1588648523,71115864
1588648526,73213016
1588648529,74261592
1588648532,95233112
1588648535,96281688
1588648538,100475992
1588648541,102573144
1588648544,103621720
1588648547,104670296
1588648550,106767448
1588648553,107816024
1588648556,109913176
1588648559,113058904
1588648562,115156056
1588648565,115156056
1588648568,116204632
1588648571,117253208
1588648574,118301784
1588648577,120398936
1588648580,121447512
1588648583,122496088
1588648586,123544664
1588648589,124593240
1588648592,145564760
1588648595,147661912
1588648598,151856216
1588648601,152904792
1588648604,153953368
1588648607,155001944
1588648610,156050520
1588648613,157099096
1588648616,159196248
1588648619,162341976
1588648622,163390552
1588648625,164439128
1588648628,165487704
1588648631,167584856
1588648634,168633432
1588648637,171779160
1588648640,172827736
1588648643,172827736
1588648646,174924888
1588648649,178070616
1588648652,199042136
1588648655,199042136
1588648658,202187864
1588648661,202187864
1588648664,203236440
1588648667,204285016
1588648670,205333592
1588648673,205333592
1588648676,206382168
1588648679,209527896
1588648682,210576472
1588648685,213722200
1588648688,214770776
1588648691,215819352
1588648694,216867928
1588648697,221062232
1588648700,222110808
1588648703,225256536
1588648706,226305112
1588648709,226305112
1588648712,247276632
1588648715,248325208
1588648718,251470936
1588648721,252519512
1588648724,252519512
1588648727,253568088
1588648730,253568088
1588648733,258810968
1588648736,259859544
1588648739,263005272
1588648742,264053848
1588648745,264053848
1588648748,265102424
1588648751,266151000
1588648754,266151000
1588648757,269296728
1588648760,270345304
1588648763,270345304
1588648766,271393880
1588648769,271393880
1588648772,292365400
1588648775,293413976
1588648778,295511128
1588648781,295511128
1588648784,296559704
1588648787,297608280
1588648790,297608280
1588648793,298656856
1588648796,298656856
1588648799,302851160
1588648802,303899736
1588648805,303899736
1588648808,304948312
1588648811,304948312
1588648814,305996888
1588648817,308094040
1588648820,309142616
1588648823,310191192
1588648826,310191192
1588648829,311239768
1588648832,331162712
1588648835,332211288
1588648838,335357016
1588648841,335357016
1588648844,336405592
1588648847,336405592
1588648850,337454168
1588648853,338502744
1588648856,338502744
1588648859,341648472
1588648862,341648472
1588648865,342697048
1588648868,342697048
1588648871,343745624
1588648874,343745624
1588648877,347939928
1588648880,347939928
1588648883,348988504
1588648886,348988504
1588648889,350037080
1588648892,64668304
1588648895,66765456
1588648898,70959760
1588648901,70959760
1588648904,72008336
1588648907,72008336
1588648910,73056912
1588648913,74105488
1588648916,74105488
1588648919,77251216
1588648922,78299792
1588648925,79348368
1588648928,79348368
1588648931,80396944
1588648934,80396944
1588648937,83542672
1588648940,84591248
1588648943,84591248
1588648946,85639824
1588648949,86688400
1588648952,106611344
1588648955,107659920
1588648958,110805648
1588648961,111854224
1588648964,111854224
1588648967,112902800
1588648970,113951376
1588648973,113951376
1588648976,114999952
1588648979,121291408
1588648982,121291408
1588648985,122339984
1588648988,123388560
1588648991,124437136
1588648994,124437136
1588648997,128631440
1588649000,132825744
1588649003,132825744
1588649006,133874320
1588649009,135971472
1588649012,156942992
1588649015,156942992
1588649018,161137296
1588649021,161137296
1588649024,161137296
1588649027,162185872
1588649030,163234448
1588649033,163234448
1588649036,164283024
1588649039,167428752
1588649042,167428752
1588649045,168477328
1588649048,169525904
1588649051,169525904
1588649054,170574480
