t,value
1588647995,4202841
1588647998,4202841
1588648001,4202841
1588648004,4202841
1588648007,4202841
1588648010,4202841
1588648013,4202841
1588648016,4202841
1588648019,4202841
1588648022,4202841
1588648025,4202841
1588648028,4202841
1588648031,4202841
1588648034,4202841
1588648037,4202841
1588648040,4202841
1588648043,4202841
1588648046,4202841
1588648049,4202841
1588648052,4202713
1588648055,4202713
1588648058,4202713
1588648061,4202713
1588648064,4202713
1588648067,4202713
1588648070,4202713
1588648073,4202713
1588648076,4202713
1588648079,4202713
1588648082,4202713
1588648085,4202713
1588648088,4202713
1588648091,4202713
1588648094,4202713
1588648097,4202713
1588648100,4202713
1588648103,4202713
1588648106,4202713
1588648109,4202713
1588648112,4202713
1588648115,4202713
1588648118,4202713
1588648121,4202713
1588648124,4202713
1588648127,4202713
1588648130,4202713
1588648133,4202713
1588648136,4202713
1588648139,4202713
1588648142,4202713
1588648145,4202713
1588648148,4202713
1588648151,4202713
1588648154,4202713
1588648157,4202713
1588648160,4202713
1588648163,4202713
1588648166,4202713
1588648169,4202713
1588648172,4202713
1588648175,4202713
1588648178,4202713
1588648181,4202713
1588648184,4202713
1588648187,4202713
1588648190,4202713
1588648193,4202713
1588648196,4202713
1588648199,4202713
1588648202,4202713
1588648205,4202713
1588648208,4202713
1588648211,4202713
1588648214,4202713
1588648217,4202713
1588648220,4202713
1588648223,4202713
1588648226,4202713
1588648229,4202713
1588648232,4202713
1588648235,4202713
1588648238,4202713
1588648241,4202713
1588648244,4202713
1588648247,4202713
1588648250,4202713
1588648253,4202713
1588648256,4202713
1588648259,4202713
1588648262,4202713
1588648265,4202713
1588648268,4202713
1588648271,4202713
1588648274,4202713
1588648277,4202713
1588648280,4202713
1588648283,4202713
1588648286,4202713
1588648289,4202713
1588648292,4202713
1588648295,4202713
1588648298,4202713
1588648301,4202713
1588648304,4202713
1588648307,4202713
1588648310,4202713
1588648313,4202713
1588648316,4202713
1588648319,4202713
1588648322,4202713
1588648325,4202713
1588648328,4202713
1588648331,4202713
1588648334,4202713
1588648337,4202713
1588648340,4202713
1588648343,4202713
