t,value
1588647995,7
1588647998,7
1588648001,7
1588648004,7
1588648007,7
1588648010,7
1588648013,7
1588648016,7
1588648019,7
1588648022,7
1588648025,7
1588648028,7
1588648031,7
1588648034,7
1588648037,7
1588648040,7
1588648043,7
1588648046,7
1588648049,7
1588648052,5
1588648055,5
1588648058,5
1588648061,5
1588648064,5
1588648067,5
1588648070,5
1588648073,5
1588648076,5
1588648079,5
1588648082,5
1588648085,5
1588648088,5
1588648091,5
1588648094,5
1588648097,5
1588648100,5
1588648103,5
1588648106,5
1588648109,5
1588648112,5
1588648115,5
1588648118,5
1588648121,5
1588648124,5
1588648127,5
1588648130,5
1588648133,5
1588648136,5
1588648139,5
1588648142,5
1588648145,5
1588648148,5
1588648151,5
1588648154,5
1588648157,5
1588648160,5
1588648163,5
1588648166,5
1588648169,5
1588648172,5
1588648175,5
1588648178,5
1588648181,5
1588648184,5
1588648187,5
1588648190,5
1588648193,5
1588648196,5
1588648199,5
1588648202,5
1588648205,5
1588648208,5
1588648211,5
1588648214,5
1588648217,5
1588648220,5
1588648223,5
1588648226,5
1588648229,5
1588648232,5
1588648235,5
1588648238,5
1588648241,5
1588648244,5
1588648247,5
1588648250,5
1588648253,5
1588648256,5
1588648259,5
1588648262,5
1588648265,5
1588648268,5
1588648271,5
1588648274,5
1588648277,5
1588648280,5
1588648283,5
1588648286,5
1588648289,5
1588648292,5
1588648295,5
1588648298,5
1588648301,5
1588648304,5
1588648307,5
1588648310,5
1588648313,5
1588648316,5
1588648319,5
1588648322,5
1588648325,5
1588648328,5
1588648331,5
1588648334,5
1588648337,5
1588648340,5
1588648343,5
1588648346,5
1588648349,5
1588648352,5
1588648355,5
1588648358,5
1588648361,5
1588648364,5
1588648367,5
1588648370,5
1588648373,5
1588648376,5
1588648379,5
1588648382,5
1588648385,5
1588648388,5
1588648391,5
1588648394,5
1588648397,5
1588648400,5
1588648403,5
1588648406,5
1588648409,5
1588648412,5
1588648415,5
1588648418,5
1588648421,5
1588648424,5
1588648427,5
1588648430,5
1588648433,5
1588648436,5
1588648439,5
1588648442,5
1588648445,5
1588648448,5
1588648451,5
1588648454,5
1588648457,5
1588648460,5
1588648463,5
1588648466,5
1588648469,5
1588648472,5
1588648475,5
1588648478,5
1588648481,5
1588648484,5
1588648487,5
1588648490,5
1588648493,5
1588648496,5
1588648499,5
1588648502,5
1588648505,5
1588648508,5
1588648511,5
1588648514,5
1588648517,5
1588648520,5
1588648523,5
1588648526,5
1588648529,5
1588648532,5
1588648535,5
1588648538,5
1588648541,5
1588648544,5
1588648547,5
1588648550,5
1588648553,5
1588648556,5
1588648559,5
1588648562,5
1588648565,5
1588648568,5
1588648571,5
1588648574,5
1588648577,5
1588648580,5
1588648583,5
1588648586,5
1588648589,5
1588648592,5
1588648595,5
1588648598,5
1588648601,5
1588648604,5
1588648607,5
1588648610,5
1588648613,5
1588648616,5
1588648619,5
1588648622,5
1588648625,5
1588648628,5
1588648631,5
1588648634,5
1588648637,5
1588648640,5
1588648643,5
1588648646,5
1588648649,5
1588648652,5
1588648655,5
1588648658,5
1588648661,5
1588648664,5
1588648667,5
1588648670,5
1588648673,5
1588648676,5
1588648679,5
1588648682,5
1588648685,5
1588648688,5
1588648691,5
1588648694,5
1588648697,5
1588648700,5
1588648703,5
1588648706,5
1588648709,5
1588648712,5
1588648715,5
1588648718,5
1588648721,5
1588648724,5
1588648727,5
1588648730,5
1588648733,5
1588648736,5
1588648739,5
1588648742,5
1588648745,5
1588648748,5
1588648751,5
1588648754,5
1588648757,5
1588648760,5
1588648763,5
1588648766,5
1588648769,5
1588648772,5
1588648775,5
1588648778,5
1588648781,5
1588648784,5
1588648787,5
1588648790,5
1588648793,5
1588648796,5
1588648799,5
1588648802,5
1588648805,5
1588648808,5
1588648811,5
1588648814,5
1588648817,5
1588648820,5
1588648823,5
1588648826,5
1588648829,5
1588648832,5
1588648835,5
1588648838,5
1588648841,5
1588648844,5
1588648847,5
1588648850,5
1588648853,5
1588648856,5
1588648859,5
1588648862,5
1588648865,5
1588648868,5
1588648871,5
1588648874,5
1588648877,5
1588648880,5
1588648883,5
1588648886,5
1588648889,5
1588648892,5
1588648895,5
1588648898,5
1588648901,5
1588648904,5
1588648907,5
1588648910,5
1588648913,5
1588648916,5
1588648919,5
1588648922,5
1588648925,5
1588648928,5
1588648931,5
1588648934,5
1588648937,5
1588648940,5
1588648943,5
1588648946,5
1588648949,5
1588648952,5
1588648955,5
1588648958,5
1588648961,5
1588648964,5
1588648967,5
1588648970,5
1588648973,5
1588648976,5
1588648979,5
1588648982,5
1588648985,5
1588648988,5
1588648991,5
1588648994,5
1588648997,5
1588649000,5
1588649003,5
1588649006,5
1588649009,5
1588649012,5
1588649015,5
1588649018,5
1588649021,5
1588649024,5
1588649027,5
1588649030,5
1588649033,5
1588649036,5
1588649039,5
1588649042,5
1588649045,5
1588649048,5
1588649051,5
1588649054,5
1588649057,5
1588649060,5
1588649063,5
1588649066,5
1588649069,5
1588649072,5
1588649075,5
1588649078,5
1588649081,5
1588649084,5
1588649087,5
1588649090,5
1588649093,5
1588649096,5
1588649099,5
1588649102,5
1588649105,5
1588649108,5
1588649111,5
1588649114,5
1588649117,5
1588649120,5
1588649123,5
1588649126,5
1588649129,5
1588649132,5
1588649135,5
1588649138,5
1588649141,5
1588649144,5
1588649147,5
1588649150,5
1588649153,5
1588649156,5
1588649159,5
1588649162,5
1588649165,5
1588649168,5
1588649171,5
1588649174,5
1588649177,5
1588649180,5
1588649183,5
1588649186,5
1588649189,5
1588649192,5
1588649195,5
1588649198,5
1588649201,5
1588649204,5
1588649207,5
1588649210,5
1588649213,5
1588649216,5
1588649219,5
1588649222,5
1588649225,5
1588649228,5
1588649231,5
1588649234,5
1588649237,5
1588649240,5
1588649243,5
1588649246,5
1588649249,5
1588649252,5
1588649255,5
1588649258,5
1588649261,5
1588649264,5
1588649267,5
1588649270,5
1588649273,5
1588649276,5
1588649279,5
1588649282,5
1588649285,5
1588649288,5
1588649291,5
1588649294,5
1588649297,5
1588649300,5
1588649303,5
1588649306,5
1588649309,5
1588649312,5
1588649315,5
1588649318,5
1588649321,5
1588649324,5
1588649327,5
1588649330,5
1588649333,5
1588649336,5
1588649339,5
1588649342,5
1588649345,5
1588649348,5
1588649351,5
1588649354,5
1588649357,5
1588649360,5
1588649363,5
1588649366,5
1588649369,5
1588649372,5
1588649375,5
1588649378,5
1588649381,5
1588649384,5
1588649387,5
1588649390,5
1588649393,5
1588649396,5
1588649399,5
1588649402,5
1588649405,5
1588649408,5
1588649411,5
1588649414,5
1588649417,5
