t,value
1588647995,1483008
1588647998,1491584
1588648001,1494912
1588648004,1494912
1588648007,1494912
1588648010,1494912
1588648013,1494912
1588648016,1494912
1588648019,1494912
1588648022,1494912
1588648025,1494912
1588648028,1494912
1588648031,1494912
1588648034,1494912
1588648037,1494912
1588648040,1494912
1588648043,1494912
1588648046,1494912
1588648049,1494912
1588648052,1494912
1588648055,1494912
1588648058,1494912
1588648061,1494912
1588648064,1494912
1588648067,1494912
1588648070,1494912
1588648073,1494912
1588648076,1494912
1588648079,1494912
1588648082,1494912
1588648085,1494912
1588648088,1494912
1588648091,1494912
1588648094,1494912
1588648097,1494912
1588648100,1494912
1588648103,1494912
1588648106,1494912
1588648109,1494912
1588648112,1494912
1588648115,1494912
1588648118,1494912
1588648121,1494912
1588648124,1494912
1588648127,1494912
1588648130,1494912
1588648133,1494912
1588648136,1494912
1588648139,1494912
1588648142,1494912
1588648145,1506816
1588648148,1494912
1588648151,1494912
1588648154,1494912
1588648157,1494912
1588648160,1494912
1588648163,1494912
1588648166,1494912
1588648169,1494912
1588648172,1494912
1588648175,1494912
1588648178,1494912
1588648181,1494912
1588648184,1494912
1588648187,1494912
1588648190,1494912
1588648193,1494912
1588648196,1494912
1588648199,1494912
1588648202,1494912
1588648205,1494912
1588648208,1494912
1588648211,1494912
1588648214,1494912
1588648217,1494912
1588648220,1494912
1588648223,1494912
1588648226,1494912
1588648229,1494912
1588648232,1494912
1588648235,1494912
1588648238,1494912
1588648241,1494912
1588648244,1494912
1588648247,1494912
1588648250,1494912
1588648253,1494912
1588648256,1494912
1588648259,1494912
1588648262,1494912
1588648265,1494912
1588648268,1494912
1588648271,1494912
1588648274,1494912
1588648277,1494912
1588648280,1494912
1588648283,1494912
1588648286,1494912
1588648289,1494912
1588648292,1494912
1588648295,1494912
1588648298,1494912
1588648301,1494912
1588648304,1494912
1588648307,1494912
1588648310,1494912
1588648313,1494912
1588648316,1494912
1588648319,1494912
1588648322,1494912
1588648325,1494912
1588648328,1494912
1588648331,1494912
1588648334,1494912
1588648337,1494912
1588648340,1494912
1588648343,1494912
1588648346,1494912
1588648349,1494912
1588648352,1494912
1588648355,1494912
1588648358,1494912
1588648361,1494912
1588648364,1494912
1588648367,1494912
1588648370,1494912
1588648373,1494912
1588648376,1494912
1588648379,1494912
1588648382,1494912
1588648385,1494912
1588648388,1494912
1588648391,1494912
1588648394,1494912
1588648397,1494912
1588648400,1494912
1588648403,1494912
1588648406,1494912
1588648409,1494912
1588648412,1494912
1588648415,1494912
1588648418,1494912
1588648421,1494912
1588648424,1494912
1588648427,1494912
1588648430,1494912
1588648433,1494912
1588648436,1494912
1588648439,1494912
1588648442,1494912
1588648445,1494912
1588648448,1494912
1588648451,1494912
1588648454,1494912
1588648457,1494912
1588648460,1494912
1588648463,1494912
1588648466,1494912
1588648469,1494912
1588648472,1494912
1588648475,1494912
1588648478,1494912
1588648481,1494912
1588648484,1494912
1588648487,1494912
1588648490,1494912
1588648493,1494912
1588648496,1494912
1588648499,1494912
1588648502,1494912
1588648505,1494912
1588648508,1494912
1588648511,1494912
1588648514,1494912
1588648517,1494912
1588648520,1496960
1588648523,1496960
1588648526,1496960
1588648529,1496960
1588648532,1496960
1588648535,1496960
1588648538,1496960
1588648541,1496960
1588648544,1496960
1588648547,1496960
1588648550,1496960
1588648553,1496960
1588648556,1496960
1588648559,1496960
1588648562,1496960
1588648565,1496960
1588648568,1496960
1588648571,1496960
1588648574,1496960
1588648577,1496960
1588648580,1496960
1588648583,1496960
1588648586,1496960
1588648589,1496960
1588648592,1496960
1588648595,1496960
1588648598,1501952
1588648601,1501952
1588648604,1501952
1588648607,1501952
1588648610,1501952
1588648613,1501952
1588648616,1501952
1588648619,1501952
1588648622,1501952
1588648625,1501952
1588648628,1501952
1588648631,1501952
1588648634,1501952
1588648637,1501952
1588648640,1501952
1588648643,1501952
1588648646,1501952
1588648649,1501952
1588648652,1501952
1588648655,1501952
1588648658,1501952
1588648661,1501952
1588648664,1501952
1588648667,1501952
1588648670,1501952
1588648673,1501952
1588648676,1501952
1588648679,1501952
1588648682,1501952
1588648685,1501952
1588648688,1501952
1588648691,1501952
1588648694,1501952
1588648697,1501952
1588648700,1501952
1588648703,1501952
1588648706,1501952
1588648709,1501952
1588648712,1501952
1588648715,1501952
1588648718,1501952
1588648721,1501952
1588648724,1501952
1588648727,1501952
1588648730,1501952
1588648733,1503744
1588648736,1503744
1588648739,1503744
1588648742,1503744
1588648745,1503744
1588648748,1503744
1588648751,1503744
1588648754,1503744
1588648757,1503744
1588648760,1503744
1588648763,1503744
1588648766,1503744
1588648769,1503744
1588648772,1503744
1588648775,1503744
