t,value
1588647995,3663616
1588647998,4552320
1588648001,4954112
1588648004,5022592
1588648007,5121920
1588648010,5156864
1588648013,5196544
1588648016,5261312
1588648019,5425792
1588648022,5431168
1588648025,5475200
1588648028,5493504
1588648031,5499264
1588648034,5502336
1588648037,5538560
1588648040,5541760
1588648043,5543552
1588648046,5548672
1588648049,5553664
1588648052,5633152
1588648055,5640960
1588648058,5711488
1588648061,5713152
1588648064,5722624
1588648067,5727744
1588648070,5733760
1588648073,5734400
1588648076,5764224
1588648079,5851392
1588648082,5853056
1588648085,5860480
1588648088,5871616
1588648091,5882112
1588648094,5883008
1588648097,5912448
1588648100,5962624
1588648103,5964032
1588648106,5964800
1588648109,5966080
1588648112,6004224
1588648115,6004224
1588648118,6028288
1588648121,6042240
1588648124,6048384
1588648127,6048384
1588648130,6052736
1588648133,6059136
1588648136,6076800
1588648139,6089472
1588648142,6117632
1588648145,6121600
1588648148,6121600
1588648151,6124416
1588648154,6124416
1588648157,6225664
1588648160,6225664
1588648163,6225664
1588648166,6225664
1588648169,6225664
1588648172,6268416
1588648175,6271232
1588648178,6289152
1588648181,6289152
1588648184,6292480
1588648187,6294144
1588648190,6294144
1588648193,6294144
1588648196,6312448
1588648199,6333824
1588648202,6351872
1588648205,6356480
1588648208,6356480
1588648211,6357248
1588648214,6359168
1588648217,6384000
1588648220,6385280
1588648223,6385280
1588648226,6385280
1588648229,6385280
1588648232,6388224
1588648235,6388224
1588648238,6407424
1588648241,6409216
1588648244,6410240
1588648247,6410240
1588648250,6414720
1588648253,6416256
1588648256,6431872
1588648259,6442240
1588648262,6447616
1588648265,6468352
1588648268,6468352
1588648271,6469248
1588648274,6470016
1588648277,6516608
1588648280,6521344
1588648283,6521344
1588648286,6521344
1588648289,6521344
1588648292,6523264
1588648295,6523264
1588648298,6548864
1588648301,6555776
1588648304,6558464
1588648307,6558464
1588648310,6569984
1588648313,6569984
1588648316,6585088
1588648319,6597120
1588648322,6597120
1588648325,6604288
1588648328,6604288
1588648331,6609024
1588648334,6609024
1588648337,6683008
1588648340,6683008
1588648343,6683008
1588648346,6683008
1588648349,6683008
1588648352,6702080
1588648355,6703872
1588648358,6724096
1588648361,6724096
1588648364,6724096
1588648367,6724096
1588648370,6724096
1588648373,6724096
1588648376,6724096
1588648379,6744576
1588648382,6744576
1588648385,6744576
1588648388,6744576
1588648391,6744576
1588648394,6744576
1588648397,6780032
1588648400,6780032
1588648403,6780032
1588648406,6780800
1588648409,6780800
1588648412,6783616
1588648415,6784384
1588648418,6810880
1588648421,6816256
1588648424,6816256
1588648427,6816256
1588648430,6816256
1588648433,6816256
1588648436,6818304
1588648439,6832128
1588648442,6843776
1588648445,6850432
1588648448,6855040
1588648451,6862208
1588648454,6862208
1588648457,6892032
1588648460,6895360
1588648463,6905344
1588648466,6907520
1588648469,6916992
1588648472,6922752
1588648475,6951168
1588648478,6993152
