t,value
1588647995,12099712
1588647998,15961856
1588648001,18119680
1588648004,18197760
1588648007,18317312
1588648010,18427392
1588648013,18537600
1588648016,18760704
1588648019,19308288
1588648022,19324928
1588648025,19330688
1588648028,19379456
1588648031,19382016
1588648034,19386368
1588648037,19555200
1588648040,19561600
1588648043,19564672
1588648046,19564672
1588648049,19574528
1588648052,19706496
1588648055,19716096
1588648058,19955840
1588648061,19977600
1588648064,20020096
1588648067,20042240
1588648070,20049152
1588648073,20050688
1588648076,20104832
1588648079,20185216
1588648082,20194816
1588648085,20196480
1588648088,20202624
1588648091,20220288
1588648094,20248704
1588648097,20440320
1588648100,20467200
1588648103,20469120
1588648106,20469120
1588648109,20471936
1588648112,20545152
1588648115,20547072
1588648118,20640640
1588648121,20640640
1588648124,20648064
1588648127,20650880
1588648130,20650880
1588648133,20654592
1588648136,20768768
1588648139,20790272
1588648142,20795008
1588648145,20795008
1588648148,20795008
1588648151,20802560
1588648154,20802560
1588648157,21101312
1588648160,21101312
1588648163,21101312
1588648166,21101312
1588648169,21101312
1588648172,21174144
1588648175,21174144
1588648178,21367296
1588648181,21367296
1588648184,21386880
1588648187,21406208
1588648190,21406208
1588648193,21407872
1588648196,21460608
1588648199,21530880
1588648202,21530880
1588648205,21530880
1588648208,21530880
1588648211,21530880
1588648214,21550336
1588648217,21683968
1588648220,21683968
1588648223,21683968
1588648226,21685504
1588648229,21685504
1588648232,21718656
1588648235,21718656
1588648238,21836032
1588648241,21836032
1588648244,21837568
1588648247,21854464
1588648250,21854464
1588648253,21863296
1588648256,21932800
1588648259,21962112
1588648262,21965696
1588648265,21965696
1588648268,21965696
1588648271,21965696
1588648274,21965696
1588648277,22043392
1588648280,22047104
1588648283,22062848
1588648286,22062848
1588648289,22062848
1588648292,22088320
1588648295,22089856
1588648298,22187776
1588648301,22209408
1588648304,22236928
1588648307,22246016
1588648310,22302208
1588648313,22327296
1588648316,22370688
1588648319,22398976
1588648322,22398976
1588648325,22398976
1588648328,22398976
1588648331,22401408
1588648334,22410624
1588648337,22449920
1588648340,22452608
1588648343,22452608
1588648346,22454400
1588648349,22460928
1588648352,22474368
1588648355,22474368
1588648358,22553472
1588648361,22553472
1588648364,22555904
1588648367,22555904
1588648370,22562816
1588648373,22562816
1588648376,22572800
1588648379,22723200
1588648382,22723200
1588648385,22723200
1588648388,22723200
1588648391,22723200
1588648394,22723200
1588648397,22787328
1588648400,22787328
1588648403,22787328
1588648406,22787328
1588648409,22787328
1588648412,22821504
1588648415,22821504
1588648418,22904832
1588648421,22904832
1588648424,22904832
1588648427,22904832
1588648430,22904832
1588648433,22904832
1588648436,22904832
1588648439,22982144
1588648442,23047168
1588648445,23120640
1588648448,23138688
1588648451,23171072
1588648454,23193472
1588648457,23239424
1588648460,23292416
1588648463,23303936
1588648466,23312384
1588648469,23340032
1588648472,23340032
1588648475,23349632
1588648478,23430144
1588648481,23475968
