t,value
1588647995,13715144
1588647998,14992952
1588648001,15468432
1588648004,15468432
1588648007,15500592
1588648010,15500592
1588648013,15500592
1588648016,15515616
1588648019,15520256
1588648022,15520256
1588648025,15520256
1588648028,15520256
1588648031,15520256
1588648034,15520256
1588648037,15521360
1588648040,15521360
1588648043,15521360
1588648046,15521360
1588648049,15521360
1588648052,15522568
1588648055,15522568
1588648058,15522568
1588648061,15522568
1588648064,15522568
1588648067,15522568
1588648070,15522568
1588648073,15522568
1588648076,15522568
1588648079,15522568
1588648082,15522568
1588648085,15522568
1588648088,15522568
1588648091,15522568
1588648094,15522568
1588648097,15522568
1588648100,15522568
1588648103,15522568
1588648106,15522568
1588648109,15522568
1588648112,15522568
1588648115,15522568
1588648118,15522568
1588648121,15522568
1588648124,15522568
1588648127,15522568
1588648130,15522568
1588648133,15522568
1588648136,15522568
1588648139,15522568
1588648142,15522568
1588648145,15522568
1588648148,15522568
1588648151,15522568
1588648154,15522568
1588648157,15568792
1588648160,15568792
1588648163,15568792
1588648166,15568792
1588648169,15568792
1588648172,15568792
1588648175,15568792
1588648178,15568792
1588648181,15568792
1588648184,15568792
1588648187,15568792
1588648190,15568792
1588648193,15568792
1588648196,15568792
1588648199,15568792
1588648202,15568792
1588648205,15568792
1588648208,15568792
1588648211,15568792
1588648214,15568792
1588648217,15568792
1588648220,15568792
1588648223,15568792
1588648226,15568792
1588648229,15568792
1588648232,15568792
1588648235,15568792
1588648238,15568792
1588648241,15568792
1588648244,15568792
1588648247,15568792
1588648250,15568792
1588648253,15568792
1588648256,15568792
1588648259,15568792
1588648262,15568792
1588648265,15568792
1588648268,15568792
1588648271,15568792
1588648274,15568792
1588648277,15568792
1588648280,15568792
1588648283,15568792
1588648286,15568792
1588648289,15568792
1588648292,15569296
1588648295,15569296
1588648298,15569296
1588648301,15569296
1588648304,15569296
1588648307,15569296
1588648310,15569296
1588648313,15569296
1588648316,15569296
1588648319,15569296
1588648322,15569296
1588648325,15569296
1588648328,15569296
1588648331,15569296
1588648334,15569296
1588648337,15569296
1588648340,15569296
1588648343,15569296
1588648346,15569296
1588648349,15569296
1588648352,15569296
1588648355,15569296
1588648358,15569296
1588648361,15569296
1588648364,15569296
1588648367,15569296
1588648370,15569296
1588648373,15569296
1588648376,15569296
1588648379,15569296
1588648382,15569296
1588648385,15569296
1588648388,15569296
1588648391,15569296
1588648394,15569296
1588648397,15569296
1588648400,15569296
1588648403,15569296
1588648406,15569296
1588648409,15569296
1588648412,15569848
1588648415,15569848
1588648418,15569848
1588648421,15569848
1588648424,15569848
1588648427,15569848
1588648430,15569848
1588648433,15569848
1588648436,15569848
1588648439,15569848
1588648442,15574272
1588648445,15574272
1588648448,15574272
1588648451,15574272
1588648454,15574272
1588648457,15575296
1588648460,15575296
1588648463,15580464
1588648466,15580464
1588648469,15580464
1588648472,15580464
1588648475,15580464
1588648478,15580464
1588648481,15580464
1588648484,15580464
1588648487,15580464
1588648490,15580464
1588648493,15580464
1588648496,15580464
1588648499,15580464
1588648502,15580464
1588648505,15580464
1588648508,15580464
1588648511,15580464
1588648514,15580464
1588648517,15580464
1588648520,15865592
1588648523,15865592
1588648526,15867016
1588648529,15867016
1588648532,15867016
1588648535,15867016
1588648538,15867016
1588648541,15867016
1588648544,15867016
1588648547,15867016
1588648550,15867016
1588648553,15867016
1588648556,15867016
1588648559,15867016
1588648562,15867016
1588648565,15867016
1588648568,15867016
1588648571,15867016
1588648574,15867016
1588648577,15867016
1588648580,15867016
1588648583,15867016
1588648586,15867016
1588648589,15867016
1588648592,15867016
1588648595,15867016
1588648598,15873184
1588648601,15873184
1588648604,15873184
1588648607,15873184
1588648610,15873184
1588648613,15873184
1588648616,15873184
1588648619,15873184
1588648622,15873184
1588648625,15873184
1588648628,15873184
1588648631,15873184
1588648634,15873184
1588648637,15873184
1588648640,15873184
1588648643,15873184
1588648646,15873184
1588648649,15873184
1588648652,15873184
1588648655,15873184
1588648658,15873184
1588648661,15873184
1588648664,15873184
1588648667,15873184
1588648670,15873184
1588648673,15873184
1588648676,15873184
1588648679,15873184
1588648682,15873184
1588648685,15873184
1588648688,15873184
1588648691,15873184
1588648694,15873184
1588648697,15873184
1588648700,15881008
1588648703,15881008
1588648706,15881008
1588648709,15881008
1588648712,15881008
1588648715,15881008
1588648718,15881008
1588648721,15881008
1588648724,15881008
1588648727,15881008
1588648730,15881008
1588648733,15927184
1588648736,15927184
1588648739,15927184
1588648742,15927184
1588648745,15927184
1588648748,15927184
1588648751,15927184
1588648754,15927184
1588648757,15927184
1588648760,15927184
1588648763,15927184
1588648766,15927184
1588648769,15927184
1588648772,15927184
1588648775,15927184
1588648778,15927184
1588648781,15927184
1588648784,15927184
1588648787,15927184
1588648790,15927184
1588648793,15927184
1588648796,15927184
1588648799,15927184
1588648802,15927184
1588648805,15927184
1588648808,15927184
1588648811,15927184
1588648814,15927184
1588648817,15927184
1588648820,15927184
1588648823,15927184
1588648826,15927184
1588648829,15927184
1588648832,15927184
1588648835,15927184
1588648838,15927184
1588648841,15927184
1588648844,15927184
1588648847,15927184
1588648850,15927184
1588648853,15927184
1588648856,15927184
1588648859,15927184
1588648862,15927184
1588648865,15927184
1588648868,15927184
1588648871,15927184
1588648874,15927184
1588648877,15927184
1588648880,15927184
1588648883,15927184
1588648886,15927184
1588648889,15927184
1588648892,15927184
1588648895,15927184
1588648898,15927184
1588648901,15927184
1588648904,15927184
1588648907,15927184
1588648910,15927184
1588648913,15927184
1588648916,15927184
1588648919,15927184
1588648922,15927184
1588648925,15927184
1588648928,15927184
1588648931,15927184
1588648934,15927184
1588648937,15927184
1588648940,15927184
1588648943,15927184
1588648946,15927184
1588648949,15927184
1588648952,15927184
1588648955,15927184
1588648958,15927768
1588648961,15927768
1588648964,15927768
1588648967,15927768
1588648970,15927768
1588648973,15927768
1588648976,15927768
1588648979,15927768
1588648982,15927768
1588648985,15927768
1588648988,15927768
1588648991,15927768
1588648994,15927768
1588648997,15927768
1588649000,15927768
1588649003,15927768
1588649006,15927768
1588649009,15927768
1588649012,15927768
1588649015,15927768
1588649018,15927768
1588649021,15927768
1588649024,15927768
1588649027,15927768
1588649030,15927768
1588649033,15927768
1588649036,15927768
1588649039,15927768
1588649042,15927768
1588649045,15927768
1588649048,15927768
1588649051,15927768
1588649054,15927768
1588649057,15927768
