t,value
1588647995,79691776
1588647998,179306496
1588648001,219152384
1588648004,220200960
1588648007,222298112
1588648010,223346688
1588648013,224395264
1588648016,228589568
1588648019,234881024
1588648022,234881024
1588648025,235929600
1588648028,236978176
1588648031,236978176
1588648034,238026752
1588648037,241172480
1588648040,242221056
1588648043,243269632
1588648046,243269632
1588648049,244318208
1588648052,266338304
1588648055,268435456
1588648058,270532608
1588648061,271581184
1588648064,271581184
1588648067,272629760
1588648070,273678336
1588648073,273678336
1588648076,277872640
1588648079,278921216
1588648082,278921216
1588648085,279969792
1588648088,279969792
1588648091,281018368
1588648094,282066944
1588648097,285212672
1588648100,286261248
1588648103,286261248
1588648106,287309824
1588648109,288358400
1588648112,6291456
1588648115,8388608
1588648118,13631488
1588648121,13631488
1588648124,14680064
1588648127,14680064
1588648130,15728640
1588648133,16777216
1588648136,20971520
1588648139,22020096
1588648142,22020096
1588648145,23068672
1588648148,24117248
1588648151,24117248
1588648154,25165824
1588648157,34603008
1588648160,35651584
1588648163,35651584
1588648166,36700160
1588648169,36700160
1588648172,57671680
1588648175,58720256
1588648178,60817408
1588648181,61865984
1588648184,61865984
1588648187,62914560
1588648190,63963136
1588648193,63963136
1588648196,67108864
1588648199,68157440
1588648202,68157440
1588648205,69206016
1588648208,69206016
1588648211,70254592
1588648214,71303168
1588648217,74448896
1588648220,75497472
1588648223,75497472
1588648226,76546048
1588648229,77594624
1588648232,98566144
1588648235,98566144
1588648238,102760448
1588648241,102760448
1588648244,103809024
1588648247,104857600
1588648250,104857600
1588648253,105906176
1588648256,108003328
1588648259,109051904
1588648262,110100480
1588648265,110100480
1588648268,111149056
1588648271,112197632
1588648274,113246208
1588648277,116391936
1588648280,116391936
1588648283,117440512
1588648286,117440512
1588648289,118489088
1588648292,138412032
1588648295,139460608
1588648298,142606336
1588648301,143654912
1588648304,144703488
1588648307,144703488
1588648310,145752064
1588648313,146800640
1588648316,149946368
1588648319,150994944
1588648322,150994944
1588648325,152043520
1588648328,153092096
1588648331,153092096
1588648334,154140672
1588648337,157286400
1588648340,157286400
1588648343,158334976
1588648346,159383552
1588648349,159383552
1588648352,179306496
1588648355,180355072
1588648358,183500800
1588648361,184549376
1588648364,184549376
1588648367,185597952
1588648370,185597952
1588648373,186646528
1588648376,187695104
1588648379,189792256
1588648382,190840832
1588648385,191889408
1588648388,191889408
1588648391,192937984
1588648394,193986560
1588648397,197132288
1588648400,197132288
1588648403,198180864
1588648406,199229440
1588648409,199229440
1588648412,219152384
1588648415,220200960
1588648418,223346688
1588648421,223346688
1588648424,224395264
1588648427,225443840
1588648430,225443840
1588648433,226492416
1588648436,226492416
1588648439,230686720
1588648442,231735296
1588648445,232783872
1588648448,234881024
1588648451,234881024
1588648454,235929600
1588648457,238026752
1588648460,239075328
1588648463,240123904
1588648466,241172480
1588648469,242221056
1588648472,263192576
1588648475,264241152
1588648478,267386880
1588648481,268435456
1588648484,270532608
1588648487,271581184
1588648490,273678336
1588648493,274726912
1588648496,274726912
1588648499,277872640
1588648502,278921216
1588648505,279969792
1588648508,282066944
1588648511,283115520
1588648514,284164096
1588648517,287309824
1588648520,7340032
1588648523,8388608
1588648526,9437184
1588648529,10485760
1588648532,31457280
1588648535,32505856
1588648538,36700160
1588648541,38797312
1588648544,39845888
1588648547,40894464
1588648550,42991616
1588648553,44040192
1588648556,46137344
1588648559,49283072
1588648562,51380224
1588648565,51380224
1588648568,52428800
1588648571,53477376
1588648574,54525952
1588648577,56623104
1588648580,57671680
1588648583,58720256
1588648586,59768832
1588648589,60817408
1588648592,81788928
1588648595,83886080
1588648598,88080384
1588648601,89128960
1588648604,90177536
1588648607,91226112
1588648610,92274688
1588648613,93323264
1588648616,95420416
1588648619,98566144
1588648622,99614720
1588648625,100663296
1588648628,101711872
1588648631,103809024
1588648634,104857600
1588648637,108003328
1588648640,109051904
1588648643,109051904
1588648646,111149056
1588648649,114294784
1588648652,135266304
1588648655,135266304
1588648658,138412032
1588648661,139460608
1588648664,139460608
1588648667,140509184
1588648670,141557760
1588648673,141557760
1588648676,142606336
1588648679,145752064
1588648682,146800640
1588648685,149946368
1588648688,150994944
1588648691,152043520
1588648694,153092096
1588648697,157286400
1588648700,158334976
1588648703,161480704
1588648706,162529280
1588648709,162529280
1588648712,183500800
1588648715,184549376
1588648718,187695104
1588648721,188743680
1588648724,188743680
1588648727,189792256
1588648730,189792256
1588648733,195035136
1588648736,196083712
1588648739,199229440
1588648742,200278016
1588648745,200278016
1588648748,201326592
1588648751,202375168
1588648754,203423744
1588648757,205520896
1588648760,206569472
1588648763,206569472
1588648766,207618048
1588648769,207618048
1588648772,228589568
1588648775,229638144
1588648778,231735296
1588648781,231735296
1588648784,232783872
1588648787,233832448
1588648790,233832448
1588648793,234881024
1588648796,234881024
1588648799,239075328
1588648802,240123904
1588648805,240123904
1588648808,241172480
1588648811,241172480
1588648814,242221056
1588648817,244318208
1588648820,245366784
1588648823,246415360
1588648826,246415360
1588648829,247463936
1588648832,267386880
1588648835,268435456
1588648838,271581184
1588648841,271581184
1588648844,272629760
1588648847,272629760
1588648850,273678336
1588648853,274726912
1588648856,275775488
1588648859,277872640
1588648862,277872640
1588648865,278921216
1588648868,278921216
1588648871,279969792
1588648874,281018368
1588648877,284164096
1588648880,284164096
1588648883,285212672
1588648886,285212672
1588648889,286261248
1588648892,1048576
1588648895,3145728
1588648898,7340032
1588648901,7340032
1588648904,8388608
1588648907,8388608
1588648910,9437184
1588648913,10485760
1588648916,10485760
1588648919,13631488
1588648922,14680064
1588648925,15728640
1588648928,15728640
1588648931,16777216
1588648934,17825792
1588648937,19922944
1588648940,20971520
1588648943,20971520
1588648946,22020096
1588648949,23068672
1588648952,42991616
1588648955,44040192
1588648958,47185920
1588648961,48234496
1588648964,48234496
1588648967,49283072
1588648970,50331648
1588648973,50331648
1588648976,51380224
1588648979,57671680
1588648982,57671680
1588648985,58720256
1588648988,59768832
1588648991,60817408
1588648994,60817408
1588648997,65011712
1588649000,69206016
1588649003,69206016
1588649006,70254592
1588649009,72351744
1588649012,93323264
1588649015,93323264
1588649018,97517568
1588649021,97517568
1588649024,98566144
1588649027,98566144
1588649030,99614720
1588649033,99614720
1588649036,100663296
1588649039,103809024
1588649042,103809024
1588649045,104857600
1588649048,105906176
1588649051,105906176
1588649054,106954752
1588649057,110100480
1588649060,110100480
1588649063,111149056
1588649066,112197632
1588649069,112197632
1588649072,133169152
1588649075,133169152
1588649078,136314880
1588649081,137363456
1588649084,137363456
1588649087,138412032
1588649090,138412032
1588649093,139460608
1588649096,140509184
1588649099,143654912
1588649102,143654912
1588649105,144703488
1588649108,145752064
1588649111,145752064
1588649114,146800640
1588649117,149946368
1588649120,149946368
1588649123,150994944
1588649126,150994944
1588649129,152043520
1588649132,171966464
1588649135,173015040
1588649138,176160768
1588649141,176160768
1588649144,177209344
1588649147,177209344
1588649150,178257920
1588649153,179306496
1588649156,179306496
1588649159,182452224
1588649162,183500800
1588649165,184549376
1588649168,185597952
1588649171,186646528
1588649174,186646528
1588649177,190840832
1588649180,196083712
1588649183,198180864
1588649186,201326592
1588649189,202375168
1588649192,223346688
1588649195,223346688
1588649198,227540992
1588649201,238026752
1588649204,239075328
1588649207,240123904
1588649210,241172480
1588649213,241172480
1588649216,242221056
1588649219,245366784
1588649222,245366784
1588649225,246415360
1588649228,247463936
1588649231,247463936
1588649234,248512512
1588649237,250609664
1588649240,251658240
1588649243,251658240
1588649246,252706816
1588649249,253755392
1588649252,273678336
1588649255,274726912
1588649258,277872640
1588649261,277872640
1588649264,278921216
