t,value
1588647995,29556752
1588647998,29556752
1588648001,29556752
1588648004,29556752
1588648007,29556752
1588648010,29556752
1588648013,29556752
1588648016,29556752
1588648019,29556752
1588648022,29556752
1588648025,29556752
1588648028,29556752
1588648031,29556752
1588648034,29556752
1588648037,29556752
1588648040,29556752
1588648043,29556752
1588648046,29556752
1588648049,29556752
1588648052,29556752
1588648055,29556752
1588648058,29556752
1588648061,29556752
1588648064,29556752
1588648067,29556752
1588648070,29556752
1588648073,29556752
1588648076,29556752
1588648079,29556752
1588648082,29556752
1588648085,29556752
1588648088,29556752
1588648091,29556752
1588648094,29556752
1588648097,29556752
1588648100,29556752
1588648103,29556752
1588648106,29556752
1588648109,29556752
1588648112,30690816
1588648115,30690816
1588648118,30690816
1588648121,30690816
1588648124,30690816
1588648127,30690816
1588648130,30690816
1588648133,30690816
1588648136,30690816
1588648139,30690816
1588648142,30690816
1588648145,30690816
1588648148,30690816
1588648151,30690816
1588648154,30690816
1588648157,30690816
1588648160,30690816
1588648163,30690816
1588648166,30690816
1588648169,30690816
1588648172,30690816
1588648175,30690816
1588648178,30690816
1588648181,30690816
1588648184,30690816
1588648187,30690816
1588648190,30690816
1588648193,30690816
1588648196,30690816
1588648199,30690816
1588648202,30690816
1588648205,30690816
1588648208,30690816
1588648211,30690816
1588648214,30690816
1588648217,30690816
1588648220,30690816
1588648223,30690816
1588648226,30690816
1588648229,30690816
1588648232,30690816
1588648235,30690816
1588648238,30690816
1588648241,30690816
1588648244,30690816
1588648247,30690816
1588648250,30690816
1588648253,30690816
1588648256,30690816
1588648259,30690816
1588648262,30690816
1588648265,30690816
1588648268,30690816
1588648271,30690816
1588648274,30690816
1588648277,30690816
1588648280,30690816
1588648283,30690816
1588648286,30690816
1588648289,30690816
1588648292,30690816
1588648295,30690816
1588648298,30690816
1588648301,30690816
1588648304,30690816
1588648307,30690816
1588648310,30690816
1588648313,30690816
1588648316,30690816
1588648319,30690816
1588648322,30690816
1588648325,30690816
