t,value
1588647995,18874368
1588647998,18874368
1588648001,18874368
1588648004,18874368
1588648007,18874368
1588648010,18874368
1588648013,18874368
1588648016,18874368
1588648019,18874368
1588648022,18874368
1588648025,18874368
1588648028,18874368
1588648031,18874368
1588648034,18874368
1588648037,18874368
1588648040,18874368
1588648043,18874368
1588648046,18874368
1588648049,18874368
1588648052,18874368
1588648055,18874368
1588648058,18874368
1588648061,18874368
1588648064,18874368
1588648067,18874368
1588648070,18874368
1588648073,18874368
1588648076,18874368
1588648079,18874368
1588648082,18874368
1588648085,18874368
1588648088,18874368
1588648091,18874368
1588648094,18874368
1588648097,18874368
1588648100,18874368
1588648103,18874368
1588648106,18874368
1588648109,18874368
1588648112,30408704
1588648115,30408704
1588648118,30408704
1588648121,30408704
1588648124,30408704
1588648127,30408704
1588648130,30408704
1588648133,30408704
1588648136,30408704
1588648139,30408704
1588648142,30408704
1588648145,30408704
1588648148,30408704
1588648151,30408704
1588648154,30408704
1588648157,30408704
1588648160,30408704
1588648163,30408704
1588648166,30408704
1588648169,30408704
1588648172,30408704
1588648175,30408704
1588648178,30408704
1588648181,30408704
1588648184,30408704
1588648187,30408704
1588648190,30408704
1588648193,30408704
1588648196,30408704
1588648199,30408704
1588648202,30408704
1588648205,30408704
1588648208,30408704
1588648211,30408704
1588648214,30408704
1588648217,30408704
1588648220,30408704
1588648223,30408704
1588648226,30408704
1588648229,30408704
1588648232,30408704
1588648235,30408704
1588648238,30408704
1588648241,30408704
1588648244,30408704
1588648247,30408704
1588648250,30408704
1588648253,30408704
1588648256,30408704
1588648259,30408704
1588648262,30408704
1588648265,30408704
1588648268,30408704
1588648271,30408704
1588648274,30408704
1588648277,30408704
1588648280,30408704
1588648283,30408704
1588648286,30408704
1588648289,30408704
1588648292,30408704
1588648295,30408704
1588648298,30408704
1588648301,30408704
1588648304,30408704
1588648307,30408704
1588648310,30408704
1588648313,30408704
1588648316,30408704
1588648319,30408704
1588648322,30408704
1588648325,30408704
1588648328,30408704
1588648331,30408704
1588648334,30408704
1588648337,30408704
1588648340,30408704
1588648343,30408704
1588648346,30408704
1588648349,30408704
1588648352,30408704
1588648355,30408704
1588648358,30408704
1588648361,30408704
1588648364,30408704
1588648367,30408704
1588648370,30408704
1588648373,30408704
1588648376,30408704
1588648379,30408704
1588648382,30408704
1588648385,30408704
1588648388,30408704
1588648391,30408704
1588648394,30408704
1588648397,30408704
1588648400,30408704
1588648403,30408704
1588648406,30408704
1588648409,30408704
1588648412,30408704
1588648415,30408704
1588648418,30408704
1588648421,30408704
1588648424,30408704
1588648427,30408704
1588648430,30408704
1588648433,30408704
1588648436,30408704
1588648439,30408704
1588648442,30408704
1588648445,30408704
1588648448,30408704
1588648451,30408704
1588648454,30408704
1588648457,30408704
1588648460,30408704
1588648463,30408704
1588648466,30408704
1588648469,30408704
1588648472,30408704
1588648475,30408704
1588648478,30408704
1588648481,30408704
1588648484,30408704
1588648487,30408704
1588648490,30408704
1588648493,30408704
1588648496,30408704
1588648499,30408704
1588648502,30408704
1588648505,30408704
1588648508,30408704
1588648511,30408704
1588648514,30408704
1588648517,30408704
1588648520,15728640
1588648523,15728640
1588648526,15728640
1588648529,15728640
1588648532,15728640
1588648535,15728640
1588648538,15728640
