t,value
1588647995,96138896
1588647998,103626600
1588648001,106241640
1588648004,106256872
1588648007,106420096
1588648010,106449384
1588648013,106480936
1588648016,106592048
1588648019,106767568
1588648022,106770744
1588648025,106772904
1588648028,106789232
1588648031,106789632
1588648034,106790312
1588648037,106862720
1588648040,106865816
1588648043,106868336
1588648046,106868336
1588648049,106868336
1588648052,106909376
1588648055,106912416
1588648058,106986832
1588648061,106994088
1588648064,107004936
1588648067,107010232
1588648070,107012784
1588648073,107013224
1588648076,107031712
1588648079,107045744
1588648082,107047168
1588648085,107048424
1588648088,107050608
1588648091,107053984
1588648094,107061152
1588648097,107105824
1588648100,107112296
1588648103,107112952
1588648106,107112952
1588648109,107112952
1588648112,107130752
1588648115,107131128
1588648118,107147368
1588648121,107147688
1588648124,107150328
1588648127,107152384
1588648130,107152384
1588648133,107153816
1588648136,107172640
1588648139,107186504
1588648142,107187480
1588648145,107187480
1588648148,107187480
1588648151,107189736
1588648154,107189736
1588648157,107404712
1588648160,107404712
1588648163,107404712
1588648166,107404712
1588648169,107404712
1588648172,107419984
1588648175,107419984
1588648178,107463376
1588648181,107466640
1588648184,107468312
1588648187,107474248
1588648190,107474248
1588648193,107474248
1588648196,107492248
1588648199,107513784
1588648202,107513784
1588648205,107513784
1588648208,107513784
1588648211,107519032
1588648214,107519032
1588648217,107566392
1588648220,107566392
1588648223,107566392
1588648226,107566768
1588648229,107566768
1588648232,107581056
1588648235,107581056
1588648238,107624152
1588648241,107624152
1588648244,107624152
1588648247,107630520
1588648250,107630520
1588648253,107634040
1588648256,107653480
1588648259,107661304
1588648262,107662128
1588648265,107662128
1588648268,107662128
1588648271,107662128
1588648274,107662128
1588648277,107680192
1588648280,107681512
1588648283,107687304
1588648286,107687304
1588648289,107687304
1588648292,107695016
1588648295,107695512
1588648298,107713728
1588648301,107725232
1588648304,107729512
1588648307,107729512
1588648310,107735280
1588648313,107749008
1588648316,107762936
1588648319,107772320
1588648322,107772320
1588648325,107772320
1588648328,107772320
1588648331,107772320
1588648334,107773128
1588648337,107783144
1588648340,107783624
1588648343,107783624
1588648346,107785424
1588648349,107785424
1588648352,107788704
1588648355,107788704
1588648358,107807048
1588648361,107807048
1588648364,107807976
1588648367,107808640
1588648370,107809664
1588648373,107809664
1588648376,107817088
1588648379,107864320
1588648382,107864320
1588648385,107864320
1588648388,107864320
1588648391,107864320
1588648394,107864320
1588648397,107881008
1588648400,107881008
1588648403,107881008
1588648406,107881008
1588648409,107881008
1588648412,107897760
1588648415,107897760
1588648418,107920024
1588648421,107920024
1588648424,107920024
1588648427,107920024
1588648430,107920024
1588648433,107920024
1588648436,107920024
1588648439,107938072
1588648442,107978064
1588648445,107993896
1588648448,108000920
1588648451,108006048
1588648454,108012896
1588648457,108031928
1588648460,108034088
1588648463,108055368
1588648466,108057344
1588648469,108062152
1588648472,108062392
1588648475,108065592
1588648478,108088824
1588648481,108101584
1588648484,108105888
1588648487,108128592
1588648490,108140304
1588648493,108140304
1588648496,108143528
1588648499,108162304
1588648502,108169096
1588648505,108177536
1588648508,108196368
1588648511,108217544
1588648514,108219688
1588648517,108240144
1588648520,109282176
1588648523,109284776
1588648526,109311080
1588648529,109311080
1588648532,109311576
1588648535,109311576
1588648538,109323672
1588648541,109326720
1588648544,109334288
1588648547,109346488
1588648550,109363288
1588648553,109391560
1588648556,109416528
1588648559,109452224
1588648562,109461168
1588648565,109470936
1588648568,109473616
1588648571,109477464
1588648574,109477464
1588648577,109493720
1588648580,109493720
1588648583,109499736
1588648586,109501512
1588648589,109502096
1588648592,109505672
1588648595,109506632
1588648598,109537288
1588648601,109539672
1588648604,109539672
1588648607,109540128
1588648610,109544048
1588648613,109546032
1588648616,109550160
1588648619,109583912
1588648622,109584864
1588648625,109584864
1588648628,109588952
1588648631,109600768
