t,value
1588647995,55
1588647998,75
1588648001,79
1588648004,79
1588648007,79
1588648010,79
1588648013,79
1588648016,79
1588648019,79
1588648022,79
1588648025,79
1588648028,79
1588648031,79
1588648034,79
1588648037,79
1588648040,79
1588648043,79
1588648046,79
1588648049,79
1588648052,76
1588648055,76
1588648058,76
1588648061,73
1588648064,73
1588648067,73
1588648070,73
1588648073,73
1588648076,73
1588648079,73
1588648082,73
1588648085,73
1588648088,73
1588648091,73
1588648094,73
1588648097,73
1588648100,73
1588648103,73
1588648106,73
1588648109,73
1588648112,73
1588648115,73
1588648118,73
1588648121,73
1588648124,73
1588648127,73
1588648130,73
1588648133,73
1588648136,73
1588648139,73
1588648142,73
1588648145,73
1588648148,73
1588648151,73
1588648154,73
1588648157,73
1588648160,73
1588648163,73
1588648166,73
1588648169,73
1588648172,73
1588648175,73
1588648178,73
1588648181,73
1588648184,73
1588648187,73
1588648190,73
1588648193,73
1588648196,73
1588648199,73
1588648202,73
1588648205,73
1588648208,73
1588648211,73
1588648214,73
1588648217,73
1588648220,73
1588648223,73
1588648226,73
1588648229,73
1588648232,73
1588648235,73
1588648238,73
1588648241,73
1588648244,73
1588648247,73
1588648250,73
1588648253,73
1588648256,73
1588648259,73
1588648262,73
1588648265,73
1588648268,73
1588648271,73
1588648274,73
1588648277,73
1588648280,73
1588648283,73
1588648286,73
1588648289,73
1588648292,73
1588648295,73
1588648298,73
1588648301,73
1588648304,73
1588648307,73
1588648310,73
1588648313,73
1588648316,73
1588648319,73
1588648322,73
1588648325,73
1588648328,73
1588648331,73
1588648334,73
1588648337,73
1588648340,73
1588648343,73
1588648346,73
1588648349,73
1588648352,73
1588648355,73
1588648358,73
1588648361,73
1588648364,73
1588648367,73
1588648370,73
1588648373,73
1588648376,73
1588648379,73
1588648382,73
1588648385,73
1588648388,73
1588648391,73
1588648394,73
1588648397,73
1588648400,73
1588648403,73
1588648406,73
1588648409,73
1588648412,73
1588648415,73
1588648418,73
1588648421,73
1588648424,73
1588648427,73
1588648430,73
1588648433,73
1588648436,73
1588648439,73
1588648442,73
1588648445,73
1588648448,73
1588648451,73
1588648454,73
1588648457,73
1588648460,73
1588648463,73
1588648466,73
1588648469,73
1588648472,73
1588648475,73
1588648478,73
1588648481,73
1588648484,73
1588648487,73
1588648490,73
1588648493,73
1588648496,73
1588648499,73
1588648502,73
1588648505,73
1588648508,73
1588648511,73
1588648514,73
1588648517,73
1588648520,73
1588648523,73
1588648526,73
1588648529,73
1588648532,73
1588648535,73
1588648538,73
1588648541,73
1588648544,73
1588648547,73
1588648550,73
1588648553,73
1588648556,73
1588648559,73
1588648562,73
1588648565,73
1588648568,73
1588648571,73
1588648574,73
1588648577,73
1588648580,73
1588648583,73
1588648586,73
1588648589,73
1588648592,73
1588648595,73
1588648598,75
1588648601,75
1588648604,75
1588648607,75
1588648610,75
1588648613,75
1588648616,75
1588648619,75
1588648622,75
1588648625,75
1588648628,75
1588648631,75
1588648634,75
1588648637,75
1588648640,75
1588648643,75
1588648646,75
1588648649,75
1588648652,75
1588648655,75
1588648658,75
1588648661,75
1588648664,75
1588648667,75
1588648670,75
1588648673,75
1588648676,75
1588648679,75
1588648682,75
1588648685,75
1588648688,75
1588648691,75
1588648694,75
1588648697,75
1588648700,75
1588648703,75
1588648706,75
1588648709,75
1588648712,75
1588648715,75
1588648718,75
1588648721,75
1588648724,75
1588648727,75
1588648730,75
1588648733,75
1588648736,75
1588648739,75
1588648742,75
1588648745,75
1588648748,75
1588648751,75
1588648754,75
1588648757,75
1588648760,75
1588648763,75
1588648766,75
1588648769,75
1588648772,75
1588648775,75
1588648778,75
1588648781,75
1588648784,75
1588648787,75
1588648790,75
1588648793,75
1588648796,75
1588648799,75
1588648802,75
1588648805,75
1588648808,75
1588648811,75
1588648814,75
1588648817,75
1588648820,75
1588648823,75
1588648826,75
1588648829,75
1588648832,75
1588648835,75
1588648838,75
1588648841,75
1588648844,75
1588648847,75
1588648850,75
1588648853,75
1588648856,75
1588648859,75
1588648862,75
1588648865,75
1588648868,75
1588648871,75
1588648874,75
1588648877,75
1588648880,75
1588648883,75
1588648886,75
1588648889,75
1588648892,75
1588648895,75
1588648898,75
1588648901,75
1588648904,75
1588648907,75
1588648910,75
1588648913,75
1588648916,75
1588648919,75
1588648922,75
1588648925,75
1588648928,75
1588648931,75
1588648934,75
1588648937,75
1588648940,75
1588648943,75
1588648946,75
1588648949,75
1588648952,75
1588648955,75
1588648958,75
1588648961,75
1588648964,75
1588648967,75
1588648970,75
1588648973,75
1588648976,75
1588648979,75
1588648982,75
1588648985,75
1588648988,75
1588648991,75
1588648994,75
1588648997,75
1588649000,75
1588649003,75
1588649006,75
1588649009,75
1588649012,75
1588649015,75
1588649018,75
1588649021,75
1588649024,75
1588649027,75
1588649030,75
1588649033,75
1588649036,75
1588649039,75
1588649042,75
1588649045,75
1588649048,75
1588649051,75
1588649054,75
1588649057,75
1588649060,75
1588649063,75
1588649066,75
1588649069,75
1588649072,75
1588649075,75
1588649078,75
1588649081,75
1588649084,75
1588649087,75
1588649090,75
1588649093,75
1588649096,75
1588649099,75
1588649102,75
1588649105,75
1588649108,75
1588649111,75
1588649114,75
1588649117,75
1588649120,75
1588649123,75
1588649126,75
1588649129,75
1588649132,75
1588649135,75
1588649138,75
1588649141,75
1588649144,75
1588649147,75
1588649150,75
1588649153,75
1588649156,75
1588649159,75
1588649162,75
1588649165,75
1588649168,75
1588649171,75
1588649174,75
1588649177,75
1588649180,75
1588649183,75
1588649186,75
1588649189,75
1588649192,75
1588649195,75
1588649198,75
1588649201,75
1588649204,75
1588649207,75
1588649210,75
1588649213,75
1588649216,75
1588649219,75
1588649222,75
1588649225,75
1588649228,75
1588649231,75
1588649234,75
1588649237,75
1588649240,75
1588649243,75
1588649246,75
1588649249,75
1588649252,75
1588649255,75
1588649258,75
1588649261,75
1588649264,75
1588649267,75
1588649270,75
1588649273,75
1588649276,75
1588649279,75
1588649282,75
1588649285,75
1588649288,75
1588649291,75
1588649294,75
1588649297,75
1588649300,75
1588649303,75
1588649306,75
1588649309,75
1588649312,75
1588649315,75
1588649318,75
1588649321,75
1588649324,75
1588649327,75
1588649330,75
1588649333,75
1588649336,75
1588649339,75
1588649342,75
1588649345,75
1588649348,75
1588649351,75
1588649354,75
1588649357,75
1588649360,75
1588649363,75
1588649366,75
1588649369,75
1588649372,75
1588649375,75
1588649378,75
1588649381,75
1588649384,75
1588649387,75
1588649390,75
1588649393,75
1588649396,75
1588649399,75
1588649402,75
1588649405,75
1588649408,75
1588649411,75
1588649414,75
1588649417,75
1588649420,75
1588649423,75
1588649426,75
1588649429,75
1588649432,75
1588649435,75
1588649438,75
1588649441,75
1588649444,75
1588649447,75
1588649450,75
1588649453,75
1588649456,75
1588649459,75
1588649462,75
1588649465,75
1588649468,75
1588649471,75
1588649474,75
1588649477,75
1588649480,75
1588649483,75
1588649486,75
1588649489,75
1588649492,75
1588649495,75
1588649498,75
1588649501,75
1588649504,75
1588649507,75
1588649510,75
1588649513,75
1588649516,75
1588649519,75
1588649522,75
1588649525,75
1588649528,75
1588649531,75
1588649534,75
1588649537,75
1588649540,75
1588649543,75
1588649546,75
1588649549,75
1588649552,75
1588649555,75
1588649558,75
1588649561,75
1588649564,75
1588649567,75
1588649570,75
1588649573,75
1588649576,75
1588649579,75
1588649582,75
1588649585,75
1588649588,75
1588649591,75
1588649594,75
1588649597,75
1588649600,75
1588649603,75
1588649606,75
1588649609,75
1588649612,75
1588649615,75
1588649618,75
1588649621,75
1588649624,75
1588649627,75
1588649630,75
1588649633,75
1588649636,75
1588649639,75
1588649642,75
1588649645,75
1588649648,75
1588649651,75
1588649654,75
1588649657,75
1588649660,75
1588649663,75
1588649666,75
1588649669,75
1588649672,75
1588649675,75
1588649678,75
1588649681,75
1588649684,75
1588649687,75
1588649690,75
1588649693,75
1588649696,75
1588649699,75
1588649702,75
1588649705,75
1588649708,75
1588649711,75
1588649714,75
1588649717,75
1588649720,75
1588649723,75
1588649726,75
1588649729,75
1588649732,75
1588649735,75
1588649738,75
1588649741,75
1588649744,75
1588649747,75
1588649750,75
1588649753,75
1588649756,75
1588649759,75
1588649762,75
1588649765,75
1588649768,75
1588649771,75
1588649774,75
1588649777,75
1588649780,75
1588649783,75
1588649786,75
1588649789,75
1588649792,75
1588649795,75
1588649798,75
1588649801,75
1588649804,75
1588649807,75
1588649810,75
1588649813,75
1588649816,75
1588649819,75
1588649822,75
1588649825,75
1588649828,75
1588649831,75
1588649834,75
1588649837,75
1588649840,75
1588649843,75
1588649846,75
1588649849,75
1588649852,75
1588649855,75
1588649858,75
1588649861,75
1588649864,75
1588649867,75
1588649870,75
1588649873,75
1588649876,75
1588649879,75
1588649882,75
1588649885,75
1588649888,75
1588649891,75
1588649894,75
1588649897,75
1588649900,75
1588649903,75
1588649906,75
1588649909,75
1588649912,75
1588649915,75
1588649918,75
1588649921,75
1588649924,75
1588649927,75
1588649930,75
1588649933,75
1588649936,75
1588649939,75
1588649942,75
1588649945,75
1588649948,75
1588649951,75
1588649954,75
1588649957,75
1588649960,75
1588649963,75
1588649966,75
1588649969,75
1588649972,75
1588649975,75
1588649978,75
1588649981,75
1588649984,75
1588649987,75
1588649990,75
1588649993,75
1588649996,75
1588649999,75
1588650002,75
1588650005,75
1588650008,75
1588650011,75
1588650014,75
1588650017,75
1588650020,75
1588650023,75
1588650026,75
1588650029,75
1588650032,75
1588650035,75
1588650038,75
1588650041,75
1588650044,75
1588650047,75
1588650050,75
1588650053,75
1588650056,75
1588650059,75
1588650062,75
1588650065,75
1588650068,75
1588650071,75
1588650074,75
1588650077,75
1588650080,75
1588650083,75
1588650086,75
1588650089,75
1588650092,75
1588650095,75
1588650098,75
1588650101,75
1588650104,75
1588650107,75
1588650110,75
1588650113,75
1588650116,75
1588650119,75
1588650122,75
1588650125,75
1588650128,75
1588650131,75
1588650134,75
1588650137,75
1588650140,75
1588650143,75
1588650146,75
1588650149,75
1588650152,75
1588650155,75
1588650158,75
1588650161,75
1588650164,75
1588650167,75
1588650170,75
1588650173,75
1588650176,75
1588650179,75
1588650182,75
1588650185,75
1588650188,75
1588650191,75
1588650194,75
1588650197,75
1588650200,75
1588650203,75
1588650206,75
1588650209,75
1588650212,75
1588650215,75
1588650218,75
1588650221,75
1588650224,75
1588650227,75
1588650230,75
1588650233,75
1588650236,75
1588650239,75
1588650242,75
1588650245,75
1588650248,75
1588650251,75
1588650254,75
1588650257,75
1588650260,75
1588650263,75
1588650266,75
1588650269,75
1588650272,75
1588650275,75
1588650278,75
1588650281,75
1588650284,75
1588650287,75
1588650290,75
1588650293,75
1588650296,75
1588650299,75
1588650302,75
1588650305,75
1588650308,75
1588650311,75
1588650314,75
1588650317,75
1588650320,75
1588650323,75
1588650326,75
1588650329,75
1588650332,75
1588650335,75
1588650338,75
1588650341,75
1588650344,75
1588650347,75
1588650350,75
1588650353,75
1588650356,75
1588650359,75
1588650362,75
1588650365,75
1588650368,75
1588650371,75
1588650374,75
1588650377,75
1588650380,75
1588650383,75
1588650386,75
1588650389,75
1588650392,75
1588650395,75
1588650398,75
1588650401,75
1588650404,75
1588650407,75
1588650410,75
1588650413,75
1588650416,75
1588650419,75
1588650422,75
1588650425,75
1588650428,75
1588650431,75
