t,value
1588647995,60
1588647998,80
1588648001,84
1588648004,84
1588648007,84
1588648010,84
1588648013,84
1588648016,84
1588648019,84
1588648022,84
1588648025,84
1588648028,84
1588648031,84
1588648034,84
1588648037,84
1588648040,84
1588648043,84
1588648046,84
1588648049,84
1588648052,81
1588648055,81
1588648058,81
1588648061,78
1588648064,78
1588648067,78
1588648070,78
1588648073,78
1588648076,78
1588648079,78
1588648082,78
1588648085,78
1588648088,78
1588648091,78
1588648094,78
1588648097,78
1588648100,78
1588648103,78
1588648106,78
1588648109,78
1588648112,78
1588648115,78
1588648118,78
1588648121,78
1588648124,78
1588648127,78
1588648130,78
1588648133,78
1588648136,78
1588648139,78
1588648142,78
1588648145,78
1588648148,78
1588648151,78
1588648154,78
1588648157,78
1588648160,78
1588648163,78
1588648166,78
1588648169,78
1588648172,78
1588648175,78
1588648178,78
1588648181,78
1588648184,78
1588648187,78
1588648190,78
1588648193,78
1588648196,78
1588648199,78
1588648202,78
1588648205,78
1588648208,78
1588648211,78
1588648214,78
1588648217,78
1588648220,78
1588648223,78
1588648226,78
1588648229,78
1588648232,78
1588648235,78
1588648238,78
1588648241,78
1588648244,78
1588648247,78
1588648250,78
1588648253,78
1588648256,78
1588648259,78
1588648262,78
1588648265,78
1588648268,78
1588648271,78
1588648274,78
1588648277,78
1588648280,78
1588648283,78
1588648286,78
1588648289,78
1588648292,78
1588648295,78
1588648298,78
1588648301,78
1588648304,78
1588648307,78
1588648310,78
1588648313,78
1588648316,78
1588648319,78
1588648322,78
1588648325,78
1588648328,78
1588648331,78
1588648334,78
1588648337,78
1588648340,78
1588648343,78
1588648346,78
1588648349,78
1588648352,78
1588648355,78
1588648358,78
1588648361,78
1588648364,78
1588648367,78
1588648370,78
1588648373,78
1588648376,78
1588648379,78
1588648382,78
1588648385,78
1588648388,78
1588648391,78
1588648394,78
1588648397,78
1588648400,78
1588648403,78
1588648406,78
1588648409,78
1588648412,78
1588648415,78
1588648418,78
1588648421,78
1588648424,78
1588648427,78
1588648430,78
1588648433,78
1588648436,78
1588648439,78
1588648442,78
1588648445,78
1588648448,78
1588648451,78
1588648454,78
1588648457,78
1588648460,78
1588648463,78
1588648466,78
1588648469,78
1588648472,78
1588648475,78
1588648478,78
1588648481,78
1588648484,78
1588648487,78
1588648490,78
1588648493,78
1588648496,78
1588648499,78
1588648502,78
1588648505,78
1588648508,78
1588648511,78
1588648514,78
1588648517,78
1588648520,78
1588648523,78
1588648526,78
1588648529,78
1588648532,78
1588648535,78
1588648538,78
1588648541,78
1588648544,78
1588648547,78
1588648550,78
1588648553,78
1588648556,78
1588648559,78
1588648562,78
1588648565,78
1588648568,78
1588648571,78
1588648574,78
1588648577,78
1588648580,78
1588648583,78
1588648586,78
1588648589,78
1588648592,78
1588648595,78
1588648598,80
1588648601,80
1588648604,80
1588648607,80
1588648610,80
1588648613,80
1588648616,80
1588648619,80
1588648622,80
1588648625,80
1588648628,80
1588648631,80
1588648634,80
1588648637,80
1588648640,80
1588648643,80
1588648646,80
1588648649,80
1588648652,80
1588648655,80
1588648658,80
1588648661,80
1588648664,80
1588648667,80
1588648670,80
1588648673,80
1588648676,80
1588648679,80
1588648682,80
1588648685,80
1588648688,80
1588648691,80
1588648694,80
1588648697,80
1588648700,80
1588648703,80
1588648706,80
1588648709,80
1588648712,80
1588648715,80
1588648718,80
1588648721,80
1588648724,80
1588648727,80
1588648730,80
1588648733,80
1588648736,80
1588648739,80
1588648742,80
1588648745,80
1588648748,80
1588648751,80
1588648754,80
1588648757,80
1588648760,80
1588648763,80
1588648766,80
1588648769,80
1588648772,80
1588648775,80
1588648778,80
1588648781,80
1588648784,80
1588648787,80
1588648790,80
1588648793,80
1588648796,80
1588648799,80
1588648802,80
1588648805,80
1588648808,80
1588648811,80
1588648814,80
1588648817,80
1588648820,80
1588648823,80
1588648826,80
1588648829,80
1588648832,80
1588648835,80
1588648838,80
1588648841,80
1588648844,80
1588648847,80
1588648850,80
1588648853,80
1588648856,80
1588648859,80
1588648862,80
1588648865,80
1588648868,80
1588648871,80
1588648874,80
1588648877,80
1588648880,80
1588648883,80
1588648886,80
1588648889,80
1588648892,80
1588648895,80
1588648898,80
1588648901,80
1588648904,80
1588648907,80
1588648910,80
1588648913,80
1588648916,80
1588648919,80
1588648922,80
1588648925,80
1588648928,80
1588648931,80
1588648934,80
1588648937,80
1588648940,80
1588648943,80
1588648946,80
1588648949,80
1588648952,80
1588648955,80
1588648958,80
1588648961,80
1588648964,80
1588648967,80
1588648970,80
1588648973,80
1588648976,80
1588648979,80
1588648982,80
1588648985,80
1588648988,80
1588648991,80
1588648994,80
1588648997,80
1588649000,80
1588649003,80
1588649006,80
1588649009,80
1588649012,80
1588649015,80
1588649018,80
1588649021,80
1588649024,80
1588649027,80
1588649030,80
1588649033,80
1588649036,80
1588649039,80
1588649042,80
1588649045,80
1588649048,80
1588649051,80
1588649054,80
1588649057,80
1588649060,80
1588649063,80
1588649066,80
1588649069,80
1588649072,80
1588649075,80
1588649078,80
1588649081,80
1588649084,80
1588649087,80
1588649090,80
1588649093,80
1588649096,80
1588649099,80
1588649102,80
1588649105,80
1588649108,80
1588649111,80
1588649114,80
1588649117,80
1588649120,80
1588649123,80
1588649126,80
1588649129,80
1588649132,80
1588649135,80
1588649138,80
1588649141,80
1588649144,80
1588649147,80
1588649150,80
1588649153,80
1588649156,80
1588649159,80
1588649162,80
1588649165,80
1588649168,80
1588649171,80
1588649174,80
1588649177,80
1588649180,80
1588649183,80
1588649186,80
1588649189,80
1588649192,80
1588649195,80
1588649198,80
1588649201,80
1588649204,80
1588649207,80
1588649210,80
1588649213,80
1588649216,80
1588649219,80
1588649222,80
1588649225,80
1588649228,80
1588649231,80
1588649234,80
1588649237,80
1588649240,80
1588649243,80
1588649246,80
1588649249,80
1588649252,80
1588649255,80
1588649258,80
1588649261,80
1588649264,80
1588649267,80
1588649270,80
1588649273,80
1588649276,80
1588649279,80
1588649282,80
1588649285,80
1588649288,80
1588649291,80
1588649294,80
1588649297,80
1588649300,80
1588649303,80
1588649306,80
1588649309,80
1588649312,80
1588649315,80
1588649318,80
1588649321,80
1588649324,80
1588649327,80
1588649330,80
1588649333,80
1588649336,80
1588649339,80
1588649342,80
1588649345,80
1588649348,80
1588649351,80
1588649354,80
1588649357,80
1588649360,80
1588649363,80
1588649366,80
1588649369,80
1588649372,80
1588649375,80
1588649378,80
1588649381,80
1588649384,80
1588649387,80
1588649390,80
1588649393,80
1588649396,80
1588649399,80
1588649402,80
1588649405,80
1588649408,80
1588649411,80
1588649414,80
1588649417,80
1588649420,80
1588649423,80
1588649426,80
1588649429,80
1588649432,80
1588649435,80
1588649438,80
1588649441,80
1588649444,80
1588649447,80
1588649450,80
1588649453,80
1588649456,80
1588649459,80
1588649462,80
1588649465,80
1588649468,80
1588649471,80
1588649474,80
1588649477,80
1588649480,80
1588649483,80
1588649486,80
1588649489,80
1588649492,80
1588649495,80
1588649498,80
1588649501,80
1588649504,80
1588649507,80
1588649510,80
1588649513,80
1588649516,80
1588649519,80
1588649522,80
1588649525,80
1588649528,80
1588649531,80
1588649534,80
1588649537,80
1588649540,80
1588649543,80
1588649546,80
1588649549,80
1588649552,80
1588649555,80
1588649558,80
1588649561,80
1588649564,80
1588649567,80
1588649570,80
1588649573,80
1588649576,80
1588649579,80
1588649582,80
1588649585,80
1588649588,80
1588649591,80
1588649594,80
1588649597,80
1588649600,80
1588649603,80
1588649606,80
1588649609,80
1588649612,80
1588649615,80
1588649618,80
1588649621,80
1588649624,80
1588649627,80
1588649630,80
1588649633,80
1588649636,80
1588649639,80
1588649642,80
1588649645,80
1588649648,80
1588649651,80
1588649654,80
1588649657,80
1588649660,80
1588649663,80
1588649666,80
1588649669,80
1588649672,80
1588649675,80
1588649678,80
1588649681,80
1588649684,80
1588649687,80
1588649690,80
1588649693,80
1588649696,80
1588649699,80
1588649702,80
1588649705,80
1588649708,80
1588649711,80
1588649714,80
1588649717,80
1588649720,80
1588649723,80
1588649726,80
1588649729,80
1588649732,80
1588649735,80
1588649738,80
1588649741,80
1588649744,80
1588649747,80
1588649750,80
1588649753,80
1588649756,80
1588649759,80
1588649762,80
1588649765,80
1588649768,80
1588649771,80
1588649774,80
1588649777,80
1588649780,80
1588649783,80
1588649786,80
1588649789,80
1588649792,80
1588649795,80
1588649798,80
1588649801,80
1588649804,80
1588649807,80
1588649810,80
1588649813,80
1588649816,80
1588649819,80
1588649822,80
1588649825,80
1588649828,80
1588649831,80
1588649834,80
1588649837,80
1588649840,80
1588649843,80
1588649846,80
1588649849,80
1588649852,80
1588649855,80
1588649858,80
1588649861,80
1588649864,80
1588649867,80
1588649870,80
1588649873,80
1588649876,80
1588649879,80
1588649882,80
1588649885,80
1588649888,80
1588649891,80
1588649894,80
1588649897,80
1588649900,80
1588649903,80
1588649906,80
1588649909,80
1588649912,80
1588649915,80
1588649918,80
1588649921,80
1588649924,80
1588649927,80
1588649930,80
1588649933,80
1588649936,80
1588649939,80
1588649942,80
1588649945,80
1588649948,80
1588649951,80
1588649954,80
1588649957,80
1588649960,80
1588649963,80
1588649966,80
1588649969,80
1588649972,80
1588649975,80
1588649978,80
1588649981,80
1588649984,80
1588649987,80
1588649990,80
1588649993,80
1588649996,80
1588649999,80
1588650002,80
1588650005,80
1588650008,80
1588650011,80
1588650014,80
1588650017,80
1588650020,80
1588650023,80
1588650026,80
1588650029,80
1588650032,80
1588650035,80
1588650038,80
1588650041,80
1588650044,80
1588650047,80
1588650050,80
1588650053,80
1588650056,80
1588650059,80
1588650062,80
1588650065,80
1588650068,80
1588650071,80
1588650074,80
1588650077,80
